clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,euclidean,int8,1.2285767537314487,0,1722
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,euclidean,int8,1.2033466176017114,0,1652
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,euclidean,int8,1.1779481583557039,0,1583
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,euclidean,int8,1.2480426701783975,0,1777
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,euclidean,int8,1.1527505039016857,0,1516
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,euclidean,int8,1.3213880870937207,0,1992
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,euclidean,int8,1.3097280625592818,0,1957
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,euclidean,int8,1.2203443914332857,0,1699
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,euclidean,int8,1.2149454073181936,0,1684
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,euclidean,int8,1.0954370967985139,0,1369
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,euclidean,int8,1.2264345084160273,0,1716
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,euclidean,int8,1.2654791489325468,0,1827
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,euclidean,int8,1.3227141166166498,0,1996
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,euclidean,int8,1.2250042636047849,0,1712
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,euclidean,int8,1.2406462748387541,0,1756
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,euclidean,int8,1.228933431559759,0,1723
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,euclidean,int8,1.2109708540704962,0,1673
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,euclidean,int8,1.2585335468171817,0,1807
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,euclidean,int8,1.1775760376203543,0,1582
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,euclidean,int8,1.2802846052376318,0,1870
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,euclidean,int8,1.2282199723231033,0,1721
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,euclidean,int8,1.260968859344202,0,1814
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,euclidean,int8,1.3515576573493695,0,2084
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,euclidean,int8,1.1671084873701005,0,1554
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,euclidean,int8,1.2871128382264259,0,1890
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,euclidean,int8,1.197505094669093,0,1636
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,euclidean,int8,1.2374628579104157,0,1747
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,euclidean,int8,1.0958371103582398,0,1370
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,euclidean,int8,1.2260771036267344,0,1715
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,euclidean,int8,1.1923702865365557,0,1622
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,euclidean,int8,1.2782290225279804,0,1864
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,euclidean,int8,1.1542702810994274,0,1520
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,euclidean,int8,1.2633994776029476,0,1821
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,euclidean,int8,1.2207034746811434,0,1700
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,euclidean,int8,1.2989758801398885,0,1925
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,euclidean,int8,1.4139965919831516,1,2281
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,euclidean,int8,1.3174019902679357,0,1980
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,euclidean,int8,1.303354652169709,0,1938
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,euclidean,int8,1.1745948276789453,0,1574
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,euclidean,int8,1.1370556754231673,0,1475
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,euclidean,int8,1.2342712303802397,0,1738
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,euclidean,int8,1.3708758021411487,1,2144
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,euclidean,int8,1.2058933857788017,0,1659
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,euclidean,int8,1.196772899495369,0,1634
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,euclidean,int8,1.2040748153189484,0,1654
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,euclidean,int8,1.2518995326867761,0,1788
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,euclidean,int8,1.23498119375812,0,1740
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,euclidean,int8,1.2314272836740412,0,1730
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,euclidean,int8,1.222138752630968,0,1704
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,euclidean,int8,1.1772037992555553,0,1581
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,euclidean,int8,1.2260771036267344,0,1715
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,euclidean,int8,1.3509089615321364,0,2082
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,euclidean,int8,1.2989758801398885,0,1925
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,euclidean,int8,1.200064259750292,0,1643
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,euclidean,int8,1.357381969184298,0,2102
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,euclidean,int8,1.1816629205204832,0,1593
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,euclidean,int8,1.1734749213435753,0,1571
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,euclidean,int8,1.2606212455927743,0,1813
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,euclidean,int8,1.1772037992555553,0,1581
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,euclidean,int8,1.1652293869928025,0,1549
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,euclidean,int8,1.2679011208113293,0,1834
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,euclidean,int8,1.2469887282562757,0,1774
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,euclidean,int8,1.2546970770305044,0,1796
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,euclidean,int8,1.344078753285345,0,2061
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,euclidean,int8,1.291192445407953,0,1902
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,euclidean,int8,1.313403795948007,0,1968
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,euclidean,int8,1.3557666146084808,0,2097
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,euclidean,int8,1.145504026934311,0,1497
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,euclidean,int8,1.2102468056625253,0,1671
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,euclidean,int8,1.2847270848533174,0,1883
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,euclidean,int8,1.1073746497552521,0,1399
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,euclidean,int8,1.3197286765595044,0,1987
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,euclidean,int8,1.2033466176017114,0,1652
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,euclidean,int8,1.2716977571380588,0,1845
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,euclidean,int8,1.2077092178354703,0,1664
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,euclidean,int8,1.3378689945245839,0,2042
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,euclidean,int8,1.3040270043692743,0,1940
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,euclidean,int8,1.2522495675133247,0,1789
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,euclidean,int8,1.2668636998378333,0,1831
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,euclidean,int8,1.1254329953994704,0,1445
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,euclidean,int8,1.2058933857788017,0,1659
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,euclidean,int8,1.2106088839969276,0,1672
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,euclidean,int8,1.252599504523792,0,1790
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,euclidean,int8,1.1512287203947913,0,1512
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,euclidean,int8,1.2062567708663865,0,1660
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,euclidean,int8,1.189794572371082,0,1615
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,euclidean,int8,1.3711954653848875,1,2145
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,euclidean,int8,1.1794354672288585,0,1587
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,euclidean,int8,1.2073462699030562,0,1663
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,euclidean,int8,1.1809209029148047,0,1591
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,euclidean,int8,1.2339160955058532,0,1737
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,euclidean,int8,1.2581852602332835,0,1806
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,euclidean,int8,1.1370556754231673,0,1475
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,euclidean,int8,1.2633994776029476,0,1821
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,euclidean,int8,1.1949404487198727,0,1629
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,euclidean,int8,1.2744518432163265,0,1853
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,euclidean,int8,1.1447385714349116,0,1495
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,euclidean,int8,1.2058933857788017,0,1659
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,euclidean,int8,1.21746791273329,0,1691
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,euclidean,int8,1.2120561156959888,0,1676
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,euclidean,int8,1.0687052132886283,0,1303
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,euclidean,int8,1.2438215442075042,0,1765
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,euclidean,int8,1.2685922634741653,0,1836
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,euclidean,int8,1.3190643278254552,0,1985
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,euclidean,int8,1.2710083031664619,0,1843
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,euclidean,int8,1.3679954716053246,0,2135
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,euclidean,int8,1.0914288978595688,0,1359
1200011151_ToyCar_case2_normal_IND_ch1_1151,normal,euclidean,int8,1.1324209183253156,0,1463
1200011034_ToyCar_case2_normal_IND_ch1_1034,normal,euclidean,int8,1.2945822975145203,0,1912
1200010025_ToyCar_case2_normal_IND_ch1_0025,normal,euclidean,int8,1.1764589691909502,0,1579
1200010408_ToyCar_case2_normal_IND_ch1_0408,normal,euclidean,int8,1.170483265943938,0,1563
1200010750_ToyCar_case2_normal_IND_ch1_0750,normal,euclidean,int8,1.1607071342764883,0,1537
1200010434_ToyCar_case2_normal_IND_ch1_0434,normal,euclidean,int8,1.275483092347881,0,1856
1200011114_ToyCar_case2_normal_IND_ch1_1114,normal,euclidean,int8,1.1701087712084064,0,1562
1200010192_ToyCar_case2_normal_IND_ch1_0192,normal,euclidean,int8,1.330313136221541,0,2019
1200010655_ToyCar_case2_normal_IND_ch1_0655,normal,euclidean,int8,1.075654220761151,0,1320
1200011031_ToyCar_case2_normal_IND_ch1_1031,normal,euclidean,int8,1.228933431559759,0,1723
1200010926_ToyCar_case2_normal_IND_ch1_0926,normal,euclidean,int8,1.2976255929972393,0,1921
1200010354_ToyCar_case2_normal_IND_ch1_0354,normal,euclidean,int8,1.2235723469685558,0,1708
1200010687_ToyCar_case2_normal_IND_ch1_0687,normal,euclidean,int8,1.1187932147643898,0,1428
1200011190_ToyCar_case2_normal_IND_ch1_1190,normal,euclidean,int8,1.2069832128297737,0,1662
1200010785_ToyCar_case2_normal_IND_ch1_0785,normal,euclidean,int8,1.315404412181393,0,1974
1200011343_ToyCar_case2_normal_IND_ch1_1343,normal,euclidean,int8,1.2675554081611917,0,1833
1200010359_ToyCar_case2_normal_IND_ch1_0359,normal,euclidean,int8,1.2116944698231924,0,1675
1200010842_ToyCar_case2_normal_IND_ch1_0842,normal,euclidean,int8,1.269973420403068,0,1840
1200010759_ToyCar_case2_normal_IND_ch1_0759,normal,euclidean,int8,1.3124023441852017,0,1965
1200010526_ToyCar_case2_normal_IND_ch1_0526,normal,euclidean,int8,1.2282199723231033,0,1721
1200010376_ToyCar_case2_normal_IND_ch1_0376,normal,euclidean,int8,1.1148689893630708,0,1418
1200010289_ToyCar_case2_normal_IND_ch1_0289,normal,euclidean,int8,1.283703261804644,0,1880
1200010110_ToyCar_case2_normal_IND_ch1_0110,normal,euclidean,int8,1.2819950730748462,0,1875
1200010188_ToyCar_case2_normal_IND_ch1_0188,normal,euclidean,int8,1.2665177040100404,0,1830
1200011155_ToyCar_case2_normal_IND_ch1_1155,normal,euclidean,int8,1.213501621416226,0,1680
1200011097_ToyCar_case2_normal_IND_ch1_1097,normal,euclidean,int8,1.1117196356437675,0,1410
1200011246_ToyCar_case2_normal_IND_ch1_1246,normal,euclidean,int8,1.2857500926476826,0,1886
1200010943_ToyCar_case2_normal_IND_ch1_0943,normal,euclidean,int8,1.3583502598573254,0,2105
1200010564_ToyCar_case2_normal_IND_ch1_0564,normal,euclidean,int8,1.1978710244239044,0,1637
1200010924_ToyCar_case2_normal_IND_ch1_0924,normal,euclidean,int8,1.2210624523318032,0,1701
1200010421_ToyCar_case2_normal_IND_ch1_0421,normal,euclidean,int8,1.2069832128297737,0,1662
1200011294_ToyCar_case2_normal_IND_ch1_1294,normal,euclidean,int8,1.2999876750850445,0,1928
1200010045_ToyCar_case2_normal_IND_ch1_0045,normal,euclidean,int8,1.283703261804644,0,1880
1200010828_ToyCar_case2_normal_IND_ch1_0828,normal,euclidean,int8,1.2335608583902418,0,1736
1200010834_ToyCar_case2_normal_IND_ch1_0834,normal,euclidean,int8,1.2881339513090657,0,1893
1200010169_ToyCar_case2_normal_IND_ch1_0169,normal,euclidean,int8,1.2761701288061849,0,1858
1200010010_ToyCar_case2_normal_IND_ch1_0010,normal,euclidean,int8,1.2120561156959888,0,1676
1200011080_ToyCar_case2_normal_IND_ch1_1080,normal,euclidean,int8,1.155788059902469,0,1524
1200010509_ToyCar_case2_normal_IND_ch1_0509,normal,euclidean,int8,1.3110658852395831,0,1961
1200011163_ToyCar_case2_normal_IND_ch1_1163,normal,euclidean,int8,1.2300028444654372,0,1726
1200011258_ToyCar_case2_normal_IND_ch1_1258,normal,euclidean,int8,1.2905134064730555,0,1900
1200010853_ToyCar_case2_normal_IND_ch1_0853,normal,euclidean,int8,1.3466848221468195,0,2069
1200010180_ToyCar_case2_normal_IND_ch1_0180,normal,euclidean,int8,1.2120561156959888,0,1676
1200010397_ToyCar_case2_normal_IND_ch1_0397,normal,euclidean,int8,1.2084347866710243,0,1666
1200010802_ToyCar_case2_normal_IND_ch1_0802,normal,euclidean,int8,1.2765135083708024,0,1859
1200010696_ToyCar_case2_normal_IND_ch1_0696,normal,euclidean,int8,1.2189070006029643,0,1695
1200010181_ToyCar_case2_normal_IND_ch1_0181,normal,euclidean,int8,1.292888482452478,0,1907
1200010772_ToyCar_case2_normal_IND_ch1_0772,normal,euclidean,int8,1.2406462748387541,0,1756
1200011287_ToyCar_case2_normal_IND_ch1_1287,normal,euclidean,int8,1.318399644322517,0,1983
1200010809_ToyCar_case2_normal_IND_ch1_0809,normal,euclidean,int8,1.2317831360969218,0,1731
1200011100_ToyCar_case2_normal_IND_ch1_1100,normal,euclidean,int8,1.1674839445094156,0,1555
