clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.0920270914464105,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,0.9315566470586072,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.0713483069655156,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.161846090642283,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,0.9829740741781993,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.1655982446272335,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.1751714067374142,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.1958669696813342,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.0512318315708744,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1222298685745933,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.0014076682729975,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.1565599936919084,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.1905717252158075,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.0235599803009894,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.1140421643153444,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.1049861839000217,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.1058488827170985,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.1817863063655825,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.0089933004456575,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.1648703798383893,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.0738604606287572,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.1267768948969388,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.1640095892053015,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.0641843524204393,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2017097017578027,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.048920841917116,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.159129036972716,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0127788346167503,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.1362092801882224,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.0737130719082286,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1043874054925222,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.0758840650643713,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.165852367832608,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.0859006819140369,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.1763207463743361,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.266741748873338,1,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.20548252968404,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.1659776684737777,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.0558540099509093,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,0.9548201763760117,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.1823115655602185,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.1870010895157388,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,0.9948089659931211,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.117653451053482,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.1635562857225943,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.1771104818640814,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.1487230162774809,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.0988914013576128,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.1773621202574427,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.0563496901789828,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.1194927878952,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.2070569442888102,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.1715884729274948,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.1005740575235685,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.2442421178484995,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.1136341140852344,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,0.9631817033759621,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.1664021983230046,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.0823484221103759,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.020279927331672,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.1278352299409116,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.0881778877312887,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.1729731421067433,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.2245898778945203,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.1930471246329315,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.1639677532026735,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.1560160131474575,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.0781824269692935,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.0468722523732814,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.1289213301919203,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.0075322992545692,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.2414929266741686,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.0471590636562516,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.1245562012965467,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.0955331524729797,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.2360845427282996,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.1115660611163503,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.1584356414841264,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.1661377552559444,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,0.9451061026503124,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.0530446017625748,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,1.0734862805157441,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,1.1810684179419715,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,1.068427720339117,0,
