clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,int8,1.1689845671654633,0,1559
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,int8,0.9761138885330821,0,1087
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,int8,1.0938355797187234,0,1365
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,int8,1.181291969979081,0,1592
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,int8,1.0131276487423313,0,1171
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,int8,1.223214105898963,0,1707
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,int8,1.1875823710665478,0,1609
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,int8,1.2317831360969218,0,1731
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,int8,1.0691152287317927,0,1304
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,int8,1.0894192682816157,0,1354
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,int8,1.0243132611367551,0,1197
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,int8,1.1576824851369285,0,1529
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,int8,1.2051662868970328,0,1657
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,int8,1.0559157691956973,0,1272
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,int8,1.1195764092703628,0,1430
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,int8,1.0914288978595688,0,1359
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,int8,1.1916349363053216,0,1620
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,int8,1.182033754648715,0,1594
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,int8,1.0500888343816328,0,1258
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,int8,1.1890576292391406,0,1613
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,int8,1.1105363254248328,0,1407
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,int8,1.1358987590556713,0,1472
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,int8,1.2668636998378333,0,1831
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,int8,1.1117196356437675,0,1410
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,int8,1.1775760376203543,0,1582
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,int8,1.1172251786542748,0,1424
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,int8,1.208072056725386,0,1665
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,int8,1.01959586287179,0,1186
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,int8,1.1500860613336759,0,1509
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,int8,1.0938355797187234,0,1365
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,int8,1.096636699746173,0,1372
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,int8,1.1077703526979352,0,1400
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,int8,1.1916349363053216,0,1620
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,int8,1.1109309022095077,0,1408
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,int8,1.2300028444654372,0,1726
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,int8,1.292888482452478,1,1907
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,int8,1.2026179789532496,0,1650
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,int8,1.1663572105060451,0,1552
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,int8,1.0785025630070897,0,1327
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,int8,1.0083579222135466,0,1160
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,int8,1.2181876691737747,0,1693
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,int8,1.2539982760422803,0,1794
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,int8,0.9974328119689626,0,1135
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,int8,1.1199678011401306,0,1431
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,int8,1.1304841614463466,0,1458
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,int8,1.1331946942395343,0,1465
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,int8,1.1366701674699193,0,1474
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,int8,1.1538905244577629,0,1519
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,int8,1.1447385714349116,0,1495
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,int8,1.0479999346914457,0,1253
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,int8,1.1580609983022288,0,1530
