clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.2688861873742865,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.077513788641309,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.1081307801156122,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.1718891020985323,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.1482496373569924,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.2082581364288316,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.267393285092901,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.2073181156455837,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.0842272416398575,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1938538629259663,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.1301733095411848,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.134351724770308,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.2984441724045728,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.1631544747564988,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.1834361441589625,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.1746834926562986,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2785384300701994,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2794358738485525,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.1654705166424144,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.3242995768625447,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.151864732450862,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.1339935129611904,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.3313997018917458,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.2307755228564567,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2597062913567838,0,
