clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1365683561785282,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.0912631891023965,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.0650714548213427,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.082938547624623,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.0902087901322723,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.1504554799935909,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.2183420902504791,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.1829129745741334,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.0832670875648638,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.0530301879445276,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.0584681527150779,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.1125683934696704,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.2323138585163835,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.1146821840435084,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.044247817970038,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.0883478049750566,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.1472331369755495,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2218213141708243,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.0612512007097916,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.2078948176080917,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.0514823293405913,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.1708505536248934,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.1715726059372435,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.2148081161710274,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.171656386065609,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1247012871930995,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.2225670436910956,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0224319366133778,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.0718641866501462,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.0932246468934763,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.0747517563877373,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.0577482208642113,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2161630697904915,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.0882064405716858,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.2897513372244238,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.2026770393867698,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.3035567648491457,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.2867219460665993,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.0251492636649229,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,0.997186209187945,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.164014877417403,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.2218721065798284,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.0814519213763396,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.2134611486063174,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.18985513297398,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.1791642237723106,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.1686425768925588,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.0549374359380008,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.1813816957761585,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.0556281932154563,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.1030382764548634,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.182733789042177,0,
