clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1989458535677777,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1819473948843335,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.207638172675682,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.2029371794397308,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2314668984416788,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.233432282766546,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.3544987911653252,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.3185006315435295,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.191327101687981,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1991590007895734,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.202193787327396,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.248969930778131,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3304858391071581,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.238994896421932,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.2341545834012482,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2241552819489157,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2751569126113036,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2741999733278904,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.1582745108670542,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.262861001698137,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2176812073468444,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.243686825644733,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.238764011774009,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3065193094193803,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2931778665262972,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1442588833725986,0,
