clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1989458559473207,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.181947396261325,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.2076381815506578,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.2029371795959085,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2314669035942696,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.2334322887223288,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.35449879453079,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.318500633975779,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.191327108892159,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.199159003446151,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.2021937946219003,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.2489699338053806,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3304858414746823,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.2389949053530407,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.234154590998107,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2241552876894881,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2751569164874559,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.274199976495841,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.1582745147805749,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.2628610065205519,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2176812080833206,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.2436868379737294,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.2387640185915831,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3065193150229562,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2931778683078905,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1442588860563658,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.3470110311806327,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0994234725736007,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.2733477300078675,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.2456182181220767,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1629016534948768,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.201597196776167,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2989736083375005,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.2200570091170977,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.3536029840501824,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.3296285568032717,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.403349325746929,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.3069089108202596,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.2021071314567846,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.12038829643106,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.256597654412978,0,
