clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,euclidean,int8,1.4905600030496182,0,2388
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,euclidean,int8,1.667333970925939,0,2988
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,euclidean,int8,1.5448132540295705,0,2565
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,euclidean,int8,1.625516836819992,0,2840
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,euclidean,int8,1.475818700226468,0,2341
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,euclidean,int8,1.5995530530740187,0,2750
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,euclidean,int8,1.7119362142147712,0,3150
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,euclidean,int8,1.7759557935672146,0,3390
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,euclidean,int8,1.6076756090189108,0,2778
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,euclidean,int8,1.3759875644433808,0,2035
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,euclidean,int8,1.8511139838222193,1,3683
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,euclidean,int8,1.68205623920127,0,3041
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,euclidean,int8,1.6966507634360644,0,3094
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,euclidean,int8,1.58553186463263,0,2702
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,euclidean,int8,1.5642644533505,0,2630
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,euclidean,int8,1.5085528460490896,0,2446
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,euclidean,int8,1.5466189977834082,0,2571
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,euclidean,int8,1.644579294268138,0,2907
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,euclidean,int8,1.8035077552285366,0,3496
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,euclidean,int8,1.5076274480398817,0,2443
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,euclidean,int8,1.5094776767353568,0,2449
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,euclidean,int8,1.7830141575043683,0,3417
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,euclidean,int8,1.4660145887618814,0,2310
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,euclidean,int8,1.6183464585152718,0,2815
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,euclidean,int8,1.8102017399300219,0,3522
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,euclidean,int8,1.6564170358002706,0,2949
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,euclidean,int8,1.6806728552685823,0,3036
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,euclidean,int8,1.5436082513079588,0,2561
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,euclidean,int8,1.5245038279634506,0,2498
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,euclidean,int8,1.5719775431259002,0,2656
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,euclidean,int8,1.6041995495810608,0,2766
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,euclidean,int8,1.5293783530418097,0,2514
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,euclidean,int8,1.691983214665755,0,3077
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,euclidean,int8,1.6004252987371752,0,2753
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,euclidean,int8,1.7130228130002876,0,3154
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,euclidean,int8,1.7062202175754069,0,3129
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,euclidean,int8,1.765447087145575,0,3350
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,euclidean,int8,1.7026721272238432,0,3116
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,euclidean,int8,1.4449197538937262,0,2244
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,euclidean,int8,1.5858252371699972,0,2703
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,euclidean,int8,1.58553186463263,0,2702
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,euclidean,int8,1.6295184668800866,0,2854
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,euclidean,int8,1.630945241049649,0,2859
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,euclidean,int8,1.678179890452142,0,3027
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,euclidean,int8,1.6620244216275626,0,2969
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,euclidean,int8,1.6667758674890727,0,2986
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,euclidean,int8,1.4983420336116942,0,2413
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,euclidean,int8,1.599843854467763,0,2751
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,euclidean,int8,1.698568967286038,0,3101
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,euclidean,int8,1.6966507634360644,0,3094
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,euclidean,int8,1.5725692907633195,0,2658
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,euclidean,int8,1.7249302239142872,0,3198
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,euclidean,int8,1.687027028613736,0,3059
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,euclidean,int8,1.6194958524517247,0,2819
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,euclidean,int8,1.6363556373294048,0,2878
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,euclidean,int8,1.4764489879768448,0,2343
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,euclidean,int8,1.8222400023045304,0,3569
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,euclidean,int8,1.5451143578729971,0,2566
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,euclidean,int8,1.4905600030496182,0,2388
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,euclidean,int8,1.4886862625187869,0,2382
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,euclidean,int8,1.601006531841043,0,2755
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,euclidean,int8,1.5574094937360878,0,2607
