clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.6391437558314217,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.7082958063672022,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.5656950693520792,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.5021220458989888,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.5344331679685899,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.6420528735807653,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.7629164178143384,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.838112878135708,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.5424143507105752,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.5688816045092535,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.419206951884822,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.680492857370836,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.6695296172103253,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.53581660725935,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.5831149163110034,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.714079599152988,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.6516010030136934,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.7764962333313492,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.700867028186421,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.5618998033571403,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.6071715314637043,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.4929724387388243,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.6742196021079585,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.7284386103364489,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.7234479184627782,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.6558218155242628,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.8090282743486232,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.5380264350035482,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.669779394906324,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.6675141215399767,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.4293878463755605,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.6932967350574244,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.7043874190068768,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.668147624295076,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.8400013188661766,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.815739698292954,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.7744922417370945,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.706657309934018,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.5993911396464986,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.5519411138585826,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.5770547370203827,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.775532071871778,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.4629707218899293,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.6687559912418164,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.6807641756922302,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.782041141279385,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.6672031574663366,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.6389536991659945,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.7287948864380398,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.5314662388674132,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.6548045186631628,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.757017136704629,0,
