clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,int8,1.6476878754830606,0,2918
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,int8,1.7168204929396007,0,3168
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,int8,1.5633720327472844,0,2627
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,int8,1.4977209591669334,0,2411
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,int8,1.539987585842096,0,2549
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,int8,1.6372082760172222,0,2881
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,int8,1.7693951660690739,0,3365
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,int8,1.839770494520645,0,3638
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,int8,1.5390810886071613,0,2546
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,int8,1.5772952797524986,0,2674
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,int8,1.418274018179943,0,2162
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,int8,1.6806728552685823,0,3036
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,int8,1.6653797906317591,0,2981
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,int8,1.5324170573154743,0,2524
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,int8,1.5787692500580264,0,2679
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,int8,1.7230413674122902,0,3191
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,int8,1.6581012426774422,0,2955
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,int8,1.773596763355828,0,3381
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,int8,1.698568967286038,0,3101
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,int8,1.568718941115249,0,2645
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,int8,1.60448950883324,0,2767
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,int8,1.4905600030496182,0,2388
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,int8,1.6698431280579458,0,2997
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,int8,1.734611854060653,0,3234
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,int8,1.71763318907645,0,3171
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,int8,1.6561361681363946,0,2948
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,int8,1.8189182411424416,0,3556
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,int8,1.536963849200503,0,2539
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,int8,1.6773480788072588,0,3024
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,int8,1.6759608086345972,0,3019
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,int8,1.4290570423462676,0,2195
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,int8,1.7034915732296796,0,3119
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,int8,1.7111208123041577,0,3147
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,int8,1.6759608086345972,0,3019
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,int8,1.848599223818843,0,3673
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,int8,1.812256453122601,0,3530
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,int8,1.7796191805616477,0,3404
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,int8,1.703764634315545,0,3120
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,int8,1.605938519793084,0,2772
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,int8,1.5484226357114772,0,2577
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,int8,1.572273444783698,0,2657
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,int8,1.7827532349658373,0,3416
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,int8,1.459335672073336,0,2289
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,int8,1.6628638986176818,0,2972
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,int8,1.687027028613736,0,3059
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,int8,1.7804032113716466,0,3407
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,int8,1.6662175771141785,0,2984
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,int8,1.6340797591246552,0,2870
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,int8,1.7386299550063968,0,3249
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,int8,1.5263335991697027,0,2504
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,int8,1.6642620859483839,0,2977
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,int8,1.754345198687228,0,3308
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,int8,1.8263200298076125,0,3585
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,int8,1.6146052773823145,0,2802
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,int8,1.7691322349187897,0,3364
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,int8,1.5678290560434789,0,2642
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,int8,1.4983420336116942,0,2413
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,int8,1.6479701830111295,0,2919
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,int8,1.569608321669234,0,2648
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,int8,1.519919762776116,0,2483
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,int8,1.4163046480772268,0,2156
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,int8,1.6479701830111295,0,2919
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,int8,1.6312304461302676,0,2860
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,int8,1.8347064318063695,0,3618
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,int8,1.7445064288222996,0,3271
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,int8,1.802991803921961,0,3494
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,int8,1.6837147995771267,0,3047
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,int8,1.687027028613736,0,3059
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,int8,1.5107099036154448,0,2453
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,int8,1.6499449832199597,0,2926
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,int8,1.5454154030503056,0,2567
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,int8,1.822750505186742,0,3571
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,int8,1.673460824268213,0,3010
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,int8,1.6079649414443649,0,2779
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,int8,1.7487678249213061,0,3287
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,int8,1.8483475596390884,0,3672
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,int8,1.627804687124381,0,2848
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,int8,1.699664111801674,0,3105
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,int8,1.6980211301592951,0,3099
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,int8,1.4883737430942203,0,2381
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,int8,1.6171962476673964,0,2811
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,int8,1.5583053290093245,0,2610
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,int8,1.8189182411424416,0,3556
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,int8,1.538476460381665,0,2544
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,int8,1.5137860825362102,0,2463
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,int8,1.648816815578158,0,2922
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,int8,1.6792883317159621,0,3031
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,int8,1.5363583877434066,0,2537
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,int8,1.6372082760172222,0,2881
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,int8,1.640330826064571,0,2892
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,int8,1.6039095379092376,0,2765
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,int8,1.7413035379404949,0,3259
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,int8,1.4880611580349936,0,2380
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,int8,1.7356842571640592,0,3238
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,int8,1.6088326265195338,0,2782
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,int8,1.6631436301191336,0,2973
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,int8,1.6134523994935226,0,2798
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,int8,1.6861995813170305,0,3056
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,int8,1.5104019411408116,0,2452
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,int8,1.6235123230903712,0,2833
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,int8,1.699664111801674,0,3105
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,int8,1.7599048970992333,0,3329
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,int8,1.5672355186169302,0,2640
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,knn16,int8,1.611432878488095,0,2791
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,knn16,int8,1.5660477689058727,0,2636
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,knn16,int8,1.7029453197048994,0,3117
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,knn16,int8,1.586411819486033,0,2705
1200011151_ToyCar_case2_normal_IND_ch1_1151,normal,knn16,int8,1.5580067744843105,0,2609
1200011034_ToyCar_case2_normal_IND_ch1_1034,normal,knn16,int8,1.7546103456998032,0,3309
1200010025_ToyCar_case2_normal_IND_ch1_0025,normal,knn16,int8,1.7179040023519327,0,3172
1200010408_ToyCar_case2_normal_IND_ch1_0408,normal,knn16,int8,1.6790112900029963,0,3030
1200010750_ToyCar_case2_normal_IND_ch1_0750,normal,knn16,int8,1.6298039216369193,0,2855
1200010434_ToyCar_case2_normal_IND_ch1_0434,normal,knn16,int8,1.535449747907745,0,2534
1200011114_ToyCar_case2_normal_IND_ch1_1114,normal,knn16,int8,1.5761151110277754,0,2670
1200010192_ToyCar_case2_normal_IND_ch1_0192,normal,knn16,int8,1.7045835551195327,0,3123
1200010655_ToyCar_case2_normal_IND_ch1_0655,normal,knn16,int8,1.673460824268213,0,3010
1200011031_ToyCar_case2_normal_IND_ch1_1031,normal,knn16,int8,1.7785732685226927,0,3400
1200010926_ToyCar_case2_normal_IND_ch1_0926,normal,knn16,int8,1.7260086424153296,0,3202
1200010354_ToyCar_case2_normal_IND_ch1_0354,normal,knn16,int8,1.5983893184324647,0,2746
1200010687_ToyCar_case2_normal_IND_ch1_0687,normal,knn16,int8,1.6597837405661022,0,2961
1200011190_ToyCar_case2_normal_IND_ch1_1190,normal,knn16,int8,1.5902193304834045,0,2718
1200010785_ToyCar_case2_normal_IND_ch1_0785,normal,knn16,int8,1.7879644510946624,0,3436
1200011343_ToyCar_case2_normal_IND_ch1_1343,normal,knn16,int8,1.667333970925939,0,2988
1200010359_ToyCar_case2_normal_IND_ch1_0359,normal,knn16,int8,1.4811675969638474,0,2358
1200010842_ToyCar_case2_normal_IND_ch1_0842,normal,knn16,int8,1.8275931704500727,0,3590
1200010759_ToyCar_case2_normal_IND_ch1_0759,normal,knn16,int8,1.650790602981576,0,2929
1200010526_ToyCar_case2_normal_IND_ch1_0526,normal,knn16,int8,1.6779026657223326,0,3026
1200010376_ToyCar_case2_normal_IND_ch1_0376,normal,knn16,int8,1.5408935497909415,0,2552
1200010289_ToyCar_case2_normal_IND_ch1_0289,normal,knn16,int8,1.7707092361841554,0,3370
1200010110_ToyCar_case2_normal_IND_ch1_0110,normal,knn16,int8,1.721150438007973,0,3184
1200010188_ToyCar_case2_normal_IND_ch1_0188,normal,knn16,int8,1.7628101221380188,0,3340
1200011155_ToyCar_case2_normal_IND_ch1_1155,normal,knn16,int8,1.5427038815879257,0,2558
1200011097_ToyCar_case2_normal_IND_ch1_1097,normal,knn16,int8,1.5934339644056423,0,2729
1200011246_ToyCar_case2_normal_IND_ch1_1246,normal,knn16,int8,1.5946013154518897,0,2733
1200010943_ToyCar_case2_normal_IND_ch1_0943,normal,knn16,int8,1.8058277118507626,0,3505
1200010564_ToyCar_case2_normal_IND_ch1_0564,normal,knn16,int8,1.5989712916243075,0,2748
1200010924_ToyCar_case2_normal_IND_ch1_0924,normal,knn16,int8,1.8278476921657347,0,3591
1200010421_ToyCar_case2_normal_IND_ch1_0421,normal,knn16,int8,1.4688676850490496,0,2319
1200011294_ToyCar_case2_normal_IND_ch1_1294,normal,knn16,int8,1.5639670363968943,0,2629
1200010045_ToyCar_case2_normal_IND_ch1_0045,normal,knn16,int8,1.738897498280275,0,3250
1200010828_ToyCar_case2_normal_IND_ch1_0828,normal,knn16,int8,1.7952347402538054,0,3464
1200010834_ToyCar_case2_normal_IND_ch1_0834,normal,knn16,int8,1.7824922742332725,0,3415
1200010169_ToyCar_case2_normal_IND_ch1_0169,normal,knn16,int8,1.796529910136043,0,3469
1200010010_ToyCar_case2_normal_IND_ch1_0010,normal,knn16,int8,1.6884052063034396,0,3064
1200011080_ToyCar_case2_normal_IND_ch1_1080,normal,knn16,int8,1.5805361999675638,0,2685
1200010509_ToyCar_case2_normal_IND_ch1_0509,normal,knn16,int8,1.534843689171718,0,2532
1200011163_ToyCar_case2_normal_IND_ch1_1163,normal,knn16,int8,1.6343644172156788,0,2871
1200011258_ToyCar_case2_normal_IND_ch1_1258,normal,knn16,int8,1.6474055195773831,0,2917
1200010853_ToyCar_case2_normal_IND_ch1_0853,normal,knn16,int8,1.800409829514166,0,3484
1200010180_ToyCar_case2_normal_IND_ch1_0180,normal,knn16,int8,1.8071152897055105,0,3510
1200010397_ToyCar_case2_normal_IND_ch1_0397,normal,knn16,int8,1.5214493191285323,0,2488
1200010802_ToyCar_case2_normal_IND_ch1_0802,normal,knn16,int8,1.7916032835134548,0,3450
1200010696_ToyCar_case2_normal_IND_ch1_0696,normal,knn16,int8,1.5490233816645202,0,2579
1200010181_ToyCar_case2_normal_IND_ch1_0181,normal,knn16,int8,1.8024757049264382,0,3492
1200010772_ToyCar_case2_normal_IND_ch1_0772,normal,knn16,int8,1.627804687124381,0,2848
1200011287_ToyCar_case2_normal_IND_ch1_1287,normal,knn16,int8,1.7249302239142872,0,3198
1200010809_ToyCar_case2_normal_IND_ch1_0809,normal,knn16,int8,1.7535495170987807,0,3305
1200011100_ToyCar_case2_normal_IND_ch1_1100,normal,knn16,int8,1.5299865767099352,0,2516
