clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1982427651041143,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1804504076519728,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.1975694341431595,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.1993746390782787,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2314215130689978,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.222718607619926,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.3567951025922547,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.319883726301467,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1825188267370705,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1983810644771327,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.1849676770814774,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.2519212833742943,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3290168703965552,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.2353342743634437,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.2343874196636244,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2186549822664634,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2758184289020214,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2733248216162096,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.165023213889494,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.2627814573839036,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2167600805269243,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.2269266135859542,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.2328604599020891,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3088028100129583,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2923987064449092,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1426001735905713,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.3452150340204745,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0987312046037703,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.2816489972658625,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.2476400779326773,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1611357962345208,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.2031450085465443,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2960762437723115,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.2198336022071152,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.3548745440156735,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.329054716978449,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.4036654221223723,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.3061041213159903,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.2059451649269133,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.1228386936040724,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.2487507117318666,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.2768450420090898,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.181064722314339,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.2408712206865897,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.3147662809180662,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.2938443088715745,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.163781707132182,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.2093778933042267,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.3082897151005353,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.222496566523175,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.2224412001631388,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.3283145702177446,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.3034506757481237,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.2321934343987764,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.3022014370642645,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.1710108949137787,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.1788037813953616,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.263288069519728,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.193549582529123,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.1406507045543346,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.2216584936398798,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.18688133273069,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.3566473265718102,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.371591065462238,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.350706185365387,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.3545662661543394,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.3329752395892132,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.1616329382912274,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.15577138271793,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.245152050855134,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.1178135717054587,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.3334049085953708,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.1625211656743941,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.1701416149711026,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.262806876869828,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.3283079486569322,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.2074791683737796,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.3292102107230301,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.3187045587435753,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,1.156109539571052,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.1968594472218268,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,1.1651316659654691,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,1.3204166429427042,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,1.2258807748832832,0,
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,fp32,1.1194366443019061,0,
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,fp32,1.1800624913087465,0,
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,fp32,1.195517024269961,0,
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,fp32,1.2301771546991478,0,
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,fp32,1.2374648371362937,0,
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,fp32,1.1408752521677257,0,
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,fp32,1.1912118552855195,0,
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,fp32,1.2685989710751744,0,
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,fp32,1.1714114626601728,0,
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,fp32,1.2612919946359642,0,
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,fp32,1.2228094109737937,0,
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,fp32,1.2302645793615725,0,
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,fp32,1.1598776122058025,0,
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,fp32,1.2252256865950544,0,
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,fp32,1.1704037559335132,0,
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,fp32,1.2254408834148334,0,
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,fp32,1.1727216015879458,0,
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,fp32,1.2863875402105427,0,
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,fp32,1.239135033803156,0,
