clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.1971146519097895,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.17573954038923,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.1949600827205573,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.2001966471716747,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2289817476903737,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.2140062028867518,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.3522383885569365,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.3163148530626188,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1746848246392532,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1968573382120429,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.1851876088749294,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.2461090955311174,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3279095913499472,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.2303629809399321,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.2288485864208045,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2161932077754385,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.272819548319852,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.271741996859026,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.155827210742989,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.2603167868967198,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2155279366684817,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.2242322511910801,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.2282702745022978,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.30476985795897,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.291460290740156,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1424889321942,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.3439280004082055,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0983655890587891,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.274407391006625,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.242574922640771,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1605123631285748,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.1991890587033984,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.2965683219792798,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.2173410520859207,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.3513312145158627,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.327899856218496,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.4015332563452991,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.3046550554730467,0,
