clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.2040890629407157,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1772834329807347,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.1989998708676273,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.2033054102672105,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.235837447559028,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.2330924985445997,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.360504891400422,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.3242363905592036,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1878727217886251,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.2015401436078217,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.1898090958546255,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.2582845269348126,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.3326993104947642,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.234839315131563,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.231255603837754,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2162939766764682,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2823954815982113,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2764491953557142,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.1703748372761666,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.268062047195701,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.2195821408564969,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.228664251299723,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.2323187985736712,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3125008423324882,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.2946597869579535,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1458169279882717,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.3484666285749904,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.0963781136433666,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.2790273415657025,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.2414478507575344,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1630115361382913,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.2089597958364535,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.3006428025756713,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.2249724545220222,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.358089612522535,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.3281764443702282,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.405930933522761,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.3085153928310738,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.2088438081719755,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.1234326099622902,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.254750538554518,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.279118478897834,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.187966403253113,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.2460834010663002,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.318616397361174,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.297869857603541,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.168553620234473,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.2137705873905866,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.310840718939236,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.2259865308839237,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.2259849355131087,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.3320543208641968,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.308431497974091,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.2363423666366253,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.3086390049662031,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.1752603563866033,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.1726616924828512,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.2684227793025138,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,1.1958975877662532,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,1.1444413236648567,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,1.2266537871329362,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,1.1900954823650598,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,1.3602056643508078,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,1.3757187874636114,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,1.3512613238429783,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,1.3581609840341962,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,1.3360969486882792,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,1.1688705946209204,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,1.1614805369340375,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,1.2466323891521012,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,1.11899812981439,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,1.3349026024784016,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,1.1683819156461317,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,1.171729100734497,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,1.2680459620588187,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,1.3312012794460442,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,1.2093649482016913,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,1.333692098643418,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,1.322856883816306,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,1.159986508714734,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,1.1995481575162183,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,1.1681427437438634,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,1.3252504925986641,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,1.2299070243639332,0,
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,fp32,1.1239373085074165,0,
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,fp32,1.1838293849641912,0,
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,fp32,1.1992948579084275,0,
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,fp32,1.2348341452706864,0,
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,fp32,1.238991458196851,0,
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,fp32,1.1389215065909783,0,
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,fp32,1.1932139153695738,0,
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,fp32,1.2718569689026065,0,
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,fp32,1.1750882716259463,0,
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,fp32,1.263761125972012,0,
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,fp32,1.227320509101053,0,
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,fp32,1.2366650261380672,0,
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,fp32,1.1600557179594015,0,
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,fp32,1.229063637836899,0,
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,fp32,1.1707949698573632,0,
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,fp32,1.226318823811781,0,
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,fp32,1.1748871024951262,0,
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,fp32,1.2900821142212238,0,
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,fp32,1.2375303432515974,0,
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,knn16,fp32,1.2505309499981292,0,
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,knn16,fp32,1.1719430240970352,0,
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,knn16,fp32,1.33775790662079,0,
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,knn16,fp32,1.1217930174104385,0,
1200011151_ToyCar_case2_normal_IND_ch1_1151,normal,knn16,fp32,1.212923151286598,0,
1200011034_ToyCar_case2_normal_IND_ch1_1034,normal,knn16,fp32,1.2862544122738986,0,
1200010025_ToyCar_case2_normal_IND_ch1_0025,normal,knn16,fp32,1.2745002805093546,0,
1200010408_ToyCar_case2_normal_IND_ch1_0408,normal,knn16,fp32,1.2070152648842498,0,
1200010750_ToyCar_case2_normal_IND_ch1_0750,normal,knn16,fp32,1.1942857903911555,0,
1200010434_ToyCar_case2_normal_IND_ch1_0434,normal,knn16,fp32,1.2230011147924522,0,
1200011114_ToyCar_case2_normal_IND_ch1_1114,normal,knn16,fp32,1.1637289731866136,0,
1200010192_ToyCar_case2_normal_IND_ch1_0192,normal,knn16,fp32,1.320405834478051,0,
1200010655_ToyCar_case2_normal_IND_ch1_0655,normal,knn16,fp32,1.1516786877680896,0,
1200011031_ToyCar_case2_normal_IND_ch1_1031,normal,knn16,fp32,1.2832327023334908,0,
1200010926_ToyCar_case2_normal_IND_ch1_0926,normal,knn16,fp32,1.333860890794631,0,
1200010354_ToyCar_case2_normal_IND_ch1_0354,normal,knn16,fp32,1.1735655170628354,0,
1200010687_ToyCar_case2_normal_IND_ch1_0687,normal,knn16,fp32,1.1753366352747046,0,
1200011190_ToyCar_case2_normal_IND_ch1_1190,normal,knn16,fp32,1.1930522123028044,0,
1200010785_ToyCar_case2_normal_IND_ch1_0785,normal,knn16,fp32,1.2990311863723203,0,
1200011343_ToyCar_case2_normal_IND_ch1_1343,normal,knn16,fp32,1.1777125941135869,0,
1200010359_ToyCar_case2_normal_IND_ch1_0359,normal,knn16,fp32,1.1746158592378733,0,
1200010842_ToyCar_case2_normal_IND_ch1_0842,normal,knn16,fp32,1.3532293980110495,0,
1200010759_ToyCar_case2_normal_IND_ch1_0759,normal,knn16,fp32,1.2647463128655057,0,
1200010526_ToyCar_case2_normal_IND_ch1_0526,normal,knn16,fp32,1.2056869465834328,0,
1200010376_ToyCar_case2_normal_IND_ch1_0376,normal,knn16,fp32,1.1618417679222004,0,
1200010289_ToyCar_case2_normal_IND_ch1_0289,normal,knn16,fp32,1.3333223791018372,0,
1200010110_ToyCar_case2_normal_IND_ch1_0110,normal,knn16,fp32,1.3246441575238317,0,
1200010188_ToyCar_case2_normal_IND_ch1_0188,normal,knn16,fp32,1.3139394980437866,0,
1200011155_ToyCar_case2_normal_IND_ch1_1155,normal,knn16,fp32,1.2077816282935443,0,
1200011097_ToyCar_case2_normal_IND_ch1_1097,normal,knn16,fp32,1.1278310589934581,0,
1200011246_ToyCar_case2_normal_IND_ch1_1246,normal,knn16,fp32,1.1959227715403007,0,
1200010943_ToyCar_case2_normal_IND_ch1_0943,normal,knn16,fp32,1.3151670431166071,0,
1200010564_ToyCar_case2_normal_IND_ch1_0564,normal,knn16,fp32,1.2149046613644339,0,
1200010924_ToyCar_case2_normal_IND_ch1_0924,normal,knn16,fp32,1.2953383668929044,0,
1200010421_ToyCar_case2_normal_IND_ch1_0421,normal,knn16,fp32,1.1493689772625268,0,
1200011294_ToyCar_case2_normal_IND_ch1_1294,normal,knn16,fp32,1.21707973012009,0,
1200010045_ToyCar_case2_normal_IND_ch1_0045,normal,knn16,fp32,1.3142046146259898,0,
1200010828_ToyCar_case2_normal_IND_ch1_0828,normal,knn16,fp32,1.29964789481507,0,
1200010834_ToyCar_case2_normal_IND_ch1_0834,normal,knn16,fp32,1.3271009177323607,0,
1200010169_ToyCar_case2_normal_IND_ch1_0169,normal,knn16,fp32,1.3032753777985848,0,
1200010010_ToyCar_case2_normal_IND_ch1_0010,normal,knn16,fp32,1.2486416819835766,0,
1200011080_ToyCar_case2_normal_IND_ch1_1080,normal,knn16,fp32,1.181812609459881,0,
1200010509_ToyCar_case2_normal_IND_ch1_0509,normal,knn16,fp32,1.213840573372025,0,
1200011163_ToyCar_case2_normal_IND_ch1_1163,normal,knn16,fp32,1.2086370270730875,0,
1200011258_ToyCar_case2_normal_IND_ch1_1258,normal,knn16,fp32,1.2572876560225956,0,
1200010853_ToyCar_case2_normal_IND_ch1_0853,normal,knn16,fp32,1.3798144659755744,0,
1200010180_ToyCar_case2_normal_IND_ch1_0180,normal,knn16,fp32,1.3056942797405773,0,
1200010397_ToyCar_case2_normal_IND_ch1_0397,normal,knn16,fp32,1.1679871028850977,0,
1200010802_ToyCar_case2_normal_IND_ch1_0802,normal,knn16,fp32,1.310099550549131,0,
1200010696_ToyCar_case2_normal_IND_ch1_0696,normal,knn16,fp32,1.2043777655714647,0,
1200010181_ToyCar_case2_normal_IND_ch1_0181,normal,knn16,fp32,1.315201035386729,0,
1200010772_ToyCar_case2_normal_IND_ch1_0772,normal,knn16,fp32,1.2655958353172996,0,
1200011287_ToyCar_case2_normal_IND_ch1_1287,normal,knn16,fp32,1.2621040517338054,0,
1200010809_ToyCar_case2_normal_IND_ch1_0809,normal,knn16,fp32,1.2805991634330989,0,
1200011100_ToyCar_case2_normal_IND_ch1_1100,normal,knn16,fp32,1.2215349349583602,0,
1200010997_ToyCar_case2_normal_IND_ch1_0997,normal,knn16,fp32,1.2715835063091736,0,
1200010818_ToyCar_case2_normal_IND_ch1_0818,normal,knn16,fp32,1.3443337520623242,0,
1200010957_ToyCar_case2_normal_IND_ch1_0957,normal,knn16,fp32,1.2962930154733843,0,
1200010576_ToyCar_case2_normal_IND_ch1_0576,normal,knn16,fp32,1.266996540383609,0,
1200010402_ToyCar_case2_normal_IND_ch1_0402,normal,knn16,fp32,1.1625911710996242,0,
1200011215_ToyCar_case2_normal_IND_ch1_1215,normal,knn16,fp32,1.2577877219961484,0,
1200011313_ToyCar_case2_normal_IND_ch1_1313,normal,knn16,fp32,1.2532943248247477,0,
1200010268_ToyCar_case2_normal_IND_ch1_0268,normal,knn16,fp32,1.3580597477073781,0,
1200010032_ToyCar_case2_normal_IND_ch1_0032,normal,knn16,fp32,1.2812724053269444,0,
1200011165_ToyCar_case2_normal_IND_ch1_1165,normal,knn16,fp32,1.2099127370249239,0,
1200010168_ToyCar_case2_normal_IND_ch1_0168,normal,knn16,fp32,1.2993845427516717,0,
1200011047_ToyCar_case2_normal_IND_ch1_1047,normal,knn16,fp32,1.2890070296711649,0,
1200010704_ToyCar_case2_normal_IND_ch1_0704,normal,knn16,fp32,1.2596858743925672,0,
1200010663_ToyCar_case2_normal_IND_ch1_0663,normal,knn16,fp32,1.174924819545064,0,
1200010324_ToyCar_case2_normal_IND_ch1_0324,normal,knn16,fp32,1.1967065335899871,0,
1200011184_ToyCar_case2_normal_IND_ch1_1184,normal,knn16,fp32,1.1750585819087722,0,
