clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,1.2023843455706165,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,1.1726554635444115,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,1.1941657312709204,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,1.1994889518312883,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,1.2329146286020076,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,1.222541932772021,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,1.355513686990741,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,1.3201541677540394,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,1.1778037928460572,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,1.1994130195477803,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,1.1877139249446038,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,1.2518068973215326,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,1.331023904195019,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,1.2279794935617037,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,1.2242224304535305,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,1.2120006983290648,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,1.2786985999741787,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,1.2742975354255446,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,1.160506099808793,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,1.2649556824391655,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,1.217569437083195,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,1.2241906025319198,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,1.226042521905808,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,1.3081109436394973,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,1.293169510777704,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,1.1450404153644989,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,1.3466081231517866,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,1.09546468040229,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,1.2682632826140738,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,1.2348332582459165,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,1.1616255101911035,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,1.2043799158178432,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,1.300511625227383,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,1.2219602224133077,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,1.353979808536423,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,1.3265045698670275,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,1.4034950484576612,1,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,1.3064231759944096,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,1.1992731282414013,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,1.1193256563412775,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,1.2456065350606758,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,1.2762986206483127,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,1.1819902990376125,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,1.2447760027169088,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,1.3179839357901024,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,1.2936808988719584,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,1.161407619092133,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,1.2036488164803236,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,1.3040639860607446,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,1.2158147373189476,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,1.219971102741075,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,1.3279268205610502,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,1.3072961654513826,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,1.2290738234051772,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,1.307700089039929,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,1.1681030310219709,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,1.1684235878361795,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,1.263737732915367,0,
