clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,0.765276306076807,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,0.7708018653445233,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,0.7278673249159721,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,0.6986855261283175,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,0.7357531397731177,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,0.7402961255035522,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,0.8443749209385013,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,0.8146069622514639,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,0.736301398318066,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,0.7124907044790233,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,0.7179910026589492,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,0.7677997323820108,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,0.8278088202550652,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,0.7988364219162389,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,0.7312491353368268,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,0.7232285935099841,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,0.7725414488523487,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,0.8097729389233992,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,0.703489236838597,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,0.7791343087247359,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,0.7195907811203992,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,0.7453076217951472,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,0.7602904268903357,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,0.7808739722957682,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,0.802602354270188,0,
