clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,euclidean,int8,1.1809568683446756,0,1197
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,euclidean,int8,1.0928206523897972,0,1025
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,euclidean,int8,1.1269384844101367,0,1090
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,euclidean,int8,1.1590485147227256,0,1153
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,euclidean,int8,1.1710493370069102,0,1177
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,euclidean,int8,1.193225604767656,0,1222
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,euclidean,int8,1.2812753107211365,0,1409
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,euclidean,int8,1.2513724675365807,0,1344
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,euclidean,int8,1.1725408035468294,0,1180
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,euclidean,int8,1.1670627745026692,0,1169
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,euclidean,int8,1.0981385458505368,0,1035
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,euclidean,int8,1.2000413103320386,0,1236
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,euclidean,int8,1.2698575522005886,0,1384
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,euclidean,int8,1.1680606906956854,0,1171
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,euclidean,int8,1.1630625475680196,0,1161
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,euclidean,int8,1.1290043678754498,0,1094
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,euclidean,int8,1.2564829759535017,0,1355
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,euclidean,int8,1.2485761009857386,0,1338
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,euclidean,int8,1.112369876607606,0,1062
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,euclidean,int8,1.2164347595822285,0,1270
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,euclidean,int8,1.1356925360998171,0,1107
