clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,int8,0.7731177488096392,0,513
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,int8,0.7061693203357043,0,428
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,int8,0.7320923639003579,0,460
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,int8,0.726500741889549,0,453
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,int8,0.7693408930558348,0,508
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,int8,0.7281027300351779,0,455
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,int8,0.8213461825800042,0,579
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,int8,0.8255908939629769,0,585
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,int8,0.7176258855515792,0,442
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,int8,0.7647840461019748,0,502
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,int8,0.6618824771055865,0,376
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,int8,0.7917318185516855,0,538
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,int8,0.8615027682361507,0,637
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,int8,0.7723638551648941,0,512
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,int8,0.7360603732559912,0,465
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,int8,0.7462784647494124,0,478
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,int8,0.8113555010033813,0,565
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,int8,0.8368048663478835,0,601
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,int8,0.7216734409760576,0,447
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,int8,0.823471273279564,0,582
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,int8,0.7208657480078494,0,446
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,int8,0.6877806890852903,0,406
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,int8,0.7640219292748086,0,501
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,int8,0.8220551565424625,0,580
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,int8,0.8395849566188804,0,605
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,int8,0.7160004567701577,0,440
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,int8,0.8587936333260295,0,633
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,int8,0.7061693203357043,0,428
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,int8,0.755587911536721,0,490
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,int8,0.733682142892839,0,462
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,int8,0.726500741889549,0,453
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,int8,0.7700977460603663,0,509
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,int8,0.8933718151616863,0,685
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,int8,0.7617310037899728,0,498
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,int8,0.8940236735593713,0,686
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,int8,0.8063137402359573,0,558
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,int8,0.9254024195400806,1,735
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,int8,0.8381960640936661,0,603
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,int8,0.751722986387864,0,485
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,int8,0.5961243759389738,0,305
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,int8,0.7493944635410431,0,482
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,int8,0.819926395550315,0,577
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,int8,0.6732273667717453,0,389
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,int8,0.774623334946152,0,515
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,int8,0.8695795333321931,0,649
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,int8,0.8213461825800042,0,579
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,int8,0.7571283573998783,0,492
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,int8,0.7571283573998783,0,492
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,int8,0.8262962259104749,0,586
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,int8,0.7135553712341836,0,437
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,int8,0.7289024037852984,0,456
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,int8,0.8326173261394801,0,595
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,int8,0.8835362294414878,0,670
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,int8,0.7400071059620198,0,470
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,int8,0.8492436058110918,0,619
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,int8,0.7256984216647837,0,452
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,int8,0.6653938146215781,0,380
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,int8,0.8019670037710136,0,552
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,int8,0.698705195450576,0,419
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,int8,0.6995384756458608,0,420
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,int8,0.6860845565672082,0,404
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,int8,0.7320923639003579,0,460
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,int8,0.8601492673716212,0,635
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,int8,0.9114476427013688,1,713
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,int8,0.856756160388358,0,630
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,int8,0.835411351864987,0,599
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,int8,0.8581150132016196,0,632
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,int8,0.727302177038796,0,454
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,int8,0.6636404681889443,0,378
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,int8,0.7932020738914978,0,540
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,int8,0.6467466463702833,0,359
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,int8,0.864877253415238,0,642
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,int8,0.744715576196796,0,476
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,int8,0.6860845565672082,0,404
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,int8,0.711920648877766,0,435
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,int8,0.8485573482397746,0,618
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,int8,0.7224802309887312,0,448
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,int8,0.8861697262787245,0,674
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,int8,0.8416639980768146,0,608
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,int8,0.6275456323214764,0,338
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,int8,0.7224802309887312,0,448
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,int8,0.7176258855515792,0,442
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,int8,0.831216791378184,0,593
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,int8,0.7594331674722659,0,495
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,int8,0.7078173256582552,0,430
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,int8,0.7783745594761132,0,520
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,int8,0.7360603732559912,0,465
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,int8,0.7700977460603663,0,509
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,int8,0.737641600369965,0,467
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,int8,0.6920028324184604,0,411
1200011252_ToyCar_case2_normal_IND_ch1_1252,normal,knn16,int8,0.7578974062090097,0,493
1200010939_ToyCar_case2_normal_IND_ch1_0939,normal,knn16,int8,0.8048674363984947,0,556
1200011185_ToyCar_case2_normal_IND_ch1_1185,normal,knn16,int8,0.7344757419814048,0,463
1200010803_ToyCar_case2_normal_IND_ch1_0803,normal,knn16,int8,0.7655454042259117,0,503
1200011140_ToyCar_case2_normal_IND_ch1_1140,normal,knn16,int8,0.7200571490455527,0,445
1200010744_ToyCar_case2_normal_IND_ch1_0744,normal,knn16,int8,0.7835961052447762,0,527
1200011146_ToyCar_case2_normal_IND_ch1_1146,normal,knn16,int8,0.7281027300351779,0,455
1200010736_ToyCar_case2_normal_IND_ch1_0736,normal,knn16,int8,0.76858329474992,0,507
1200010476_ToyCar_case2_normal_IND_ch1_0476,normal,knn16,int8,0.6565802623774074,0,370
1200010572_ToyCar_case2_normal_IND_ch1_0572,normal,knn16,int8,0.7360603732559912,0,465
1200011074_ToyCar_case2_normal_IND_ch1_1074,normal,knn16,int8,0.6766798374472569,0,393
1200011032_ToyCar_case2_normal_IND_ch1_1032,normal,knn16,int8,0.8127902598623225,0,567
1200011240_ToyCar_case2_normal_IND_ch1_1240,normal,knn16,int8,0.7320923639003579,0,460
1200011180_ToyCar_case2_normal_IND_ch1_1180,normal,knn16,int8,0.7423650740385117,0,473
1200011286_ToyCar_case2_normal_IND_ch1_1286,normal,knn16,int8,0.8077574544452765,0,560
1200010896_ToyCar_case2_normal_IND_ch1_0896,normal,knn16,int8,0.8581150132016196,0,632
1200011092_ToyCar_case2_normal_IND_ch1_1092,normal,knn16,int8,0.7624954104086047,0,499
1200011151_ToyCar_case2_normal_IND_ch1_1151,normal,knn16,int8,0.7344757419814048,0,463
1200011034_ToyCar_case2_normal_IND_ch1_1034,normal,knn16,int8,0.7806166415837894,0,523
1200010025_ToyCar_case2_normal_IND_ch1_0025,normal,knn16,int8,0.8012402550909121,0,551
1200010408_ToyCar_case2_normal_IND_ch1_0408,normal,knn16,int8,0.7423650740385117,0,473
1200010750_ToyCar_case2_normal_IND_ch1_0750,normal,knn16,int8,0.7344757419814048,0,463
1200010434_ToyCar_case2_normal_IND_ch1_0434,normal,knn16,int8,0.7304991250936582,0,458
1200011114_ToyCar_case2_normal_IND_ch1_1114,normal,knn16,int8,0.7548165096903464,0,489
