clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,0.7979784481372064,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,0.7402871101528523,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,0.6893140660634994,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,0.6845145922169558,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,0.724278998227059,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,0.7786840684955939,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,0.7726878932842273,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,0.7820973416570554,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,0.7532008002518189,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,0.6755706353059054,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,0.6985031204762477,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,0.7914540941167464,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,0.8179950951823917,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,0.8197382073091922,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,0.7524393986988556,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,0.7744966993391184,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,0.8358364556492466,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,0.7868562870771771,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,0.7413010925008608,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,0.8010219537806299,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,0.694398740613439,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,0.7421622668554434,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,0.7683093931023265,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,0.770213609464149,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,0.7855911665199611,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,0.6638877860930688,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,0.7888059711912291,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,0.6170481999093208,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,0.751403053300238,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,0.6560712015112337,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,0.7026368447207065,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,0.7747506106698188,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,0.8813660375218946,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,0.7224792889344944,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,0.861988892542469,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,0.8464700912622906,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,0.8303072900829238,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,0.8857608979633562,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,0.7325825385839283,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,0.6668635030853842,0,
