clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,int8,0.7954023612635898,0,543
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,int8,0.7392194451683322,0,469
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,int8,0.6894726490566908,0,408
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,int8,0.6826796494131013,0,400
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,int8,0.7281027300351779,0,455
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,int8,0.7776257622277739,0,519
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,int8,0.7693408930558348,0,508
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,int8,0.7791226370725858,0,521
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,int8,0.7501714409021946,0,483
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,int8,0.6732273667717453,0,389
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,int8,0.6978709202928007,0,418
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,int8,0.7880441794154844,0,533
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,int8,0.8170794203031329,0,573
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,int8,0.8185041457448566,0,575
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,int8,0.751722986387864,0,485
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,int8,0.7731177488096392,0,513
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,int8,0.8326173261394801,0,595
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,int8,0.7798699970881348,0,522
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,int8,0.7400071059620198,0,470
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,int8,0.8048674363984947,0,556
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,int8,0.6978709202928007,0,418
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,int8,0.737641600369965,0,467
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,int8,0.7700977460603663,0,509
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,int8,0.7700977460603663,0,509
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,int8,0.7821077922103629,0,525
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,int8,0.6636404681889443,0,378
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,int8,0.7873045788964504,0,532
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,int8,0.6153591201686791,0,325
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,int8,0.751722986387864,0,485
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,int8,0.6548033165958853,0,368
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,int8,0.6978709202928007,0,418
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,int8,0.7738709080226439,0,514
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,int8,0.8769178873432857,0,660
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,int8,0.7224802309887312,0,448
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,int8,0.8628541459581479,0,639
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,int8,0.8416639980768146,0,608
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,int8,0.8262962259104749,0,586
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,int8,0.8815559440317786,0,667
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,int8,0.7289024037852984,0,456
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,int8,0.6680152055264731,0,383
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,int8,0.7486166797678642,0,481
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,int8,0.7990560431535632,0,548
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,int8,0.6740921421658355,0,390
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,int8,0.785823289571328,0,530
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,int8,0.8933718151616863,0,685
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,int8,0.7524975594798934,0,486
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,int8,0.6953620892113688,0,415
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,int8,0.7328876844650353,0,461
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,int8,0.7753750317120132,0,516
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,int8,0.7632590514717095,0,500
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,int8,0.7647840461019748,0,502
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,int8,0.7835961052447762,0,527
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,int8,0.835411351864987,0,599
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,int8,0.6877806890852903,0,406
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,int8,0.8005128466294861,0,550
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,int8,0.7012020653332024,0,422
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,int8,0.6740921421658355,0,390
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,int8,0.7843392027140357,0,528
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,int8,0.7328876844650353,0,461
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,int8,0.6911604671245779,0,410
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,int8,0.7111018784528926,0,434
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,int8,0.8220551565424625,0,580
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,int8,0.8729227964641372,0,654
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,int8,0.8206365961126999,0,578
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,int8,0.8642034104976553,0,641
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,int8,0.7791226370725858,0,521
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,int8,0.7594331674722659,0,495
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,int8,0.7392194451683322,0,469
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,int8,0.7003707644299851,0,421
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,int8,0.7761260004417533,0,517
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,int8,0.5862704017734147,0,295
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,int8,0.7761260004417533,0,517
