clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,int8,0.7791226370725858,0,521
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,int8,0.7828523024143668,0,526
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,int8,0.7176258855515792,0,442
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,int8,0.7312961783859582,0,459
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,int8,0.7663060059080326,0,504
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,int8,0.8127902598623225,0,567
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,int8,0.7961344390635297,0,544
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,int8,0.76858329474992,0,507
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,int8,0.7594331674722659,0,495
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,int8,0.702032381864865,0,423
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,int8,0.7240911142170882,0,450
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,int8,0.7939361805492178,0,541
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,int8,0.8255908939629769,0,585
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,int8,0.8077574544452765,0,560
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,int8,0.7594331674722659,0,495
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,int8,0.7578974062090097,0,493
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,int8,0.8381960640936661,0,603
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,int8,0.7791226370725858,0,521
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,int8,0.7289024037852984,0,456
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,int8,0.8005128466294861,0,550
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,int8,0.7045174600141408,0,426
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,int8,0.7352684845132709,0,464
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,int8,0.8326173261394801,0,595
