clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,0.7655977384181483,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,0.7693110467073568,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,0.7280139216819144,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,0.6959808427873581,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,0.7358158061088272,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,0.7368320218630162,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,0.8438840701637158,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,0.815619753102636,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,0.7353228974587762,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,0.7109407704092185,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,0.7177251488322719,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,0.7678597025355877,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,0.8290676520662265,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,0.7975597802220545,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,0.7293301491556771,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,0.7223838684462167,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,0.7697200459880482,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,0.8097413392835593,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,0.7039555950545269,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,0.778741848464621,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,0.7171538017275361,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,0.7450446994883493,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,0.7574561097782402,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,0.7811671297547627,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,0.8014561255645336,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,0.6831998582197029,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,0.8654362554363629,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,0.6666100875233216,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,0.7249798159165363,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,0.7111588561956803,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,0.7003928916806802,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,0.7349305637763506,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,0.8301238202875698,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,0.7415593892458137,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,0.8410632460149332,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,0.7962738008542065,0,
1200010062_ToyCar_case2_normal_IND_ch1_0062,normal,knn16,fp32,0.8571356396182909,0,
1200010814_ToyCar_case2_normal_IND_ch1_0814,normal,knn16,fp32,0.8446166319202214,0,
1200011208_ToyCar_case2_normal_IND_ch1_1208,normal,knn16,fp32,0.6683326281761927,0,
1200011062_ToyCar_case2_normal_IND_ch1_1062,normal,knn16,fp32,0.6524287203366117,0,
1200011268_ToyCar_case2_normal_IND_ch1_1268,normal,knn16,fp32,0.7451743729375566,0,
1200010281_ToyCar_case2_normal_IND_ch1_0281,normal,knn16,fp32,0.822430292548461,0,
1200010346_ToyCar_case2_normal_IND_ch1_0346,normal,knn16,fp32,0.7336763623585035,0,
1200010242_ToyCar_case2_normal_IND_ch1_0242,normal,knn16,fp32,0.8075445358287815,0,
1200010091_ToyCar_case2_normal_IND_ch1_0091,normal,knn16,fp32,0.8301184243922577,0,
1200010832_ToyCar_case2_normal_IND_ch1_0832,normal,knn16,fp32,0.7846406272259459,0,
1200010363_ToyCar_case2_normal_IND_ch1_0363,normal,knn16,fp32,0.7924408348879454,0,
1200011278_ToyCar_case2_normal_IND_ch1_1278,normal,knn16,fp32,0.7070060451572007,0,
1200010300_ToyCar_case2_normal_IND_ch1_0300,normal,knn16,fp32,0.7956072713090415,0,
1200010525_ToyCar_case2_normal_IND_ch1_0525,normal,knn16,fp32,0.7121137236441226,0,
1200011164_ToyCar_case2_normal_IND_ch1_1164,normal,knn16,fp32,0.7244524505058765,0,
1200010935_ToyCar_case2_normal_IND_ch1_0935,normal,knn16,fp32,0.8034898046686908,0,
1200010234_ToyCar_case2_normal_IND_ch1_0234,normal,knn16,fp32,0.8633309279385065,0,
1200011171_ToyCar_case2_normal_IND_ch1_1171,normal,knn16,fp32,0.7043346810278082,0,
1200010843_ToyCar_case2_normal_IND_ch1_0843,normal,knn16,fp32,0.8270424663579498,0,
1200011212_ToyCar_case2_normal_IND_ch1_1212,normal,knn16,fp32,0.7014680757037194,0,
1200010303_ToyCar_case2_normal_IND_ch1_0303,normal,knn16,fp32,0.7171553510719872,0,
1200010804_ToyCar_case2_normal_IND_ch1_0804,normal,knn16,fp32,0.7509791851963735,0,
1200011142_ToyCar_case2_normal_IND_ch1_1142,normal,knn16,fp32,0.6751488873935291,0,
1200010505_ToyCar_case2_normal_IND_ch1_0505,normal,knn16,fp32,0.6672372903050312,0,
1200011347_ToyCar_case2_normal_IND_ch1_1347,normal,knn16,fp32,0.685535238017576,0,
1200010667_ToyCar_case2_normal_IND_ch1_0667,normal,knn16,fp32,0.7242333528009556,0,
1200010105_ToyCar_case2_normal_IND_ch1_0105,normal,knn16,fp32,0.8094406212624832,0,
1200010141_ToyCar_case2_normal_IND_ch1_0141,normal,knn16,fp32,0.8540777756276877,0,
1200010100_ToyCar_case2_normal_IND_ch1_0100,normal,knn16,fp32,0.81589640719704,0,
1200010976_ToyCar_case2_normal_IND_ch1_0976,normal,knn16,fp32,0.8043362439597487,0,
1200010945_ToyCar_case2_normal_IND_ch1_0945,normal,knn16,fp32,0.7788679678100642,0,
1200010676_ToyCar_case2_normal_IND_ch1_0676,normal,knn16,fp32,0.725202059765975,0,
1200010490_ToyCar_case2_normal_IND_ch1_0490,normal,knn16,fp32,0.7010722802940922,0,
1200011247_ToyCar_case2_normal_IND_ch1_1247,normal,knn16,fp32,0.7619062477520356,0,
1200011056_ToyCar_case2_normal_IND_ch1_1056,normal,knn16,fp32,0.6440216583579854,0,
1200010953_ToyCar_case2_normal_IND_ch1_0953,normal,knn16,fp32,0.8371974600259686,0,
1200011267_ToyCar_case2_normal_IND_ch1_1267,normal,knn16,fp32,0.7379836334049353,0,
1200010527_ToyCar_case2_normal_IND_ch1_0527,normal,knn16,fp32,0.7122747587224191,0,
1200011048_ToyCar_case2_normal_IND_ch1_1048,normal,knn16,fp32,0.7246502779933384,0,
1200010294_ToyCar_case2_normal_IND_ch1_0294,normal,knn16,fp32,0.8229800947471054,0,
1200010541_ToyCar_case2_normal_IND_ch1_0541,normal,knn16,fp32,0.7357504909870078,0,
1200010085_ToyCar_case2_normal_IND_ch1_0085,normal,knn16,fp32,0.8422092622181697,0,
1200010868_ToyCar_case2_normal_IND_ch1_0868,normal,knn16,fp32,0.8308257009535142,0,
1200010471_ToyCar_case2_normal_IND_ch1_0471,normal,knn16,fp32,0.6962313714324958,0,
1200011156_ToyCar_case2_normal_IND_ch1_1156,normal,knn16,fp32,0.6853105039631302,0,
1200010622_ToyCar_case2_normal_IND_ch1_0622,normal,knn16,fp32,0.7255497412365935,0,
1200010296_ToyCar_case2_normal_IND_ch1_0296,normal,knn16,fp32,0.8197883998230266,0,
1200011158_ToyCar_case2_normal_IND_ch1_1158,normal,knn16,fp32,0.7345755797972912,0,
1200010388_ToyCar_case2_normal_IND_ch1_0388,normal,knn16,fp32,0.7548343763586784,0,
1200010437_ToyCar_case2_normal_IND_ch1_0437,normal,knn16,fp32,0.7664232455122355,0,
1200011269_ToyCar_case2_normal_IND_ch1_1269,normal,knn16,fp32,0.7378370880554903,0,
1200011311_ToyCar_case2_normal_IND_ch1_1311,normal,knn16,fp32,0.7289808147519461,0,
1200011167_ToyCar_case2_normal_IND_ch1_1167,normal,knn16,fp32,0.7307672996374253,0,
1200010377_ToyCar_case2_normal_IND_ch1_0377,normal,knn16,fp32,0.7411250803601446,0,
