clip_name,true_label,head,head_precision,score,decision,sumsq
1200010748_ToyCar_case2_normal_IND_ch1_0748,normal,knn16,fp32,0.7834872632126353,0,
1200010336_ToyCar_case2_normal_IND_ch1_0336,normal,knn16,fp32,0.7873803895376842,0,
1200010489_ToyCar_case2_normal_IND_ch1_0489,normal,knn16,fp32,0.775511408774785,0,
1200011176_ToyCar_case2_normal_IND_ch1_1176,normal,knn16,fp32,0.717022609700529,0,
1200010007_ToyCar_case2_normal_IND_ch1_0007,normal,knn16,fp32,0.7560940765463567,0,
1200011271_ToyCar_case2_normal_IND_ch1_1271,normal,knn16,fp32,0.7813290201246187,0,
1200010904_ToyCar_case2_normal_IND_ch1_0904,normal,knn16,fp32,0.849598338843822,0,
1200010240_ToyCar_case2_normal_IND_ch1_0240,normal,knn16,fp32,0.8117765716728415,0,
1200010386_ToyCar_case2_normal_IND_ch1_0386,normal,knn16,fp32,0.766187283484329,0,
1200010734_ToyCar_case2_normal_IND_ch1_0734,normal,knn16,fp32,0.7322666059427096,0,
1200010455_ToyCar_case2_normal_IND_ch1_0455,normal,knn16,fp32,0.7422255060529063,0,
1200010745_ToyCar_case2_normal_IND_ch1_0745,normal,knn16,fp32,0.7749887119302123,0,
1200010891_ToyCar_case2_normal_IND_ch1_0891,normal,knn16,fp32,0.8135763391071502,0,
1200010447_ToyCar_case2_normal_IND_ch1_0447,normal,knn16,fp32,0.8229857319931465,0,
1200010595_ToyCar_case2_normal_IND_ch1_0595,normal,knn16,fp32,0.7666491576963506,0,
1200010540_ToyCar_case2_normal_IND_ch1_0540,normal,knn16,fp32,0.7321530977099225,0,
1200010088_ToyCar_case2_normal_IND_ch1_0088,normal,knn16,fp32,0.7601704740456371,0,
1200010285_ToyCar_case2_normal_IND_ch1_0285,normal,knn16,fp32,0.7922896081170175,0,
1200011085_ToyCar_case2_normal_IND_ch1_1085,normal,knn16,fp32,0.7169445979834028,0,
1200010060_ToyCar_case2_normal_IND_ch1_0060,normal,knn16,fp32,0.7794156749040091,0,
1200011162_ToyCar_case2_normal_IND_ch1_1162,normal,knn16,fp32,0.7454572805329314,0,
1200010337_ToyCar_case2_normal_IND_ch1_0337,normal,knn16,fp32,0.7325371255235416,0,
1200011298_ToyCar_case2_normal_IND_ch1_1298,normal,knn16,fp32,0.7952630409865218,0,
1200010021_ToyCar_case2_normal_IND_ch1_0021,normal,knn16,fp32,0.8344679354067315,0,
1200010918_ToyCar_case2_normal_IND_ch1_0918,normal,knn16,fp32,0.7907793101280359,0,
1200010619_ToyCar_case2_normal_IND_ch1_0619,normal,knn16,fp32,0.7074596291353338,0,
1200010146_ToyCar_case2_normal_IND_ch1_0146,normal,knn16,fp32,0.8400975388147375,0,
1200011068_ToyCar_case2_normal_IND_ch1_1068,normal,knn16,fp32,0.676361551541414,0,
1200011257_ToyCar_case2_normal_IND_ch1_1257,normal,knn16,fp32,0.7429645288840563,0,
1200011036_ToyCar_case2_normal_IND_ch1_1036,normal,knn16,fp32,0.721220657876021,0,
1200010618_ToyCar_case2_normal_IND_ch1_0618,normal,knn16,fp32,0.7082394531599502,0,
1200011120_ToyCar_case2_normal_IND_ch1_1120,normal,knn16,fp32,0.7549950638863112,0,
1200010120_ToyCar_case2_normal_IND_ch1_0120,normal,knn16,fp32,0.8376851957428092,0,
1200011152_ToyCar_case2_normal_IND_ch1_1152,normal,knn16,fp32,0.7748886887010121,0,
1200010244_ToyCar_case2_normal_IND_ch1_0244,normal,knn16,fp32,0.8479966454075073,0,
1200011044_ToyCar_case2_normal_IND_ch1_1044,normal,knn16,fp32,0.799351183536033,0,
