clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,int8,0.9534370242437836,0,1036
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,int8,0.8388789930255993,0,802
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,int8,0.900426194186589,0,924
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,int8,1.0923997424953396,0,1360
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,int8,0.5643719848187386,0,363
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,int8,0.8871730823202376,0,897
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,int8,1.1027923633966719,0,1386
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,int8,0.6435512441172633,0,472
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,int8,1.072539957364983,0,1311
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,int8,0.9062542562861655,0,936
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,int8,1.0123566879577313,0,1168
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,int8,0.8503069734015443,0,824
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,int8,1.050218764723318,0,1257
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,int8,1.0308232525425631,0,1211
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,int8,0.9612277951486785,0,1053
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,int8,0.9465095624844652,0,1021
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,int8,0.5781953874231545,0,381
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,int8,0.6800133557467862,0,527
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,int8,0.9427941033447174,0,1013
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,int8,0.5834827185005184,0,388
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,int8,0.8965197714520192,0,916
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,int8,0.8155427620844546,0,758
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,int8,0.9975132248334607,0,1134
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,int8,0.5849846070043178,0,390
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,int8,1.0418303016060544,0,1237
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,knn16,int8,0.9404644874706685,0,1008
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,knn16,int8,0.5781953874231545,0,381
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,knn16,int8,0.8461692020171442,0,816
