clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,euclidean,int8,2.57164722572007,0,7537
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,euclidean,int8,1.4119401838327936,0,2272
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,euclidean,int8,2.220453337425852,0,5619
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,euclidean,int8,1.6840221944729428,0,3232
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,euclidean,int8,1.0907920893173924,0,1356
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,euclidean,int8,1.9308809616507998,0,4249
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,euclidean,int8,1.7708811248843548,0,3574
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,euclidean,int8,1.1260198809264546,0,1445
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,euclidean,int8,1.7049939914934384,0,3313
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,euclidean,int8,2.136061766997063,0,5200
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,euclidean,int8,1.5932588948278668,0,2893
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,euclidean,int8,2.355076560637297,0,6321
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,euclidean,int8,1.5646393074191902,0,2790
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,euclidean,int8,1.8199967518150681,0,3775
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,euclidean,int8,1.9114700398457138,0,4164
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,euclidean,int8,2.0027085206358213,0,4571
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,euclidean,int8,1.023562339584102,0,1194
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,euclidean,int8,1.0944059879733785,0,1365
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,euclidean,int8,1.9934864830540633,0,4529
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,euclidean,int8,0.9502104937578294,0,1029
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,euclidean,int8,1.902497572714503,0,4125
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,euclidean,int8,1.3817885206666811,0,2176
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,euclidean,int8,1.764179329118195,0,3547
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,euclidean,int8,1.0879729800716829,0,1349
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,euclidean,int8,1.6998398261590169,0,3293
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,euclidean,int8,2.0355188394343138,0,4722
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,euclidean,int8,0.9698610708638529,0,1072
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,euclidean,int8,2.1085678822724887,0,5067
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,euclidean,int8,1.8183085546369888,0,3768
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,euclidean,int8,1.9219991126486813,0,4210
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,euclidean,int8,1.8448965754388325,0,3879
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,euclidean,int8,2.0622848186888683,0,4847
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,euclidean,int8,0.9506720971339794,0,1030
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,euclidean,int8,2.241886591744159,0,5728
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,euclidean,int8,1.0879729800716829,0,1349
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,euclidean,int8,1.8463228582768656,0,3885
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,euclidean,int8,1.058540755100805,0,1277
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,euclidean,int8,2.246383076890385,0,5751
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,euclidean,int8,1.5654802853393155,0,2793
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,euclidean,int8,1.8635885345145133,0,3958
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,euclidean,int8,1.8797623625516513,0,4027
1300010281_ToyCar_case3_normal_IND_ch1_0281,normal,euclidean,int8,1.2191828303520076,0,1694
1300010346_ToyCar_case3_normal_IND_ch1_0346,normal,euclidean,int8,1.4106967312060026,0,2268
1300010242_ToyCar_case3_normal_IND_ch1_0242,normal,euclidean,int8,1.1948294304111189,0,1627
1300010091_ToyCar_case3_normal_IND_ch1_0091,normal,euclidean,int8,0.8822139988559388,0,887
1300010832_ToyCar_case3_normal_IND_ch1_0832,normal,euclidean,int8,2.127830284482716,0,5160
1300010363_ToyCar_case3_normal_IND_ch1_0363,normal,euclidean,int8,1.522286288087674,0,2641
1300011278_ToyCar_case3_normal_IND_ch1_1278,normal,euclidean,int8,1.5488572394867306,0,2734
1300010300_ToyCar_case3_normal_IND_ch1_0300,normal,euclidean,int8,1.2761482252965968,0,1856
1300010525_ToyCar_case3_normal_IND_ch1_0525,normal,euclidean,int8,2.0376730561864482,0,4732
1300011164_ToyCar_case3_normal_IND_ch1_1164,normal,euclidean,int8,2.0053355989676054,0,4583
1300010935_ToyCar_case3_normal_IND_ch1_0935,normal,euclidean,int8,1.8827940512299355,0,4040
1300010234_ToyCar_case3_normal_IND_ch1_0234,normal,euclidean,int8,1.0380333775702868,0,1228
1300011171_ToyCar_case3_normal_IND_ch1_1171,normal,euclidean,int8,1.2969498741456835,0,1917
1300010843_ToyCar_case3_normal_IND_ch1_0843,normal,euclidean,int8,1.990182542078729,0,4514
1300011212_ToyCar_case3_normal_IND_ch1_1212,normal,euclidean,int8,1.6004023573183865,0,2919
1300010303_ToyCar_case3_normal_IND_ch1_0303,normal,euclidean,int8,1.1162367252071195,0,1420
1300010804_ToyCar_case3_normal_IND_ch1_0804,normal,euclidean,int8,1.7785446373206137,0,3605
1300011142_ToyCar_case3_normal_IND_ch1_1142,normal,euclidean,int8,2.2752972437817807,0,5900
1300010505_ToyCar_case3_normal_IND_ch1_0505,normal,euclidean,int8,2.2025989602603016,0,5529
1300011347_ToyCar_case3_normal_IND_ch1_1347,normal,euclidean,int8,1.9653375594979745,0,4402
1300010667_ToyCar_case3_normal_IND_ch1_0667,normal,euclidean,int8,2.2336522624916757,0,5686
1300010105_ToyCar_case3_normal_IND_ch1_0105,normal,euclidean,int8,1.0630900819061422,0,1288
1300010141_ToyCar_case3_normal_IND_ch1_0141,normal,euclidean,int8,1.0023395760696452,0,1145
1300010100_ToyCar_case3_normal_IND_ch1_0100,normal,euclidean,int8,1.1051767821012801,0,1392
1300010976_ToyCar_case3_normal_IND_ch1_0976,normal,euclidean,int8,1.8257730056982142,0,3799
1300010945_ToyCar_case3_normal_IND_ch1_0945,normal,euclidean,int8,1.8467980411076073,0,3887
1300010676_ToyCar_case3_normal_IND_ch1_0676,normal,euclidean,int8,2.2081691254849876,0,5557
1300010490_ToyCar_case3_normal_IND_ch1_0490,normal,euclidean,int8,1.9976636305269335,0,4548
1300011247_ToyCar_case3_normal_IND_ch1_1247,normal,euclidean,int8,1.5514044710213517,0,2743
1300011056_ToyCar_case3_normal_IND_ch1_1056,normal,euclidean,int8,1.8976486724181965,0,4104
1300010953_ToyCar_case3_normal_IND_ch1_0953,normal,euclidean,int8,1.794018009303141,0,3668
1300011267_ToyCar_case3_normal_IND_ch1_1267,normal,euclidean,int8,1.749445320612312,0,3488
1300010527_ToyCar_case3_normal_IND_ch1_0527,normal,euclidean,int8,2.2731752144353377,0,5889
1300011048_ToyCar_case3_normal_IND_ch1_1048,normal,euclidean,int8,1.6696319328787224,0,3177
1300010294_ToyCar_case3_normal_IND_ch1_0294,normal,euclidean,int8,1.3157569646622633,0,1973
1300010541_ToyCar_case3_normal_IND_ch1_0541,normal,euclidean,int8,1.7962176098954687,0,3677
1300010085_ToyCar_case3_normal_IND_ch1_0085,normal,euclidean,int8,0.9860115792197968,0,1108
1300010868_ToyCar_case3_normal_IND_ch1_0868,normal,euclidean,int8,1.8372710338363458,0,3847
1300010471_ToyCar_case3_normal_IND_ch1_0471,normal,euclidean,int8,1.955266299203393,0,4357
1300011156_ToyCar_case3_normal_IND_ch1_1156,normal,euclidean,int8,1.7234213606037854,0,3385
1300010622_ToyCar_case3_normal_IND_ch1_0622,normal,euclidean,int8,2.3167617544436063,0,6117
1300010296_ToyCar_case3_normal_IND_ch1_0296,normal,euclidean,int8,1.1643307753399277,0,1545
1300011158_ToyCar_case3_normal_IND_ch1_1158,normal,euclidean,int8,1.8284143568606424,0,3810
1300010388_ToyCar_case3_normal_IND_ch1_0388,normal,euclidean,int8,1.6559115895977272,0,3125
