clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,fp32,0.9275744161027412,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,fp32,0.8264752931870816,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,fp32,0.9023177786992748,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,fp32,1.0887915396205683,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,fp32,0.6379765878394638,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,fp32,0.8843877107708165,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,fp32,1.1526109536010047,1,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,fp32,0.6502178150961904,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,fp32,1.089472004079624,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,fp32,0.9151469560895623,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,fp32,1.0294187679070854,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,fp32,0.8547341367804178,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,fp32,1.0696730531127325,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,fp32,1.0501908718020097,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,fp32,0.9787292741619839,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,fp32,0.9417773769752166,0,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,fp32,0.5731209617065637,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,fp32,0.7032882287987983,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,fp32,0.9811627573789168,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,fp32,0.607683063354234,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,fp32,0.9367812726154897,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,fp32,0.8573364646334511,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,fp32,1.029578446176906,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,fp32,0.6126608084968861,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,fp32,1.0479883249064128,0,
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,knn16,fp32,0.9237925610372106,0,
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,knn16,fp32,0.5714097376940165,0,
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,knn16,fp32,0.8553190770015277,0,
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,knn16,fp32,1.048559898189368,0,
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,knn16,fp32,1.070966971701852,0,
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,knn16,fp32,0.9373410771361813,0,
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,knn16,fp32,0.9141216135071656,0,
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,knn16,fp32,0.6555099433220484,0,
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,knn16,fp32,0.9288383328530153,0,
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,knn16,fp32,0.6620750966805415,0,
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,knn16,fp32,1.0358579008751694,0,
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,knn16,fp32,0.6278556945053353,0,
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,knn16,fp32,0.8837479231786416,0,
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,knn16,fp32,0.9232808467484158,0,
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,knn16,fp32,0.9930454613835918,0,
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,knn16,fp32,0.9505517254280348,0,
