clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,euclidean,fp32,1.7569066286087036,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,euclidean,fp32,1.2184795141220093,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,euclidean,fp32,1.4246758222579956,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,euclidean,fp32,1.4119505882263184,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,euclidean,fp32,1.1967343091964722,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,euclidean,fp32,1.401314616203308,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,euclidean,fp32,1.5107744932174683,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,euclidean,fp32,1.0752514600753784,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,euclidean,fp32,1.2624585628509521,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,euclidean,fp32,1.4445735216140747,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,euclidean,fp32,1.386088252067566,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,euclidean,fp32,1.4914215803146362,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,euclidean,fp32,1.3008562326431274,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,euclidean,fp32,1.3100941181182861,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,euclidean,fp32,1.303173303604126,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,euclidean,fp32,1.5549733638763428,0,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,euclidean,fp32,1.1318765878677368,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,euclidean,fp32,1.2371935844421387,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,euclidean,fp32,1.360960602760315,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,euclidean,fp32,1.0367944240570068,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,euclidean,fp32,1.320777416229248,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,euclidean,fp32,1.0666353702545166,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,euclidean,fp32,1.2633146047592163,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,euclidean,fp32,1.0959843397140503,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,euclidean,fp32,1.5049006938934326,0,
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,euclidean,fp32,1.611086368560791,0,
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,euclidean,fp32,1.0727286338806152,0,
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,euclidean,fp32,1.4471403360366821,0,
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,euclidean,fp32,1.3782047033309937,0,
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,euclidean,fp32,1.4312201738357544,0,
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,euclidean,fp32,1.3726037740707397,0,
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,euclidean,fp32,1.600974678993225,0,
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,euclidean,fp32,1.1860157251358032,0,
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,euclidean,fp32,1.5167368650436401,0,
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,euclidean,fp32,1.2039225101470947,0,
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,euclidean,fp32,1.471458911895752,0,
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,euclidean,fp32,1.0464143753051758,0,
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,euclidean,fp32,1.453649640083313,0,
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,euclidean,fp32,1.4550516605377197,0,
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,euclidean,fp32,1.2054617404937744,0,
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,euclidean,fp32,1.350189447402954,0,
1300010281_ToyCar_case3_normal_IND_ch1_0281,normal,euclidean,fp32,1.054361343383789,0,
1300010346_ToyCar_case3_normal_IND_ch1_0346,normal,euclidean,fp32,1.1884385347366333,0,
1300010242_ToyCar_case3_normal_IND_ch1_0242,normal,euclidean,fp32,1.109358549118042,0,
1300010091_ToyCar_case3_normal_IND_ch1_0091,normal,euclidean,fp32,1.170162558555603,0,
1300010832_ToyCar_case3_normal_IND_ch1_0832,normal,euclidean,fp32,1.4017977714538574,0,
1300010363_ToyCar_case3_normal_IND_ch1_0363,normal,euclidean,fp32,1.2553802728652954,0,
1300011278_ToyCar_case3_normal_IND_ch1_1278,normal,euclidean,fp32,1.3842816352844238,0,
1300010300_ToyCar_case3_normal_IND_ch1_0300,normal,euclidean,fp32,1.2319906949996948,0,
1300010525_ToyCar_case3_normal_IND_ch1_0525,normal,euclidean,fp32,1.3103322982788086,0,
1300011164_ToyCar_case3_normal_IND_ch1_1164,normal,euclidean,fp32,1.4663976430892944,0,
1300010935_ToyCar_case3_normal_IND_ch1_0935,normal,euclidean,fp32,1.5776652097702026,0,
1300010234_ToyCar_case3_normal_IND_ch1_0234,normal,euclidean,fp32,1.0807467699050903,0,
1300011171_ToyCar_case3_normal_IND_ch1_1171,normal,euclidean,fp32,1.1536128520965576,0,
1300010843_ToyCar_case3_normal_IND_ch1_0843,normal,euclidean,fp32,1.4745291471481323,0,
1300011212_ToyCar_case3_normal_IND_ch1_1212,normal,euclidean,fp32,1.3680373430252075,0,
1300010303_ToyCar_case3_normal_IND_ch1_0303,normal,euclidean,fp32,1.2698172330856323,0,
1300010804_ToyCar_case3_normal_IND_ch1_0804,normal,euclidean,fp32,1.2797064781188965,0,
1300011142_ToyCar_case3_normal_IND_ch1_1142,normal,euclidean,fp32,1.7018611431121826,0,
1300010505_ToyCar_case3_normal_IND_ch1_0505,normal,euclidean,fp32,1.4504200220108032,0,
1300011347_ToyCar_case3_normal_IND_ch1_1347,normal,euclidean,fp32,1.418864130973816,0,
1300010667_ToyCar_case3_normal_IND_ch1_0667,normal,euclidean,fp32,1.3707904815673828,0,
1300010105_ToyCar_case3_normal_IND_ch1_0105,normal,euclidean,fp32,1.1663827896118164,0,
1300010141_ToyCar_case3_normal_IND_ch1_0141,normal,euclidean,fp32,1.1409425735473633,0,
1300010100_ToyCar_case3_normal_IND_ch1_0100,normal,euclidean,fp32,1.185400366783142,0,
1300010976_ToyCar_case3_normal_IND_ch1_0976,normal,euclidean,fp32,1.5192826986312866,0,
1300010945_ToyCar_case3_normal_IND_ch1_0945,normal,euclidean,fp32,1.5600709915161133,0,
1300010676_ToyCar_case3_normal_IND_ch1_0676,normal,euclidean,fp32,1.5342282056808472,0,
1300010490_ToyCar_case3_normal_IND_ch1_0490,normal,euclidean,fp32,1.6101683378219604,0,
1300011247_ToyCar_case3_normal_IND_ch1_1247,normal,euclidean,fp32,1.1925429105758667,0,
1300011056_ToyCar_case3_normal_IND_ch1_1056,normal,euclidean,fp32,1.2841994762420654,0,
1300010953_ToyCar_case3_normal_IND_ch1_0953,normal,euclidean,fp32,1.412707805633545,0,
1300011267_ToyCar_case3_normal_IND_ch1_1267,normal,euclidean,fp32,1.266119360923767,0,
1300010527_ToyCar_case3_normal_IND_ch1_0527,normal,euclidean,fp32,1.5301644802093506,0,
1300011048_ToyCar_case3_normal_IND_ch1_1048,normal,euclidean,fp32,1.4123762845993042,0,
1300010294_ToyCar_case3_normal_IND_ch1_0294,normal,euclidean,fp32,1.316529393196106,0,
1300010541_ToyCar_case3_normal_IND_ch1_0541,normal,euclidean,fp32,1.2917940616607666,0,
1300010085_ToyCar_case3_normal_IND_ch1_0085,normal,euclidean,fp32,0.9766865372657776,0,
1300010868_ToyCar_case3_normal_IND_ch1_0868,normal,euclidean,fp32,1.5206286907196045,0,
1300010471_ToyCar_case3_normal_IND_ch1_0471,normal,euclidean,fp32,1.2267067432403564,0,
1300011156_ToyCar_case3_normal_IND_ch1_1156,normal,euclidean,fp32,1.204330325126648,0,
1300010622_ToyCar_case3_normal_IND_ch1_0622,normal,euclidean,fp32,1.4611644744873047,0,
1300010296_ToyCar_case3_normal_IND_ch1_0296,normal,euclidean,fp32,1.3002411127090454,0,
1300011158_ToyCar_case3_normal_IND_ch1_1158,normal,euclidean,fp32,1.319928765296936,0,
1300010388_ToyCar_case3_normal_IND_ch1_0388,normal,euclidean,fp32,1.1178098917007446,0,
1300010437_ToyCar_case3_normal_IND_ch1_0437,normal,euclidean,fp32,1.2594834566116333,0,
1300011269_ToyCar_case3_normal_IND_ch1_1269,normal,euclidean,fp32,1.3292955160140991,0,
1300011311_ToyCar_case3_normal_IND_ch1_1311,normal,euclidean,fp32,1.968238115310669,1,
1300011167_ToyCar_case3_normal_IND_ch1_1167,normal,euclidean,fp32,1.283728003501892,0,
1300010377_ToyCar_case3_normal_IND_ch1_0377,normal,euclidean,fp32,1.027138590812683,0,
1300011252_ToyCar_case3_normal_IND_ch1_1252,normal,euclidean,fp32,1.4871881008148193,0,
1300010939_ToyCar_case3_normal_IND_ch1_0939,normal,euclidean,fp32,1.3010896444320679,0,
1300011185_ToyCar_case3_normal_IND_ch1_1185,normal,euclidean,fp32,1.059551477432251,0,
1300010803_ToyCar_case3_normal_IND_ch1_0803,normal,euclidean,fp32,1.4246416091918945,0,
1300011140_ToyCar_case3_normal_IND_ch1_1140,normal,euclidean,fp32,1.6154320240020752,0,
1300010744_ToyCar_case3_normal_IND_ch1_0744,normal,euclidean,fp32,1.4379007816314697,0,
1300011146_ToyCar_case3_normal_IND_ch1_1146,normal,euclidean,fp32,1.4828740358352661,0,
1300010736_ToyCar_case3_normal_IND_ch1_0736,normal,euclidean,fp32,1.43417227268219,0,
1300010476_ToyCar_case3_normal_IND_ch1_0476,normal,euclidean,fp32,1.4390223026275635,0,
1300010572_ToyCar_case3_normal_IND_ch1_0572,normal,euclidean,fp32,1.406247854232788,0,
1300011074_ToyCar_case3_normal_IND_ch1_1074,normal,euclidean,fp32,1.2248115539550781,0,
1300011032_ToyCar_case3_normal_IND_ch1_1032,normal,euclidean,fp32,1.5536658763885498,0,
1300011240_ToyCar_case3_normal_IND_ch1_1240,normal,euclidean,fp32,1.203692078590393,0,
1300011180_ToyCar_case3_normal_IND_ch1_1180,normal,euclidean,fp32,1.1618032455444336,0,
1300011286_ToyCar_case3_normal_IND_ch1_1286,normal,euclidean,fp32,1.6520971059799194,0,
1300010896_ToyCar_case3_normal_IND_ch1_0896,normal,euclidean,fp32,1.508519172668457,0,
1300011092_ToyCar_case3_normal_IND_ch1_1092,normal,euclidean,fp32,1.2772126197814941,0,
1300011151_ToyCar_case3_normal_IND_ch1_1151,normal,euclidean,fp32,1.4721301794052124,0,
1300011034_ToyCar_case3_normal_IND_ch1_1034,normal,euclidean,fp32,1.422863245010376,0,
1300010025_ToyCar_case3_normal_IND_ch1_0025,normal,euclidean,fp32,1.1664505004882812,0,
1300010408_ToyCar_case3_normal_IND_ch1_0408,normal,euclidean,fp32,1.1877665519714355,0,
1300010750_ToyCar_case3_normal_IND_ch1_0750,normal,euclidean,fp32,1.1965197324752808,0,
1300010434_ToyCar_case3_normal_IND_ch1_0434,normal,euclidean,fp32,1.2175874710083008,0,
1300011114_ToyCar_case3_normal_IND_ch1_1114,normal,euclidean,fp32,1.1910593509674072,0,
1300010192_ToyCar_case3_normal_IND_ch1_0192,normal,euclidean,fp32,1.0327787399291992,0,
1300010655_ToyCar_case3_normal_IND_ch1_0655,normal,euclidean,fp32,1.4174877405166626,0,
1300011031_ToyCar_case3_normal_IND_ch1_1031,normal,euclidean,fp32,1.4827795028686523,0,
1300010926_ToyCar_case3_normal_IND_ch1_0926,normal,euclidean,fp32,1.793947458267212,0,
1300010354_ToyCar_case3_normal_IND_ch1_0354,normal,euclidean,fp32,1.1034384965896606,0,
1300010687_ToyCar_case3_normal_IND_ch1_0687,normal,euclidean,fp32,1.3883799314498901,0,
1300011190_ToyCar_case3_normal_IND_ch1_1190,normal,euclidean,fp32,1.4285105466842651,0,
1300010785_ToyCar_case3_normal_IND_ch1_0785,normal,euclidean,fp32,1.2581831216812134,0,
1300011343_ToyCar_case3_normal_IND_ch1_1343,normal,euclidean,fp32,1.4190669059753418,0,
1300010359_ToyCar_case3_normal_IND_ch1_0359,normal,euclidean,fp32,1.1794157028198242,0,
1300010842_ToyCar_case3_normal_IND_ch1_0842,normal,euclidean,fp32,1.4922540187835693,0,
1300010759_ToyCar_case3_normal_IND_ch1_0759,normal,euclidean,fp32,1.169176459312439,0,
1300010526_ToyCar_case3_normal_IND_ch1_0526,normal,euclidean,fp32,1.71909499168396,0,
1300010376_ToyCar_case3_normal_IND_ch1_0376,normal,euclidean,fp32,1.1165690422058105,0,
1300010289_ToyCar_case3_normal_IND_ch1_0289,normal,euclidean,fp32,1.1314741373062134,0,
1300010110_ToyCar_case3_normal_IND_ch1_0110,normal,euclidean,fp32,1.1921483278274536,0,
1300010188_ToyCar_case3_normal_IND_ch1_0188,normal,euclidean,fp32,1.2197644710540771,0,
1300011155_ToyCar_case3_normal_IND_ch1_1155,normal,euclidean,fp32,1.5753766298294067,0,
1300011097_ToyCar_case3_normal_IND_ch1_1097,normal,euclidean,fp32,4.664084434509277,1,
1300011246_ToyCar_case3_normal_IND_ch1_1246,normal,euclidean,fp32,1.4544689655303955,0,
1300010943_ToyCar_case3_normal_IND_ch1_0943,normal,euclidean,fp32,1.534376859664917,0,
1300010564_ToyCar_case3_normal_IND_ch1_0564,normal,euclidean,fp32,1.249166488647461,0,
1300010924_ToyCar_case3_normal_IND_ch1_0924,normal,euclidean,fp32,1.476578712463379,0,
1300010421_ToyCar_case3_normal_IND_ch1_0421,normal,euclidean,fp32,1.0964211225509644,0,
1300011294_ToyCar_case3_normal_IND_ch1_1294,normal,euclidean,fp32,1.2703484296798706,0,
1300010045_ToyCar_case3_normal_IND_ch1_0045,normal,euclidean,fp32,1.1113659143447876,0,
1300010828_ToyCar_case3_normal_IND_ch1_0828,normal,euclidean,fp32,1.4375827312469482,0,
1300010834_ToyCar_case3_normal_IND_ch1_0834,normal,euclidean,fp32,1.4798839092254639,0,
1300010169_ToyCar_case3_normal_IND_ch1_0169,normal,euclidean,fp32,1.1097010374069214,0,
1300010010_ToyCar_case3_normal_IND_ch1_0010,normal,euclidean,fp32,1.233324646949768,0,
1300011080_ToyCar_case3_normal_IND_ch1_1080,normal,euclidean,fp32,1.64698326587677,0,
1300010509_ToyCar_case3_normal_IND_ch1_0509,normal,euclidean,fp32,1.4403407573699951,0,
1300011163_ToyCar_case3_normal_IND_ch1_1163,normal,euclidean,fp32,1.496512532234192,0,
1300011258_ToyCar_case3_normal_IND_ch1_1258,normal,euclidean,fp32,1.3147177696228027,0,
1300010853_ToyCar_case3_normal_IND_ch1_0853,normal,euclidean,fp32,1.1890887022018433,0,
1300010180_ToyCar_case3_normal_IND_ch1_0180,normal,euclidean,fp32,1.0578047037124634,0,
1300010397_ToyCar_case3_normal_IND_ch1_0397,normal,euclidean,fp32,1.2267056703567505,0,
1300010802_ToyCar_case3_normal_IND_ch1_0802,normal,euclidean,fp32,1.414298415184021,0,
1300010696_ToyCar_case3_normal_IND_ch1_0696,normal,euclidean,fp32,1.5536751747131348,0,
1300010181_ToyCar_case3_normal_IND_ch1_0181,normal,euclidean,fp32,0.9456836581230164,0,
1300010772_ToyCar_case3_normal_IND_ch1_0772,normal,euclidean,fp32,1.2647888660430908,0,
1300011287_ToyCar_case3_normal_IND_ch1_1287,normal,euclidean,fp32,1.2513574361801147,0,
1300010809_ToyCar_case3_normal_IND_ch1_0809,normal,euclidean,fp32,1.4254931211471558,0,
1300011100_ToyCar_case3_normal_IND_ch1_1100,normal,euclidean,fp32,4.744408130645752,1,
1300010997_ToyCar_case3_normal_IND_ch1_0997,normal,euclidean,fp32,1.5756490230560303,0,
1300010818_ToyCar_case3_normal_IND_ch1_0818,normal,euclidean,fp32,1.3733320236206055,0,
1300010957_ToyCar_case3_normal_IND_ch1_0957,normal,euclidean,fp32,1.3317134380340576,0,
1300010576_ToyCar_case3_normal_IND_ch1_0576,normal,euclidean,fp32,1.369958519935608,0,
1300010402_ToyCar_case3_normal_IND_ch1_0402,normal,euclidean,fp32,1.406846046447754,0,
1300011215_ToyCar_case3_normal_IND_ch1_1215,normal,euclidean,fp32,1.2802577018737793,0,
1300011313_ToyCar_case3_normal_IND_ch1_1313,normal,euclidean,fp32,1.3166751861572266,0,
1300010268_ToyCar_case3_normal_IND_ch1_0268,normal,euclidean,fp32,1.1652530431747437,0,
1300010032_ToyCar_case3_normal_IND_ch1_0032,normal,euclidean,fp32,1.130905270576477,0,
1300011165_ToyCar_case3_normal_IND_ch1_1165,normal,euclidean,fp32,1.2744160890579224,0,
1300010168_ToyCar_case3_normal_IND_ch1_0168,normal,euclidean,fp32,1.0135761499404907,0,
1300011047_ToyCar_case3_normal_IND_ch1_1047,normal,euclidean,fp32,1.4649122953414917,0,
1300010704_ToyCar_case3_normal_IND_ch1_0704,normal,euclidean,fp32,1.3204059600830078,0,
1300010663_ToyCar_case3_normal_IND_ch1_0663,normal,euclidean,fp32,1.3570200204849243,0,
1300010324_ToyCar_case3_normal_IND_ch1_0324,normal,euclidean,fp32,1.0684425830841064,0,
1300011184_ToyCar_case3_normal_IND_ch1_1184,normal,euclidean,fp32,1.2423287630081177,0,
1300010985_ToyCar_case3_normal_IND_ch1_0985,normal,euclidean,fp32,1.4661988019943237,0,
1300010365_ToyCar_case3_normal_IND_ch1_0365,normal,euclidean,fp32,1.1993240118026733,0,
1300011204_ToyCar_case3_normal_IND_ch1_1204,normal,euclidean,fp32,1.2349822521209717,0,
1300010923_ToyCar_case3_normal_IND_ch1_0923,normal,euclidean,fp32,1.382470965385437,0,
1300010657_ToyCar_case3_normal_IND_ch1_0657,normal,euclidean,fp32,1.207793116569519,0,
1300010292_ToyCar_case3_normal_IND_ch1_0292,normal,euclidean,fp32,1.25896155834198,0,
1300010293_ToyCar_case3_normal_IND_ch1_0293,normal,euclidean,fp32,1.3365168571472168,0,
1300010699_ToyCar_case3_normal_IND_ch1_0699,normal,euclidean,fp32,1.3727377653121948,0,
1300010966_ToyCar_case3_normal_IND_ch1_0966,normal,euclidean,fp32,1.4737313985824585,0,
1300011002_ToyCar_case3_normal_IND_ch1_1002,normal,euclidean,fp32,1.3734644651412964,0,
1300011087_ToyCar_case3_normal_IND_ch1_1087,normal,euclidean,fp32,1.3472115993499756,0,
1300011016_ToyCar_case3_normal_IND_ch1_1016,normal,euclidean,fp32,1.4638084173202515,0,
1300010152_ToyCar_case3_normal_IND_ch1_0152,normal,euclidean,fp32,1.0633741617202759,0,
1300010070_ToyCar_case3_normal_IND_ch1_0070,normal,euclidean,fp32,1.18073570728302,0,
1300010156_ToyCar_case3_normal_IND_ch1_0156,normal,euclidean,fp32,0.932574450969696,0,
1300010688_ToyCar_case3_normal_IND_ch1_0688,normal,euclidean,fp32,1.2444666624069214,0,
1300010863_ToyCar_case3_normal_IND_ch1_0863,normal,euclidean,fp32,1.2845805883407593,0,
1300010197_ToyCar_case3_normal_IND_ch1_0197,normal,euclidean,fp32,1.2079473733901978,0,
1300010355_ToyCar_case3_normal_IND_ch1_0355,normal,euclidean,fp32,1.3542667627334595,0,
1300010241_ToyCar_case3_normal_IND_ch1_0241,normal,euclidean,fp32,1.1144301891326904,0,
1300010098_ToyCar_case3_normal_IND_ch1_0098,normal,euclidean,fp32,1.0031827688217163,0,
1300010987_ToyCar_case3_normal_IND_ch1_0987,normal,euclidean,fp32,1.4880505800247192,0,
