clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,fp32,1.0409227190271113,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,fp32,0.8322979710365747,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,fp32,1.0971597917257567,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,fp32,1.0667503151714226,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,fp32,0.7863561511704005,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,fp32,1.2954827497832022,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,fp32,1.0956780836692261,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,fp32,0.7104325201854484,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,fp32,1.0377661193973282,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,fp32,1.2558952177089269,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,fp32,0.9159041397200037,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,fp32,1.1150619664554964,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,fp32,1.0007023411744043,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,fp32,1.1238776103338883,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,fp32,1.1818165932842732,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,fp32,1.3820146744918487,1,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,fp32,0.6661714599623942,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,fp32,0.7249641928088727,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,fp32,1.3254608929253064,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,fp32,0.7126710272046324,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,fp32,1.3167916844918335,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,fp32,0.8412743238388775,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,fp32,1.10290296696378,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,fp32,0.6854309140237804,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,fp32,1.002882436244251,0,
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,knn16,fp32,1.244760623663396,0,
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,knn16,fp32,0.6449622587307099,0,
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,knn16,fp32,1.1694265634333456,0,
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,knn16,fp32,1.1337533478177775,0,
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,knn16,fp32,1.221751155500545,0,
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,knn16,fp32,1.2819343742310458,0,
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,knn16,fp32,1.319084630884863,0,
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,knn16,fp32,0.746894667228953,0,
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,knn16,fp32,1.2246050615937136,0,
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,knn16,fp32,0.7012308994907942,0,
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,knn16,fp32,1.1733470367986212,0,
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,knn16,fp32,0.7144141463442988,0,
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,knn16,fp32,1.2613964627827474,0,
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,knn16,fp32,0.9798171861433292,0,
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,knn16,fp32,1.1879322273411788,0,
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,knn16,fp32,1.246696604759155,0,
1300010281_ToyCar_case3_normal_IND_ch1_0281,normal,knn16,fp32,0.7537558835263428,0,
1300010346_ToyCar_case3_normal_IND_ch1_0346,normal,knn16,fp32,0.8951876915995772,0,
1300010242_ToyCar_case3_normal_IND_ch1_0242,normal,knn16,fp32,0.796793818838744,0,
1300010091_ToyCar_case3_normal_IND_ch1_0091,normal,knn16,fp32,1.0278112486248343,0,
1300010832_ToyCar_case3_normal_IND_ch1_0832,normal,knn16,fp32,1.3570696900207482,0,
1300010363_ToyCar_case3_normal_IND_ch1_0363,normal,knn16,fp32,0.9452420408518377,0,
1300011278_ToyCar_case3_normal_IND_ch1_1278,normal,knn16,fp32,0.9876477868805937,0,
1300010300_ToyCar_case3_normal_IND_ch1_0300,normal,knn16,fp32,0.7722060694519862,0,
1300010525_ToyCar_case3_normal_IND_ch1_0525,normal,knn16,fp32,1.2764098219742526,0,
1300011164_ToyCar_case3_normal_IND_ch1_1164,normal,knn16,fp32,1.3080332677226258,0,
1300010935_ToyCar_case3_normal_IND_ch1_0935,normal,knn16,fp32,1.1528909441290431,0,
1300010234_ToyCar_case3_normal_IND_ch1_0234,normal,knn16,fp32,0.7194939980096454,0,
1300011171_ToyCar_case3_normal_IND_ch1_1171,normal,knn16,fp32,0.8339371896454845,0,
1300010843_ToyCar_case3_normal_IND_ch1_0843,normal,knn16,fp32,1.363306814251735,0,
1300011212_ToyCar_case3_normal_IND_ch1_1212,normal,knn16,fp32,0.9786166514780203,0,
1300010303_ToyCar_case3_normal_IND_ch1_0303,normal,knn16,fp32,0.8456128780687792,0,
1300010804_ToyCar_case3_normal_IND_ch1_0804,normal,knn16,fp32,1.0614532297796697,0,
1300011142_ToyCar_case3_normal_IND_ch1_1142,normal,knn16,fp32,1.102291567173277,0,
1300010505_ToyCar_case3_normal_IND_ch1_0505,normal,knn16,fp32,1.1845182714662235,0,
