clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,euclidean,fp32,2.449201822280884,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,euclidean,fp32,1.1041556596755981,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,euclidean,fp32,2.022158622741699,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,euclidean,fp32,1.4169059991836548,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,euclidean,fp32,0.7431020736694336,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,euclidean,fp32,1.8506838083267212,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,euclidean,fp32,1.488210916519165,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,euclidean,fp32,0.9612226486206055,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,euclidean,fp32,1.4210039377212524,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,euclidean,fp32,1.808219313621521,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,euclidean,fp32,1.2132835388183594,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,euclidean,fp32,2.057436943054199,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,euclidean,fp32,1.3665703535079956,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,euclidean,fp32,1.5739164352416992,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,euclidean,fp32,1.60764741897583,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,euclidean,fp32,1.7821284532546997,0,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,euclidean,fp32,0.8598217368125916,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,euclidean,fp32,1.010786533355713,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,euclidean,fp32,1.6903281211853027,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,euclidean,fp32,0.8976327180862427,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,euclidean,fp32,1.6725777387619019,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,euclidean,fp32,1.1078239679336548,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,euclidean,fp32,1.472475528717041,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,euclidean,fp32,0.938758909702301,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,euclidean,fp32,1.3764938116073608,0,
