clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,fp32,1.0368235022353758,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,fp32,0.8362981172972302,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,fp32,1.105495575253323,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,fp32,1.0725910468262214,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,fp32,0.8007165513883316,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,fp32,1.302729593124384,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,fp32,1.0974556623519185,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,fp32,0.7120703807273978,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,fp32,1.0459779369890767,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,fp32,1.2632874136543255,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,fp32,0.9258430523922642,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,fp32,1.1192615243194854,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,fp32,1.0045163292882537,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,fp32,1.1327169088601337,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,fp32,1.1915823311371387,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,fp32,1.3941379586678975,1,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,fp32,0.665646124363677,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,fp32,0.727534569869207,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,fp32,1.3352897634565832,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,fp32,0.7142089693489065,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,fp32,1.317055300263515,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,fp32,0.8438219251982246,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,fp32,1.109585386103912,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,fp32,0.6847741230155416,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,fp32,1.0045181523729299,0,
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,knn16,fp32,1.251154290320631,0,
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,knn16,fp32,0.6454282882391599,0,
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,knn16,fp32,1.1777716533780438,0,
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,knn16,fp32,1.1402083787681445,0,
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,knn16,fp32,1.2292965112812757,0,
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,knn16,fp32,1.2658000249754289,0,
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,knn16,fp32,1.317237263816122,0,
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,knn16,fp32,0.7511423383412954,0,
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,knn16,fp32,1.228025843877181,0,
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,knn16,fp32,0.7047069668909965,0,
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,knn16,fp32,1.1821297200049161,0,
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,knn16,fp32,0.7136038821218785,0,
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,knn16,fp32,1.264254111304528,0,
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,knn16,fp32,0.9814845836116832,0,
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,knn16,fp32,1.1992236580517892,0,
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,knn16,fp32,1.255418000876903,0,
1300010281_ToyCar_case3_normal_IND_ch1_0281,normal,knn16,fp32,0.7577782118103417,0,
1300010346_ToyCar_case3_normal_IND_ch1_0346,normal,knn16,fp32,0.9000072236040721,0,
1300010242_ToyCar_case3_normal_IND_ch1_0242,normal,knn16,fp32,0.7971795669522419,0,
1300010091_ToyCar_case3_normal_IND_ch1_0091,normal,knn16,fp32,1.0354074973125431,0,
1300010832_ToyCar_case3_normal_IND_ch1_0832,normal,knn16,fp32,1.364300701170585,0,
1300010363_ToyCar_case3_normal_IND_ch1_0363,normal,knn16,fp32,0.9519141090878602,0,
1300011278_ToyCar_case3_normal_IND_ch1_1278,normal,knn16,fp32,0.9925975041213672,0,
1300010300_ToyCar_case3_normal_IND_ch1_0300,normal,knn16,fp32,0.7752645514001665,0,
