clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,fp32,0.8894590747057378,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,fp32,0.969197611984779,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,fp32,0.9486530856881829,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,fp32,1.070927716588672,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,fp32,1.0765371070480214,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,fp32,0.9879666769689807,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,fp32,1.0741990295405097,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,fp32,0.9141821297924113,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,fp32,1.0275288191308902,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,fp32,0.9290910092515109,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,fp32,1.1123559983256874,0,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,fp32,0.8762376123739034,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,fp32,1.1096310410227281,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,fp32,1.0299133122299586,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,fp32,0.9001668142296709,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,fp32,0.9769206490597359,0,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,fp32,0.776501630794745,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,fp32,1.06267055141385,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,fp32,1.0068476742064025,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,fp32,0.8346768616110367,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,fp32,0.8898980174742132,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,fp32,0.9602470836591518,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,fp32,1.1061697920189475,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,fp32,0.9128055036171772,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,fp32,1.1032946283974987,0,
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,knn16,fp32,0.9308939478458144,0,
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,knn16,fp32,0.8193711438778583,0,
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,knn16,fp32,0.876432488715883,0,
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,knn16,fp32,1.0044547941868163,0,
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,knn16,fp32,0.9723329941205142,0,
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,knn16,fp32,0.789601348375128,0,
