clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,euclidean,int8,1.8518774096461772,0,2832
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,euclidean,int8,1.221436695524012,0,1232
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,euclidean,int8,1.8354568211369882,0,2782
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,euclidean,int8,1.4182422715695138,0,1661
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,euclidean,int8,0.8509738240806677,0,598
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,euclidean,int8,1.6656285410981748,0,2291
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,euclidean,int8,1.6116816368222922,0,2145
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,euclidean,int8,1.0960274861037176,0,992
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,euclidean,int8,1.7672226962027657,0,2579
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,euclidean,int8,1.9804828383220276,0,3239
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,euclidean,int8,1.4759824415017202,0,1799
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,euclidean,int8,1.7726961051928853,0,2595
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,euclidean,int8,1.5500169355815663,0,1984
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,euclidean,int8,1.5969627747547976,0,2106
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,euclidean,int8,1.545714041149841,0,1973
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,euclidean,int8,1.6915991966728314,0,2363
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,euclidean,int8,1.072009701415632,0,949
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,euclidean,int8,1.1640741700886854,0,1119
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,euclidean,int8,1.7496619376075608,0,2528
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,euclidean,int8,1.0623645384590872,0,932
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,euclidean,int8,1.7238635568760445,0,2454
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,euclidean,int8,1.3006600843037712,0,1397
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,euclidean,int8,1.545714041149841,0,1973
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,euclidean,int8,0.9624902238064199,0,765
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,euclidean,int8,1.4677550505385986,0,1779
1300010619_ToyCar_case3_normal_IND_ch1_0619,normal,euclidean,int8,1.8736553914237315,0,2899
1300010146_ToyCar_case3_normal_IND_ch1_0146,normal,euclidean,int8,0.9447118290712734,0,737
1300011068_ToyCar_case3_normal_IND_ch1_1068,normal,euclidean,int8,2.0180366211183904,0,3363
1300011257_ToyCar_case3_normal_IND_ch1_1257,normal,euclidean,int8,1.6251499626501702,0,2181
1300011036_ToyCar_case3_normal_IND_ch1_1036,normal,euclidean,int8,1.6473524937976376,0,2241
1300010618_ToyCar_case3_normal_IND_ch1_0618,normal,euclidean,int8,1.5897426800192282,0,2087
1300011120_ToyCar_case3_normal_IND_ch1_1120,normal,euclidean,int8,1.6466172326613475,0,2239
1300010120_ToyCar_case3_normal_IND_ch1_0120,normal,euclidean,int8,1.0001281080963422,0,826
1300011152_ToyCar_case3_normal_IND_ch1_1152,normal,euclidean,int8,1.8823603674070932,0,2926
1300010244_ToyCar_case3_normal_IND_ch1_0244,normal,euclidean,int8,1.2084794322456869,0,1206
1300011044_ToyCar_case3_normal_IND_ch1_1044,normal,euclidean,int8,1.5036188735968803,0,1867
1300010062_ToyCar_case3_normal_IND_ch1_0062,normal,euclidean,int8,1.0714447423769653,0,948
1300010814_ToyCar_case3_normal_IND_ch1_0814,normal,euclidean,int8,1.8820386788860042,0,2925
1300011208_ToyCar_case3_normal_IND_ch1_1208,normal,euclidean,int8,1.286148036611408,0,1366
1300011062_ToyCar_case3_normal_IND_ch1_1062,normal,euclidean,int8,1.6325843562712665,0,2201
1300011268_ToyCar_case3_normal_IND_ch1_1268,normal,euclidean,int8,1.5717399538286072,0,2040
1300010281_ToyCar_case3_normal_IND_ch1_0281,normal,euclidean,int8,1.1671908401112503,0,1125
1300010346_ToyCar_case3_normal_IND_ch1_0346,normal,euclidean,int8,1.2705175958378871,0,1333
1300010242_ToyCar_case3_normal_IND_ch1_0242,normal,euclidean,int8,1.354030811486213,0,1514
1300010091_ToyCar_case3_normal_IND_ch1_0091,normal,euclidean,int8,0.7600196115032777,0,477
1300010832_ToyCar_case3_normal_IND_ch1_0832,normal,euclidean,int8,1.8655590118678764,0,2874
1300010363_ToyCar_case3_normal_IND_ch1_0363,normal,euclidean,int8,1.5370721160192762,0,1951
1300011278_ToyCar_case3_normal_IND_ch1_1278,normal,euclidean,int8,1.3405485890463984,0,1484
1300010300_ToyCar_case3_normal_IND_ch1_0300,normal,euclidean,int8,1.159905583128099,0,1111
1300010525_ToyCar_case3_normal_IND_ch1_0525,normal,euclidean,int8,1.741336774097666,0,2504
1300011164_ToyCar_case3_normal_IND_ch1_1164,normal,euclidean,int8,1.7182345996206327,0,2438
1300010935_ToyCar_case3_normal_IND_ch1_0935,normal,euclidean,int8,1.5519688529089828,0,1989
1300010234_ToyCar_case3_normal_IND_ch1_0234,normal,euclidean,int8,1.120070830181033,0,1036
1300011171_ToyCar_case3_normal_IND_ch1_1171,normal,euclidean,int8,1.2833202984085599,0,1360
1300010843_ToyCar_case3_normal_IND_ch1_0843,normal,euclidean,int8,1.7665373276696394,0,2577
1300011212_ToyCar_case3_normal_IND_ch1_1212,normal,euclidean,int8,1.595445470113153,0,2102
1300010303_ToyCar_case3_normal_IND_ch1_0303,normal,euclidean,int8,1.525605694452614,0,1922
1300010804_ToyCar_case3_normal_IND_ch1_0804,normal,euclidean,int8,1.6998117581985235,0,2386
1300011142_ToyCar_case3_normal_IND_ch1_1142,normal,euclidean,int8,1.9359580218489774,0,3095
1300010505_ToyCar_case3_normal_IND_ch1_0505,normal,euclidean,int8,1.6811870470850163,0,2334
1300011347_ToyCar_case3_normal_IND_ch1_1347,normal,euclidean,int8,1.5698126202356761,0,2035
1300010667_ToyCar_case3_normal_IND_ch1_0667,normal,euclidean,int8,1.8456547957513645,0,2813
1300010105_ToyCar_case3_normal_IND_ch1_0105,normal,euclidean,int8,1.0865955378801222,0,975
1300010141_ToyCar_case3_normal_IND_ch1_0141,normal,euclidean,int8,0.943429124027454,0,735
1300010100_ToyCar_case3_normal_IND_ch1_0100,normal,euclidean,int8,1.0577952074383128,0,924
1300010976_ToyCar_case3_normal_IND_ch1_0976,normal,euclidean,int8,1.6336965973606108,0,2204
1300010945_ToyCar_case3_normal_IND_ch1_0945,normal,euclidean,int8,1.6150592478692847,0,2154
1300010676_ToyCar_case3_normal_IND_ch1_0676,normal,euclidean,int8,1.760700923693842,0,2560
1300010490_ToyCar_case3_normal_IND_ch1_0490,normal,euclidean,int8,1.8681536709964128,0,2882
1300011247_ToyCar_case3_normal_IND_ch1_1247,normal,euclidean,int8,1.490677319292491,0,1835
1300011056_ToyCar_case3_normal_IND_ch1_1056,normal,euclidean,int8,1.8951831339647887,0,2966
1300010953_ToyCar_case3_normal_IND_ch1_0953,normal,euclidean,int8,1.5794257696077292,0,2060
1300011267_ToyCar_case3_normal_IND_ch1_1267,normal,euclidean,int8,1.484164225030773,0,1819
1300010527_ToyCar_case3_normal_IND_ch1_0527,normal,euclidean,int8,1.848277397139276,0,2821
1300011048_ToyCar_case3_normal_IND_ch1_1048,normal,euclidean,int8,1.5016041080214175,0,1862
1300010294_ToyCar_case3_normal_IND_ch1_0294,normal,euclidean,int8,1.1179064400809513,0,1032
1300010541_ToyCar_case3_normal_IND_ch1_0541,normal,euclidean,int8,1.6797458234621314,0,2330
1300010085_ToyCar_case3_normal_IND_ch1_0085,normal,euclidean,int8,0.8205461369520077,0,556
1300010868_ToyCar_case3_normal_IND_ch1_0868,normal,euclidean,int8,1.7798544110594638,0,2616
1300010471_ToyCar_case3_normal_IND_ch1_0471,normal,euclidean,int8,1.619551771840588,0,2166
1300011156_ToyCar_case3_normal_IND_ch1_1156,normal,euclidean,int8,1.5003939500480614,0,1859
1300010622_ToyCar_case3_normal_IND_ch1_0622,normal,euclidean,int8,2.100655297161896,1,3644
1300010296_ToyCar_case3_normal_IND_ch1_0296,normal,euclidean,int8,1.1351060107136115,0,1064
1300011158_ToyCar_case3_normal_IND_ch1_1158,normal,euclidean,int8,1.6473524937976376,0,2241
1300010388_ToyCar_case3_normal_IND_ch1_0388,normal,euclidean,int8,1.3205256927703815,0,1440
1300010437_ToyCar_case3_normal_IND_ch1_0437,normal,euclidean,int8,1.6366588783016343,0,2212
1300011269_ToyCar_case3_normal_IND_ch1_1269,normal,euclidean,int8,1.5593638560892222,0,2008
1300011311_ToyCar_case3_normal_IND_ch1_1311,normal,euclidean,int8,1.9117241530325753,0,3018
1300011167_ToyCar_case3_normal_IND_ch1_1167,normal,euclidean,int8,1.4751617672978776,0,1797
1300010377_ToyCar_case3_normal_IND_ch1_0377,normal,euclidean,int8,1.3043789198683868,0,1405
1300011252_ToyCar_case3_normal_IND_ch1_1252,normal,euclidean,int8,1.558587086996895,0,2006
