clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,euclidean,int8,1.9237218790261148,0,3056
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,euclidean,int8,1.2614303968336342,0,1314
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,euclidean,int8,1.8939047640830924,0,2962
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,euclidean,int8,1.45948128084664,0,1759
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,euclidean,int8,0.7881779700684741,0,513
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,euclidean,int8,1.6284996397788263,0,2190
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,euclidean,int8,1.6429359912295447,0,2229
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,euclidean,int8,1.145196040351168,0,1083
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,euclidean,int8,1.618803883658551,0,2164
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,euclidean,int8,1.8942244374357082,0,2963
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,euclidean,int8,1.558587086996895,0,2006
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,euclidean,int8,1.8417138913349496,0,2801
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,euclidean,int8,1.4178152830692237,0,1660
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,euclidean,int8,1.5866928111574692,0,2079
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,euclidean,int8,1.6822671545186898,0,2337
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,euclidean,int8,1.6725210767576768,0,2310
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,euclidean,int8,1.0404815145016948,0,894
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,euclidean,int8,1.1780342526605125,0,1146
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,euclidean,int8,1.7277228268177816,0,2465
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,euclidean,int8,1.0865955378801222,0,975
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,euclidean,int8,1.6587073646798005,0,2272
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,euclidean,int8,1.3495517029125284,0,1504
