clip_name,true_label,head,head_precision,score,decision,sumsq
1300010748_ToyCar_case3_normal_IND_ch1_0748,normal,knn16,fp32,1.0018115965734748,0,
1300010336_ToyCar_case3_normal_IND_ch1_0336,normal,knn16,fp32,0.946808397384439,0,
1300010489_ToyCar_case3_normal_IND_ch1_0489,normal,knn16,fp32,0.9901420949378813,0,
1300011176_ToyCar_case3_normal_IND_ch1_1176,normal,knn16,fp32,1.1477441624043194,0,
1300010007_ToyCar_case3_normal_IND_ch1_0007,normal,knn16,fp32,1.040570731224681,0,
1300011271_ToyCar_case3_normal_IND_ch1_1271,normal,knn16,fp32,1.0775404414618293,0,
1300010904_ToyCar_case3_normal_IND_ch1_0904,normal,knn16,fp32,1.173280506014235,0,
1300010240_ToyCar_case3_normal_IND_ch1_0240,normal,knn16,fp32,0.91344040936546,0,
1300010386_ToyCar_case3_normal_IND_ch1_0386,normal,knn16,fp32,1.113907934682039,0,
1300010734_ToyCar_case3_normal_IND_ch1_0734,normal,knn16,fp32,0.9970558433611555,0,
1300010455_ToyCar_case3_normal_IND_ch1_0455,normal,knn16,fp32,1.287590127434849,1,
1300010745_ToyCar_case3_normal_IND_ch1_0745,normal,knn16,fp32,1.0253112829613003,0,
1300010891_ToyCar_case3_normal_IND_ch1_0891,normal,knn16,fp32,1.1799361528370402,0,
1300010447_ToyCar_case3_normal_IND_ch1_0447,normal,knn16,fp32,1.1361856779371442,0,
1300010595_ToyCar_case3_normal_IND_ch1_0595,normal,knn16,fp32,1.0157075980543704,0,
1300010540_ToyCar_case3_normal_IND_ch1_0540,normal,knn16,fp32,1.0227762474080133,0,
1300010088_ToyCar_case3_normal_IND_ch1_0088,normal,knn16,fp32,0.7535635874895223,0,
1300010285_ToyCar_case3_normal_IND_ch1_0285,normal,knn16,fp32,1.0106962991419188,0,
1300011085_ToyCar_case3_normal_IND_ch1_1085,normal,knn16,fp32,1.1110715023800573,0,
1300010060_ToyCar_case3_normal_IND_ch1_0060,normal,knn16,fp32,0.805544571537081,0,
1300011162_ToyCar_case3_normal_IND_ch1_1162,normal,knn16,fp32,1.0022206808107534,0,
1300010337_ToyCar_case3_normal_IND_ch1_0337,normal,knn16,fp32,1.0284862731572664,0,
1300011298_ToyCar_case3_normal_IND_ch1_1298,normal,knn16,fp32,1.1953390579713181,0,
1300010021_ToyCar_case3_normal_IND_ch1_0021,normal,knn16,fp32,0.8604573393059268,0,
1300010918_ToyCar_case3_normal_IND_ch1_0918,normal,knn16,fp32,1.1527660940774527,0,
