clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,fp32,1.0130101608980224,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,fp32,1.0314149781239805,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,fp32,0.9957724075763479,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,fp32,0.9779033129811153,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,fp32,0.8426677132285192,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,fp32,1.033380635357356,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,fp32,0.99927398398056,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,fp32,1.0105961717272836,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,fp32,0.9730602221619312,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,fp32,1.0335112354119924,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,fp32,0.9617807181619391,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,fp32,1.055645086472031,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,fp32,1.0577418932038705,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,fp32,0.9714121168457763,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,fp32,1.0460779890247722,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,fp32,1.0210268885227718,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,fp32,0.8790705076547436,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,fp32,0.9964723443137297,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,fp32,1.0607671328928183,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,fp32,0.8480574148622096,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,fp32,1.1142652791834586,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,fp32,1.0430367787530375,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,fp32,1.027556519429438,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,fp32,0.8814673118557969,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,fp32,1.0010041726973151,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,fp32,0.9660107244081392,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,fp32,0.8536630096482061,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,fp32,1.0656712743013264,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,fp32,1.1198018595353396,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,fp32,1.0375364599473214,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,fp32,1.0311677059639837,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,fp32,1.0337438298826034,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,fp32,0.9107813173336246,0,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,fp32,1.0590697407942558,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,fp32,1.0273278942624797,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,knn16,fp32,1.0093975078398483,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,knn16,fp32,0.9223132525122915,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,knn16,fp32,1.0119399100757513,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,knn16,fp32,1.0806611091172214,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,knn16,fp32,1.019541743529346,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,knn16,fp32,1.0942709197909892,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,knn16,fp32,0.9968290074110172,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,knn16,fp32,0.9804396667581322,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,knn16,fp32,1.0121977748325022,0,
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,knn16,fp32,0.8963949523781923,0,
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,knn16,fp32,1.0520527785463265,0,
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,knn16,fp32,1.0171821073457021,0,
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,knn16,fp32,1.1028469063321584,0,
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,knn16,fp32,0.9901440533807802,0,
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,knn16,fp32,1.0347530178219306,0,
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,knn16,fp32,1.0429493899761921,0,
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,knn16,fp32,1.0471415593530884,0,
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,knn16,fp32,1.024507742687061,0,
1400011171_ToyCar_case4_normal_IND_ch1_1171,normal,knn16,fp32,1.0498659956812642,0,
1400010843_ToyCar_case4_normal_IND_ch1_0843,normal,knn16,fp32,1.0576790616972862,0,
1400011212_ToyCar_case4_normal_IND_ch1_1212,normal,knn16,fp32,1.1198222998194838,0,
1400010303_ToyCar_case4_normal_IND_ch1_0303,normal,knn16,fp32,0.9984121344692335,0,
1400010804_ToyCar_case4_normal_IND_ch1_0804,normal,knn16,fp32,1.0139388654828523,0,
1400011142_ToyCar_case4_normal_IND_ch1_1142,normal,knn16,fp32,1.0774325671753922,0,
1400010505_ToyCar_case4_normal_IND_ch1_0505,normal,knn16,fp32,0.9823469899097017,0,
1400011347_ToyCar_case4_normal_IND_ch1_1347,normal,knn16,fp32,1.1382466926041932,1,
1400010667_ToyCar_case4_normal_IND_ch1_0667,normal,knn16,fp32,1.0864196549362088,0,
1400010105_ToyCar_case4_normal_IND_ch1_0105,normal,knn16,fp32,0.8076461507902732,0,
1400010141_ToyCar_case4_normal_IND_ch1_0141,normal,knn16,fp32,0.8711210404701327,0,
1400010100_ToyCar_case4_normal_IND_ch1_0100,normal,knn16,fp32,0.8734526357440474,0,
1400010976_ToyCar_case4_normal_IND_ch1_0976,normal,knn16,fp32,0.9765166660795729,0,
1400010945_ToyCar_case4_normal_IND_ch1_0945,normal,knn16,fp32,1.0682156155937832,0,
1400010676_ToyCar_case4_normal_IND_ch1_0676,normal,knn16,fp32,1.1284556217021553,0,
1400010490_ToyCar_case4_normal_IND_ch1_0490,normal,knn16,fp32,1.0487457576367156,0,
1400011247_ToyCar_case4_normal_IND_ch1_1247,normal,knn16,fp32,1.0260808254393545,0,
1400011056_ToyCar_case4_normal_IND_ch1_1056,normal,knn16,fp32,1.0943127537448356,0,
1400010953_ToyCar_case4_normal_IND_ch1_0953,normal,knn16,fp32,0.9530865118179465,0,
1400011267_ToyCar_case4_normal_IND_ch1_1267,normal,knn16,fp32,1.105325232619057,0,
1400010527_ToyCar_case4_normal_IND_ch1_0527,normal,knn16,fp32,1.0229957912949048,0,
1400011048_ToyCar_case4_normal_IND_ch1_1048,normal,knn16,fp32,1.0659889467343182,0,
1400010294_ToyCar_case4_normal_IND_ch1_0294,normal,knn16,fp32,0.9841363203044972,0,
1400010541_ToyCar_case4_normal_IND_ch1_0541,normal,knn16,fp32,1.0250809631957964,0,
1400010085_ToyCar_case4_normal_IND_ch1_0085,normal,knn16,fp32,0.9325165197395592,0,
1400010868_ToyCar_case4_normal_IND_ch1_0868,normal,knn16,fp32,1.044472333964662,0,
1400010471_ToyCar_case4_normal_IND_ch1_0471,normal,knn16,fp32,0.9295684728845184,0,
1400011156_ToyCar_case4_normal_IND_ch1_1156,normal,knn16,fp32,1.1047339712519277,0,
1400010622_ToyCar_case4_normal_IND_ch1_0622,normal,knn16,fp32,1.034288382538217,0,
1400010296_ToyCar_case4_normal_IND_ch1_0296,normal,knn16,fp32,0.9975683288017702,0,
1400011158_ToyCar_case4_normal_IND_ch1_1158,normal,knn16,fp32,0.9989028393604855,0,
1400010388_ToyCar_case4_normal_IND_ch1_0388,normal,knn16,fp32,1.0546499723829927,0,
1400010437_ToyCar_case4_normal_IND_ch1_0437,normal,knn16,fp32,1.0060131414990072,0,
1400011269_ToyCar_case4_normal_IND_ch1_1269,normal,knn16,fp32,1.0538091302070507,0,
1400011311_ToyCar_case4_normal_IND_ch1_1311,normal,knn16,fp32,1.082730610705462,0,
1400011167_ToyCar_case4_normal_IND_ch1_1167,normal,knn16,fp32,1.0839856186673964,0,
1400010377_ToyCar_case4_normal_IND_ch1_0377,normal,knn16,fp32,0.9978666677954061,0,
1400011252_ToyCar_case4_normal_IND_ch1_1252,normal,knn16,fp32,1.123867078023512,0,
1400010939_ToyCar_case4_normal_IND_ch1_0939,normal,knn16,fp32,1.0059721282723797,0,
1400011185_ToyCar_case4_normal_IND_ch1_1185,normal,knn16,fp32,1.1084076048380787,0,
1400010803_ToyCar_case4_normal_IND_ch1_0803,normal,knn16,fp32,1.0251707147947977,0,
1400011140_ToyCar_case4_normal_IND_ch1_1140,normal,knn16,fp32,1.1103099572459756,0,
