clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,euclidean,fp32,1.047409176826477,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,euclidean,fp32,0.9708353877067566,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,euclidean,fp32,0.9527279138565063,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,euclidean,fp32,1.008466124534607,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,euclidean,fp32,0.8800595998764038,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,euclidean,fp32,1.070641040802002,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,euclidean,fp32,0.9821188449859619,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,euclidean,fp32,0.9716843962669373,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,euclidean,fp32,0.9359543323516846,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,euclidean,fp32,1.0211938619613647,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,euclidean,fp32,1.0236625671386719,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,euclidean,fp32,1.0362061262130737,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,euclidean,fp32,0.9913456439971924,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,euclidean,fp32,1.0086534023284912,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,euclidean,fp32,1.0554417371749878,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,euclidean,fp32,0.9897838830947876,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,euclidean,fp32,0.9601678848266602,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,euclidean,fp32,0.9701136350631714,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,euclidean,fp32,1.051435112953186,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,euclidean,fp32,0.9577484130859375,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,euclidean,fp32,1.0732649564743042,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,euclidean,fp32,1.0030311346054077,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,euclidean,fp32,1.047662377357483,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,euclidean,fp32,0.9834703207015991,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,euclidean,fp32,0.9766231179237366,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,euclidean,fp32,0.9725574254989624,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,euclidean,fp32,0.9479643702507019,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,euclidean,fp32,1.0436640977859497,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,euclidean,fp32,1.0438698530197144,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,euclidean,fp32,0.9827854633331299,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,euclidean,fp32,0.993472695350647,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,euclidean,fp32,1.01862370967865,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,euclidean,fp32,1.0035715103149414,0,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,euclidean,fp32,1.0412486791610718,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,euclidean,fp32,0.9469881653785706,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,euclidean,fp32,1.0192160606384277,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,euclidean,fp32,0.9510528445243835,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,euclidean,fp32,0.9849556684494019,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,euclidean,fp32,1.0617318153381348,0,
