clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,euclidean,fp32,0.9874133467674255,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,euclidean,fp32,0.9228953123092651,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,euclidean,fp32,0.9043250679969788,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,euclidean,fp32,0.9497999548912048,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,euclidean,fp32,0.8597798943519592,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,euclidean,fp32,1.008558988571167,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,euclidean,fp32,0.9352377653121948,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,euclidean,fp32,0.9259024858474731,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,euclidean,fp32,0.8890058398246765,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,euclidean,fp32,0.9696417450904846,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,euclidean,fp32,0.9692744612693787,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,euclidean,fp32,0.9829841256141663,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,euclidean,fp32,0.9438508749008179,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,euclidean,fp32,0.9629690647125244,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,euclidean,fp32,1.0035514831542969,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,euclidean,fp32,0.9380814433097839,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,euclidean,fp32,0.9310793280601501,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,euclidean,fp32,0.9245835542678833,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,euclidean,fp32,0.9957688450813293,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,euclidean,fp32,0.9250490665435791,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,euclidean,fp32,1.013027548789978,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,euclidean,fp32,0.9574848413467407,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,euclidean,fp32,0.9874714612960815,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,euclidean,fp32,0.9488822221755981,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,euclidean,fp32,0.9302254319190979,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,euclidean,fp32,0.9190472960472107,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,euclidean,fp32,0.9094517230987549,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,euclidean,fp32,0.9891687035560608,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,euclidean,fp32,0.9834403991699219,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,euclidean,fp32,0.9395336508750916,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,euclidean,fp32,0.9420679807662964,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,euclidean,fp32,0.9645131230354309,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,euclidean,fp32,0.9648371338844299,0,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,euclidean,fp32,0.9829355478286743,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,euclidean,fp32,0.901582658290863,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,euclidean,fp32,0.9666838645935059,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,euclidean,fp32,0.9194039702415466,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,euclidean,fp32,0.9339797496795654,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,euclidean,fp32,1.0014365911483765,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,euclidean,fp32,0.9226750731468201,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,euclidean,fp32,0.9846393465995789,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,euclidean,fp32,0.900635838508606,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,euclidean,fp32,0.9393420219421387,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,euclidean,fp32,0.9203968644142151,0,
