clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,euclidean,fp32,1.4554212178953954,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,euclidean,fp32,1.6640241182524464,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,euclidean,fp32,1.5796748982596744,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,euclidean,fp32,1.437086761759145,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,euclidean,fp32,1.7587798683276612,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,euclidean,fp32,1.5441472838343957,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,euclidean,fp32,1.6471389320365268,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,euclidean,fp32,1.6570355156951764,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,euclidean,fp32,1.6567906333419966,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,euclidean,fp32,1.4360998293087806,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,euclidean,fp32,1.654293932924403,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,euclidean,fp32,1.6278150428526474,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,euclidean,fp32,1.4772417877131612,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,euclidean,fp32,1.5872065258128245,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,euclidean,fp32,1.448154047464983,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,euclidean,fp32,1.5883874658024264,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,euclidean,fp32,1.8033191386307372,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,euclidean,fp32,1.6803172944861948,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,euclidean,fp32,1.5622600628954393,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,euclidean,fp32,1.8720519623119158,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,euclidean,fp32,1.5199897450575297,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,euclidean,fp32,1.7597021609781112,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,euclidean,fp32,1.4519296958395278,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,euclidean,fp32,1.9207016619267352,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,euclidean,fp32,1.5683923570025142,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,euclidean,fp32,1.452641149148395,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,euclidean,fp32,1.8976942230900082,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,euclidean,fp32,1.4749037154688622,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,euclidean,fp32,1.4322782768795623,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,euclidean,fp32,1.5554918218177514,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,euclidean,fp32,1.4215547306621379,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,euclidean,fp32,1.4310009794110308,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,euclidean,fp32,2.026343841225624,1,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,euclidean,fp32,1.481174683973621,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,euclidean,fp32,1.6646391234421403,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,euclidean,fp32,1.6087411836731427,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,euclidean,fp32,1.8225650013826324,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,euclidean,fp32,1.5995151693792462,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,euclidean,fp32,1.4437855551711474,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,euclidean,fp32,1.5713898093366334,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,euclidean,fp32,1.421241439415379,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,euclidean,fp32,1.6892479936622817,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,euclidean,fp32,1.702657666562841,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,euclidean,fp32,1.6016044241118172,0,
