clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,int8,1.5331430076851345,0,1577
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,int8,1.728717420443521,0,2005
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,int8,1.5992835188630121,0,1716
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,int8,1.4127233014476255,0,1339
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,int8,1.7373180577135463,0,2025
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,int8,1.537996274043001,0,1587
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,int8,1.5988174592526891,0,1715
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,int8,1.7509912095489906,0,2057
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,int8,1.6819571368831403,0,1898
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,int8,1.4947468139301778,0,1499
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,int8,1.708335491655586,0,1958
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,int8,1.6654822423471518,0,1861
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,int8,1.5625134653651644,0,1638
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,int8,1.6695046124028519,0,1870
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,int8,1.4404110275618025,0,1392
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,int8,1.6270028013020936,0,1776
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,int8,1.8025821524914587,0,2180
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,int8,1.744168032268595,0,2041
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,int8,1.5795906224367935,0,1674
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,int8,1.856755146485389,0,2313
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,int8,1.5462118663999191,0,1604
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,int8,1.8304799380992431,0,2248
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,int8,1.4378217552407115,0,1387
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,int8,1.8691563205266202,0,2344
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,int8,1.648842742299963,0,1824
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,int8,1.5486199224710007,0,1609
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,int8,1.834952960278758,0,2259
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,int8,1.5682265135480449,0,1650
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,int8,1.4761840423930828,0,1462
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,int8,1.6872657996473857,0,1910
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,int8,1.486246763134793,0,1482
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,int8,1.5071598057755031,0,1524
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,int8,1.992289303156461,1,2663
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,int8,1.4782020666331501,0,1466
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,int8,1.7725648102100917,0,2108
