clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,fp32,1.1742494167761472,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,fp32,1.3170867103734072,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,fp32,1.2700500180154555,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,fp32,1.139879686524548,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,fp32,1.215767464677004,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,fp32,1.216120876894311,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,fp32,1.292266893152971,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,fp32,1.3591475574105831,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,fp32,1.3643153626267552,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,fp32,1.2035050382988155,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,fp32,1.3251777886059775,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,fp32,1.2489481683526946,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,fp32,1.2511387161328684,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,fp32,1.291005425510797,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,fp32,1.2437832073491784,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,fp32,1.2434310888008784,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,fp32,1.2997616873314197,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,fp32,1.3436426459786373,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,fp32,1.2594352340698027,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,fp32,1.3577619763011706,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,fp32,1.2518774460886946,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,fp32,1.40024056438863,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,fp32,1.1326618440140463,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,fp32,1.3722981868848851,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,fp32,1.3250718466727587,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,fp32,1.186732897599859,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,fp32,1.2683697653602273,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,fp32,1.255645057594359,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,fp32,1.1719245042588287,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,fp32,1.264417694161816,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,fp32,1.1983131456265212,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,fp32,1.179187852757468,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,fp32,1.4358920970198166,1,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,fp32,1.1755166916205841,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,fp32,1.3328746213855325,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,knn16,fp32,1.2994544788472997,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,knn16,fp32,1.3742296833214351,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,knn16,fp32,1.299255238305306,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,knn16,fp32,1.2287710795996742,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,knn16,fp32,1.2319030525849135,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,knn16,fp32,1.195785260736589,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,knn16,fp32,1.2991121230164082,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,knn16,fp32,1.3802084738495024,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,knn16,fp32,1.340728227043502,0,
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,knn16,fp32,1.369564010961341,0,
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,knn16,fp32,1.3734859217200748,0,
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,knn16,fp32,1.3824946500069706,0,
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,knn16,fp32,1.1802896735965245,0,
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,knn16,fp32,1.3323684730638907,0,
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,knn16,fp32,1.2787114484847515,0,
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,knn16,fp32,1.1940731870739167,0,
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,knn16,fp32,1.3280785818625667,0,
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,knn16,fp32,1.3293950695191583,0,
