clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,euclidean,int8,1.2720428578217018,0,1623
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,euclidean,int8,1.2048227831808926,0,1456
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,euclidean,int8,1.0674943845653617,0,1143
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,euclidean,int8,1.2362706570820508,0,1533
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,euclidean,int8,1.2771271385488547,0,1636
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,euclidean,int8,1.2249284846813642,0,1505
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,euclidean,int8,1.353677584399001,0,1838
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,euclidean,int8,1.1545378827539463,0,1337
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,euclidean,int8,1.2578560626343365,0,1587
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,euclidean,int8,1.2786874655065081,0,1640
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,euclidean,int8,1.153674030868871,0,1335
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,euclidean,int8,1.088305200008315,0,1188
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,euclidean,int8,1.2023377558878974,0,1450
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,euclidean,int8,1.3455517519457283,0,1816
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,euclidean,int8,1.2507023208546997,0,1569
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,euclidean,int8,1.1969358309244325,0,1437
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,euclidean,int8,1.324642905543835,0,1760
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,euclidean,int8,1.3892972000001922,1,1936
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,euclidean,int8,1.2273677738241258,0,1511
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,euclidean,int8,1.3433270850861347,0,1810
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,euclidean,int8,1.207302695478628,0,1462
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,euclidean,int8,1.1864783892644493,0,1412
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,euclidean,int8,1.2171718190390342,0,1486
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,euclidean,int8,1.2550788971460638,0,1580
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,euclidean,int8,1.233848968846624,0,1527
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,euclidean,int8,1.2261487358403493,0,1508
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,euclidean,int8,1.290329776698382,0,1670
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,euclidean,int8,1.2237070167179227,0,1502
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,euclidean,int8,1.332148024558447,0,1780
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,euclidean,int8,1.2629974545456293,0,1600
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,euclidean,int8,1.141074689893943,0,1306
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,euclidean,int8,1.2740007516351952,0,1628
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,euclidean,int8,1.3087420715099514,0,1718
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,euclidean,int8,1.2277738508489087,0,1512
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,euclidean,int8,1.263786581429584,0,1602
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,euclidean,int8,1.2771271385488547,0,1636
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,euclidean,int8,1.318986041666891,0,1745
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,euclidean,int8,1.2526935692431618,0,1574
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,euclidean,int8,1.277907540172888,0,1638
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,euclidean,int8,1.1287763741938681,0,1278
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,euclidean,int8,1.1864783892644493,0,1412
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,euclidean,int8,1.2562698626809783,0,1583
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,euclidean,int8,1.2253353700885936,0,1506
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,euclidean,int8,1.2538868004099397,0,1577
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,euclidean,int8,1.3328962122189816,0,1782
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,euclidean,int8,1.3466627072074593,0,1819
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,euclidean,int8,1.2669381738081849,0,1610
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,euclidean,int8,1.2594402648523777,0,1591
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,euclidean,int8,1.2423042246799312,0,1548
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,euclidean,int8,1.2188089035973864,0,1490
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,euclidean,int8,1.3117856618331756,0,1726
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,euclidean,int8,1.2257421204301167,0,1507
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,euclidean,int8,1.3726928957474238,0,1890
1400011171_ToyCar_case4_normal_IND_ch1_1171,normal,euclidean,int8,1.2077155191171174,0,1463
1400010843_ToyCar_case4_normal_IND_ch1_0843,normal,euclidean,int8,1.2841336795414287,0,1654
1400011212_ToyCar_case4_normal_IND_ch1_1212,normal,euclidean,int8,1.1763517882158938,0,1388
1400010303_ToyCar_case4_normal_IND_ch1_0303,normal,euclidean,int8,1.1371361653114576,0,1297
1400010804_ToyCar_case4_normal_IND_ch1_0804,normal,euclidean,int8,1.193599417937114,0,1429
1400011142_ToyCar_case4_normal_IND_ch1_1142,normal,euclidean,int8,1.2382851128047714,0,1538
1400010505_ToyCar_case4_normal_IND_ch1_0505,normal,euclidean,int8,1.2938020413076368,0,1679
1400011347_ToyCar_case4_normal_IND_ch1_1347,normal,euclidean,int8,1.2914882355072386,0,1673
1400010667_ToyCar_case4_normal_IND_ch1_0667,normal,euclidean,int8,1.2665446536328875,0,1609
1400010105_ToyCar_case4_normal_IND_ch1_0105,normal,euclidean,int8,1.2423042246799312,0,1548
1400010141_ToyCar_case4_normal_IND_ch1_0141,normal,euclidean,int8,1.2945723909092701,0,1681
1400010100_ToyCar_case4_normal_IND_ch1_0100,normal,euclidean,int8,1.3167164913047478,0,1739
1400010976_ToyCar_case4_normal_IND_ch1_0976,normal,euclidean,int8,1.2895568926657561,0,1668
1400010945_ToyCar_case4_normal_IND_ch1_0945,normal,euclidean,int8,1.190253652650927,0,1421
1400010676_ToyCar_case4_normal_IND_ch1_0676,normal,euclidean,int8,1.262207834303053,0,1598
1400010490_ToyCar_case4_normal_IND_ch1_0490,normal,euclidean,int8,1.1944343948968288,0,1431
1400011247_ToyCar_case4_normal_IND_ch1_1247,normal,euclidean,int8,1.2451098838665529,0,1555
1400011056_ToyCar_case4_normal_IND_ch1_1056,normal,euclidean,int8,1.2350604065158033,0,1530
1400010953_ToyCar_case4_normal_IND_ch1_0953,normal,euclidean,int8,1.2151223617524909,0,1481
1400011267_ToyCar_case4_normal_IND_ch1_1267,normal,euclidean,int8,1.261812838882865,0,1597
1400010527_ToyCar_case4_normal_IND_ch1_0527,normal,euclidean,int8,1.2386876108205385,0,1539
1400011048_ToyCar_case4_normal_IND_ch1_1048,normal,euclidean,int8,1.180159446471553,0,1397
1400010294_ToyCar_case4_normal_IND_ch1_0294,normal,euclidean,int8,1.3410987278674913,0,1804
1400010541_ToyCar_case4_normal_IND_ch1_0541,normal,euclidean,int8,1.2475097124032295,0,1561
1400010085_ToyCar_case4_normal_IND_ch1_0085,normal,euclidean,int8,1.294957393859316,0,1682
1400010868_ToyCar_case4_normal_IND_ch1_0868,normal,euclidean,int8,1.3573550635585347,0,1848
1400010471_ToyCar_case4_normal_IND_ch1_0471,normal,euclidean,int8,1.1990163745264704,0,1442
1400011156_ToyCar_case4_normal_IND_ch1_1156,normal,euclidean,int8,1.2318272585440047,0,1522
1400010622_ToyCar_case4_normal_IND_ch1_0622,normal,euclidean,int8,1.196102600171919,0,1435
1400010296_ToyCar_case4_normal_IND_ch1_0296,normal,euclidean,int8,1.3261473272729107,0,1764
1400011158_ToyCar_case4_normal_IND_ch1_1158,normal,euclidean,int8,1.22003527543566,0,1493
1400010388_ToyCar_case4_normal_IND_ch1_0388,normal,euclidean,int8,1.2984172832214702,0,1691
1400010437_ToyCar_case4_normal_IND_ch1_0437,normal,euclidean,int8,1.2841336795414287,0,1654
1400011269_ToyCar_case4_normal_IND_ch1_1269,normal,euclidean,int8,1.3573550635585347,0,1848
1400011311_ToyCar_case4_normal_IND_ch1_1311,normal,euclidean,int8,1.2499049332563643,0,1567
1400011167_ToyCar_case4_normal_IND_ch1_1167,normal,euclidean,int8,1.2751740449782318,0,1631
1400010377_ToyCar_case4_normal_IND_ch1_0377,normal,euclidean,int8,1.2285856022439356,0,1514
1400011252_ToyCar_case4_normal_IND_ch1_1252,normal,euclidean,int8,1.2669381738081849,0,1610
1400010939_ToyCar_case4_normal_IND_ch1_0939,normal,euclidean,int8,1.2382851128047714,0,1538
1400011185_ToyCar_case4_normal_IND_ch1_1185,normal,euclidean,int8,1.155832450025984,0,1340
1400010803_ToyCar_case4_normal_IND_ch1_0803,normal,euclidean,int8,1.2382851128047714,0,1538
1400011140_ToyCar_case4_normal_IND_ch1_1140,normal,euclidean,int8,1.3358847725004772,0,1790
1400010744_ToyCar_case4_normal_IND_ch1_0744,normal,euclidean,int8,1.279856462366996,0,1643
1400011146_ToyCar_case4_normal_IND_ch1_1146,normal,euclidean,int8,1.2179906363661124,0,1488
1400010736_ToyCar_case4_normal_IND_ch1_0736,normal,euclidean,int8,1.3975253743223546,1,1959
1400010476_ToyCar_case4_normal_IND_ch1_0476,normal,euclidean,int8,1.1506454420266277,0,1328
1400010572_ToyCar_case4_normal_IND_ch1_0572,normal,euclidean,int8,1.146739789053882,0,1319
1400011074_ToyCar_case4_normal_IND_ch1_1074,normal,euclidean,int8,1.201923085154444,0,1449
1400011032_ToyCar_case4_normal_IND_ch1_1032,normal,euclidean,int8,1.3340177069165207,0,1785
1400011240_ToyCar_case4_normal_IND_ch1_1240,normal,euclidean,int8,1.2633920795996414,0,1601
1400011180_ToyCar_case4_normal_IND_ch1_1180,normal,euclidean,int8,1.2641809601508174,0,1603
1400011286_ToyCar_case4_normal_IND_ch1_1286,normal,euclidean,int8,1.273609413658942,0,1627
1400010896_ToyCar_case4_normal_IND_ch1_0896,normal,euclidean,int8,1.2849098256863571,0,1656
1400011092_ToyCar_case4_normal_IND_ch1_1092,normal,euclidean,int8,1.2285856022439356,0,1514
1400011151_ToyCar_case4_normal_IND_ch1_1151,normal,euclidean,int8,1.1601372412765434,0,1350
1400011034_ToyCar_case4_normal_IND_ch1_1034,normal,euclidean,int8,1.3510973933287482,0,1831
1400010025_ToyCar_case4_normal_IND_ch1_0025,normal,euclidean,int8,1.2126584409440044,0,1475
1400010408_ToyCar_case4_normal_IND_ch1_0408,normal,euclidean,int8,1.3242665330669825,0,1759
1400010750_ToyCar_case4_normal_IND_ch1_0750,normal,euclidean,int8,1.1898347704797108,0,1420
1400010434_ToyCar_case4_normal_IND_ch1_0434,normal,euclidean,int8,1.253489182895452,0,1576
1400011114_ToyCar_case4_normal_IND_ch1_1114,normal,euclidean,int8,1.2015082713076963,0,1448
1400010192_ToyCar_case4_normal_IND_ch1_0192,normal,euclidean,int8,1.2724346775931448,0,1624
1400010655_ToyCar_case4_normal_IND_ch1_0655,normal,euclidean,int8,1.2554760111876881,0,1581
1400011031_ToyCar_case4_normal_IND_ch1_1031,normal,euclidean,int8,1.2574597002288335,0,1586
1400010926_ToyCar_case4_normal_IND_ch1_0926,normal,euclidean,int8,1.2922599644291144,0,1675
1400010354_ToyCar_case4_normal_IND_ch1_0354,normal,euclidean,int8,1.2818024213171082,0,1648
1400010687_ToyCar_case4_normal_IND_ch1_0687,normal,euclidean,int8,1.132303808961711,0,1286
1400011190_ToyCar_case4_normal_IND_ch1_1190,normal,euclidean,int8,1.2724346775931448,0,1624
1400010785_ToyCar_case4_normal_IND_ch1_0785,normal,euclidean,int8,1.2253353700885936,0,1506
1400011343_ToyCar_case4_normal_IND_ch1_1343,normal,euclidean,int8,1.2763462597607476,0,1634
1400010359_ToyCar_case4_normal_IND_ch1_0359,normal,euclidean,int8,1.2439082333850342,0,1552
1400010842_ToyCar_case4_normal_IND_ch1_0842,normal,euclidean,int8,1.3781293245305273,0,1905
1400010759_ToyCar_case4_normal_IND_ch1_0759,normal,euclidean,int8,1.174655533853759,0,1384
1400010526_ToyCar_case4_normal_IND_ch1_0526,normal,euclidean,int8,1.0744761096339461,0,1158
1400010376_ToyCar_case4_normal_IND_ch1_0376,normal,euclidean,int8,1.249107036632914,0,1565
1400010289_ToyCar_case4_normal_IND_ch1_0289,normal,euclidean,int8,1.4060599597555108,1,1983
1400010110_ToyCar_case4_normal_IND_ch1_0110,normal,euclidean,int8,1.2751740449782318,0,1631
1400010188_ToyCar_case4_normal_IND_ch1_0188,normal,euclidean,int8,1.1476088606367927,0,1321
1400011155_ToyCar_case4_normal_IND_ch1_1155,normal,euclidean,int8,1.118573037844106,0,1255
1400011097_ToyCar_case4_normal_IND_ch1_1097,normal,euclidean,int8,1.2002629696036218,0,1445
1400011246_ToyCar_case4_normal_IND_ch1_1246,normal,euclidean,int8,1.1314229812835088,0,1284
