clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,fp32,0.9520999625375507,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,fp32,0.9743680589086319,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,fp32,0.9710890031910062,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,fp32,0.9120128658972428,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,fp32,0.9543438596069038,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,fp32,0.953935672176488,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,fp32,0.9259714482018783,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,fp32,0.9728383210660911,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,fp32,0.9425059204184555,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,fp32,0.9466945728539823,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,fp32,1.0146611439459767,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,fp32,0.9598688124829989,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,fp32,0.9312431896573915,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,fp32,0.995996292505903,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,fp32,0.9827741506161084,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,fp32,0.9579094671256518,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,fp32,1.0711697169143155,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,fp32,1.0183435567526542,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,fp32,0.9226472652815302,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,fp32,1.0838377911903023,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,fp32,0.9324476755350753,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,fp32,0.9754791847669526,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,fp32,0.9250194619242351,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,fp32,1.0575234988254925,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,fp32,0.9443974040603708,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,fp32,0.9217143471334869,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,fp32,1.0887201726082365,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,fp32,0.9630471345381827,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,fp32,0.9613680748166265,0,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,fp32,0.9531052751090491,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,fp32,0.925716536654365,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,fp32,0.9363690005558252,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,fp32,1.149328264059958,1,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,fp32,0.9286129533354487,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,fp32,0.9623236766663799,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,knn16,fp32,0.9356229373629389,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,knn16,fp32,1.0928655650628707,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,knn16,fp32,0.9691160940014673,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,knn16,fp32,0.928908433788368,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,knn16,fp32,0.9238155640713819,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,knn16,fp32,0.9164260115304417,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,knn16,fp32,0.981916841500155,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,knn16,fp32,1.0109285229105647,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,knn16,fp32,1.0047312818882719,0,
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,knn16,fp32,1.1166710626212124,0,
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,knn16,fp32,0.9798108350066751,0,
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,knn16,fp32,0.953633448239271,0,
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,knn16,fp32,0.9950574645389542,0,
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,knn16,fp32,0.9840420684820466,0,
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,knn16,fp32,0.9777408324496591,0,
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,knn16,fp32,0.8964355982217727,0,
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,knn16,fp32,0.9791359337946156,0,
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,knn16,fp32,0.9832335767485827,0,
1400011171_ToyCar_case4_normal_IND_ch1_1171,normal,knn16,fp32,0.9323058626299258,0,
1400010843_ToyCar_case4_normal_IND_ch1_0843,normal,knn16,fp32,0.9565643306219592,0,
1400011212_ToyCar_case4_normal_IND_ch1_1212,normal,knn16,fp32,0.9304661544036189,0,
1400010303_ToyCar_case4_normal_IND_ch1_0303,normal,knn16,fp32,0.9372360261597673,0,
1400010804_ToyCar_case4_normal_IND_ch1_0804,normal,knn16,fp32,0.9289562223645483,0,
1400011142_ToyCar_case4_normal_IND_ch1_1142,normal,knn16,fp32,0.9236741434036374,0,
1400010505_ToyCar_case4_normal_IND_ch1_0505,normal,knn16,fp32,1.0008438918268803,0,
1400011347_ToyCar_case4_normal_IND_ch1_1347,normal,knn16,fp32,0.9586686359495484,0,
1400010667_ToyCar_case4_normal_IND_ch1_0667,normal,knn16,fp32,0.9615935119980458,0,
1400010105_ToyCar_case4_normal_IND_ch1_0105,normal,knn16,fp32,1.0543169663055323,0,
1400010141_ToyCar_case4_normal_IND_ch1_0141,normal,knn16,fp32,1.1327604426229436,1,
1400010100_ToyCar_case4_normal_IND_ch1_0100,normal,knn16,fp32,1.1121496931741566,0,
1400010976_ToyCar_case4_normal_IND_ch1_0976,normal,knn16,fp32,0.9505541262274081,0,
1400010945_ToyCar_case4_normal_IND_ch1_0945,normal,knn16,fp32,0.9415623499749708,0,
1400010676_ToyCar_case4_normal_IND_ch1_0676,normal,knn16,fp32,0.9487167981898866,0,
1400010490_ToyCar_case4_normal_IND_ch1_0490,normal,knn16,fp32,1.019509848272642,0,
1400011247_ToyCar_case4_normal_IND_ch1_1247,normal,knn16,fp32,0.8926091228790627,0,
1400011056_ToyCar_case4_normal_IND_ch1_1056,normal,knn16,fp32,0.9797183555895208,0,
1400010953_ToyCar_case4_normal_IND_ch1_0953,normal,knn16,fp32,0.8727910006657535,0,
1400011267_ToyCar_case4_normal_IND_ch1_1267,normal,knn16,fp32,0.9386502160769346,0,
1400010527_ToyCar_case4_normal_IND_ch1_0527,normal,knn16,fp32,0.9741172163060041,0,
1400011048_ToyCar_case4_normal_IND_ch1_1048,normal,knn16,fp32,0.9836253985100267,0,
1400010294_ToyCar_case4_normal_IND_ch1_0294,normal,knn16,fp32,0.9947354134835195,0,
1400010541_ToyCar_case4_normal_IND_ch1_0541,normal,knn16,fp32,0.964515289929988,0,
1400010085_ToyCar_case4_normal_IND_ch1_0085,normal,knn16,fp32,1.1032050733516652,0,
1400010868_ToyCar_case4_normal_IND_ch1_0868,normal,knn16,fp32,0.9526630373811682,0,
1400010471_ToyCar_case4_normal_IND_ch1_0471,normal,knn16,fp32,0.9962296945307446,0,
1400011156_ToyCar_case4_normal_IND_ch1_1156,normal,knn16,fp32,0.9394258598757244,0,
1400010622_ToyCar_case4_normal_IND_ch1_0622,normal,knn16,fp32,0.9332886134857905,0,
1400010296_ToyCar_case4_normal_IND_ch1_0296,normal,knn16,fp32,0.9392450708136065,0,
1400011158_ToyCar_case4_normal_IND_ch1_1158,normal,knn16,fp32,0.9142451332025566,0,
1400010388_ToyCar_case4_normal_IND_ch1_0388,normal,knn16,fp32,0.9806944219621754,0,
1400010437_ToyCar_case4_normal_IND_ch1_0437,normal,knn16,fp32,0.9732348992139696,0,
1400011269_ToyCar_case4_normal_IND_ch1_1269,normal,knn16,fp32,0.9791876493672627,0,
1400011311_ToyCar_case4_normal_IND_ch1_1311,normal,knn16,fp32,0.9336885607601444,0,
1400011167_ToyCar_case4_normal_IND_ch1_1167,normal,knn16,fp32,0.9490542780622488,0,
1400010377_ToyCar_case4_normal_IND_ch1_0377,normal,knn16,fp32,0.921759698198548,0,
1400011252_ToyCar_case4_normal_IND_ch1_1252,normal,knn16,fp32,0.9387756756608112,0,
1400010939_ToyCar_case4_normal_IND_ch1_0939,normal,knn16,fp32,0.9116283193109772,0,
1400011185_ToyCar_case4_normal_IND_ch1_1185,normal,knn16,fp32,0.9518909167670362,0,
1400010803_ToyCar_case4_normal_IND_ch1_0803,normal,knn16,fp32,0.9383447463408231,0,
1400011140_ToyCar_case4_normal_IND_ch1_1140,normal,knn16,fp32,0.9442490622124105,0,
1400010744_ToyCar_case4_normal_IND_ch1_0744,normal,knn16,fp32,0.9895425530247358,0,
1400011146_ToyCar_case4_normal_IND_ch1_1146,normal,knn16,fp32,0.9347719580412884,0,
1400010736_ToyCar_case4_normal_IND_ch1_0736,normal,knn16,fp32,0.9795854315856808,0,
1400010476_ToyCar_case4_normal_IND_ch1_0476,normal,knn16,fp32,0.9803357852122797,0,
1400010572_ToyCar_case4_normal_IND_ch1_0572,normal,knn16,fp32,0.9763897454129863,0,
1400011074_ToyCar_case4_normal_IND_ch1_1074,normal,knn16,fp32,0.9291895887791086,0,
1400011032_ToyCar_case4_normal_IND_ch1_1032,normal,knn16,fp32,0.9639463247958173,0,
1400011240_ToyCar_case4_normal_IND_ch1_1240,normal,knn16,fp32,0.9476743922948573,0,
1400011180_ToyCar_case4_normal_IND_ch1_1180,normal,knn16,fp32,0.9547118372955332,0,
1400011286_ToyCar_case4_normal_IND_ch1_1286,normal,knn16,fp32,1.0506553275349468,0,
1400010896_ToyCar_case4_normal_IND_ch1_0896,normal,knn16,fp32,0.9057048304871381,0,
1400011092_ToyCar_case4_normal_IND_ch1_1092,normal,knn16,fp32,0.9284893338953403,0,
1400011151_ToyCar_case4_normal_IND_ch1_1151,normal,knn16,fp32,0.9370369497017952,0,
1400011034_ToyCar_case4_normal_IND_ch1_1034,normal,knn16,fp32,1.0119404099890434,0,
1400010025_ToyCar_case4_normal_IND_ch1_0025,normal,knn16,fp32,1.0142156107730071,0,
1400010408_ToyCar_case4_normal_IND_ch1_0408,normal,knn16,fp32,0.9264407409620862,0,
