clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,fp32,1.279874013110108,0,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,fp32,0.9999865539604276,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,fp32,1.078618998940304,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,fp32,1.1535025284876128,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,fp32,0.7219290707255481,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,fp32,1.2243492835447394,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,fp32,1.0324237037562738,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,fp32,1.0540568571886781,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,fp32,1.0444871982622346,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,fp32,1.1521039085345866,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,fp32,1.0289829514631965,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,fp32,1.184062405990725,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,fp32,1.0695059653743473,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,fp32,1.1467054876846614,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,fp32,1.202628827449434,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,fp32,1.1782177443672857,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,fp32,0.8582628664281051,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,fp32,1.0595132224709647,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,fp32,1.194126972736252,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,fp32,0.93723474359862,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,fp32,1.2006879357130036,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,fp32,1.0841327400635141,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,fp32,1.1536251100765966,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,fp32,0.8659616138692766,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,fp32,1.0323694416694313,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,fp32,1.1512632129016063,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,fp32,0.8854452616066468,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,fp32,1.1995246376799515,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,fp32,1.2888173000603358,1,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,fp32,1.0502062724687242,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,fp32,1.1722238242333014,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,fp32,1.1022789326282092,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,fp32,1.042073039491305,0,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,fp32,1.2522281221288698,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,fp32,1.0176818887082215,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,knn16,fp32,1.172861133622226,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,knn16,fp32,0.9261522530571947,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,knn16,fp32,1.0694205358191093,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,knn16,fp32,1.236935585584926,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,knn16,fp32,1.1456990740028046,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,knn16,fp32,1.215802991431425,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,knn16,fp32,1.0431749894769815,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,knn16,fp32,1.1100744043345188,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,knn16,fp32,1.0476095401140177,0,
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,knn16,fp32,0.8848632905499344,0,
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,knn16,fp32,1.0906779239798154,0,
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,knn16,fp32,1.003953388623075,0,
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,knn16,fp32,1.1756941877221243,0,
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,knn16,fp32,0.9945837195641647,0,
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,knn16,fp32,1.132957215952983,0,
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,knn16,fp32,1.2283069517030805,0,
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,knn16,fp32,1.1124966200597333,0,
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,knn16,fp32,1.04844555183904,0,
1400011171_ToyCar_case4_normal_IND_ch1_1171,normal,knn16,fp32,1.2483502188064022,0,
1400010843_ToyCar_case4_normal_IND_ch1_0843,normal,knn16,fp32,1.0974301865084812,0,
1400011212_ToyCar_case4_normal_IND_ch1_1212,normal,knn16,fp32,1.2440513012010432,0,
