clip_name,true_label,head,head_precision,score,decision,sumsq
1400010748_ToyCar_case4_normal_IND_ch1_0748,normal,knn16,fp32,1.230687444056786,1,
1400010336_ToyCar_case4_normal_IND_ch1_0336,normal,knn16,fp32,0.9854205005920822,0,
1400010489_ToyCar_case4_normal_IND_ch1_0489,normal,knn16,fp32,1.04731394348541,0,
1400011176_ToyCar_case4_normal_IND_ch1_1176,normal,knn16,fp32,1.1100708474050065,0,
1400010007_ToyCar_case4_normal_IND_ch1_0007,normal,knn16,fp32,0.7423838665220499,0,
1400011271_ToyCar_case4_normal_IND_ch1_1271,normal,knn16,fp32,1.1734171210165463,0,
1400010904_ToyCar_case4_normal_IND_ch1_0904,normal,knn16,fp32,1.0080718247330949,0,
1400010240_ToyCar_case4_normal_IND_ch1_0240,normal,knn16,fp32,1.0239401141155187,0,
1400010386_ToyCar_case4_normal_IND_ch1_0386,normal,knn16,fp32,1.0211132315769051,0,
1400010734_ToyCar_case4_normal_IND_ch1_0734,normal,knn16,fp32,1.111379170700389,0,
1400010455_ToyCar_case4_normal_IND_ch1_0455,normal,knn16,fp32,1.008524303324405,0,
1400010745_ToyCar_case4_normal_IND_ch1_0745,normal,knn16,fp32,1.142205898301271,0,
1400010891_ToyCar_case4_normal_IND_ch1_0891,normal,knn16,fp32,1.047045930329077,0,
1400010447_ToyCar_case4_normal_IND_ch1_0447,normal,knn16,fp32,1.1205802275463022,0,
1400010595_ToyCar_case4_normal_IND_ch1_0595,normal,knn16,fp32,1.1644731728020261,0,
1400010540_ToyCar_case4_normal_IND_ch1_0540,normal,knn16,fp32,1.1438883219586853,0,
1400010088_ToyCar_case4_normal_IND_ch1_0088,normal,knn16,fp32,0.8737029697316796,0,
1400010285_ToyCar_case4_normal_IND_ch1_0285,normal,knn16,fp32,1.0326549621468177,0,
1400011085_ToyCar_case4_normal_IND_ch1_1085,normal,knn16,fp32,1.151355771907858,0,
1400010060_ToyCar_case4_normal_IND_ch1_0060,normal,knn16,fp32,0.9520181992562101,0,
1400011162_ToyCar_case4_normal_IND_ch1_1162,normal,knn16,fp32,1.1537308023825676,0,
1400010337_ToyCar_case4_normal_IND_ch1_0337,normal,knn16,fp32,1.0534829867286566,0,
1400011298_ToyCar_case4_normal_IND_ch1_1298,normal,knn16,fp32,1.1079244052788002,0,
1400010021_ToyCar_case4_normal_IND_ch1_0021,normal,knn16,fp32,0.8833143672865672,0,
1400010918_ToyCar_case4_normal_IND_ch1_0918,normal,knn16,fp32,1.005862264494329,0,
1400010619_ToyCar_case4_normal_IND_ch1_0619,normal,knn16,fp32,1.1185597276803327,0,
1400010146_ToyCar_case4_normal_IND_ch1_0146,normal,knn16,fp32,0.9010558721845736,0,
1400011068_ToyCar_case4_normal_IND_ch1_1068,normal,knn16,fp32,1.1573213940013665,0,
1400011257_ToyCar_case4_normal_IND_ch1_1257,normal,knn16,fp32,1.2410704248062168,1,
1400011036_ToyCar_case4_normal_IND_ch1_1036,normal,knn16,fp32,1.0144149425610263,0,
1400010618_ToyCar_case4_normal_IND_ch1_0618,normal,knn16,fp32,1.1370862613466186,0,
1400011120_ToyCar_case4_normal_IND_ch1_1120,normal,knn16,fp32,1.0618469997678388,0,
1400010120_ToyCar_case4_normal_IND_ch1_0120,normal,knn16,fp32,1.0574131709245829,0,
1400011152_ToyCar_case4_normal_IND_ch1_1152,normal,knn16,fp32,1.2090894031167234,0,
1400010244_ToyCar_case4_normal_IND_ch1_0244,normal,knn16,fp32,0.998393598936813,0,
1400011044_ToyCar_case4_normal_IND_ch1_1044,normal,knn16,fp32,1.136918629273596,0,
1400010062_ToyCar_case4_normal_IND_ch1_0062,normal,knn16,fp32,0.9411927388511014,0,
1400010814_ToyCar_case4_normal_IND_ch1_0814,normal,knn16,fp32,1.0470361777990704,0,
1400011208_ToyCar_case4_normal_IND_ch1_1208,normal,knn16,fp32,1.1845236514780122,0,
1400011062_ToyCar_case4_normal_IND_ch1_1062,normal,knn16,fp32,1.106754486990681,0,
1400011268_ToyCar_case4_normal_IND_ch1_1268,normal,knn16,fp32,1.1669044548797673,0,
1400010281_ToyCar_case4_normal_IND_ch1_0281,normal,knn16,fp32,1.019281478866283,0,
1400010346_ToyCar_case4_normal_IND_ch1_0346,normal,knn16,fp32,1.0802102355897587,0,
1400010242_ToyCar_case4_normal_IND_ch1_0242,normal,knn16,fp32,1.0267325833451153,0,
1400010091_ToyCar_case4_normal_IND_ch1_0091,normal,knn16,fp32,0.908708792255945,0,
1400010832_ToyCar_case4_normal_IND_ch1_0832,normal,knn16,fp32,1.0633742606552756,0,
1400010363_ToyCar_case4_normal_IND_ch1_0363,normal,knn16,fp32,0.9881890098121278,0,
1400011278_ToyCar_case4_normal_IND_ch1_1278,normal,knn16,fp32,1.1275715164833364,0,
1400010300_ToyCar_case4_normal_IND_ch1_0300,normal,knn16,fp32,0.9800210546573045,0,
1400010525_ToyCar_case4_normal_IND_ch1_0525,normal,knn16,fp32,1.1016333904322977,0,
1400011164_ToyCar_case4_normal_IND_ch1_1164,normal,knn16,fp32,1.1824389146159273,0,
1400010935_ToyCar_case4_normal_IND_ch1_0935,normal,knn16,fp32,1.0841082931748114,0,
1400010234_ToyCar_case4_normal_IND_ch1_0234,normal,knn16,fp32,1.0291778009171033,0,
1400011171_ToyCar_case4_normal_IND_ch1_1171,normal,knn16,fp32,1.2015610895640303,0,
1400010843_ToyCar_case4_normal_IND_ch1_0843,normal,knn16,fp32,1.0704274231281927,0,
1400011212_ToyCar_case4_normal_IND_ch1_1212,normal,knn16,fp32,1.2017892941636579,0,
1400010303_ToyCar_case4_normal_IND_ch1_0303,normal,knn16,fp32,1.010628539305478,0,
1400010804_ToyCar_case4_normal_IND_ch1_0804,normal,knn16,fp32,1.002912834557892,0,
1400011142_ToyCar_case4_normal_IND_ch1_1142,normal,knn16,fp32,1.2529705904692747,1,
1400010505_ToyCar_case4_normal_IND_ch1_0505,normal,knn16,fp32,1.1306870034459335,0,
1400011347_ToyCar_case4_normal_IND_ch1_1347,normal,knn16,fp32,1.1856582410878342,0,
1400010667_ToyCar_case4_normal_IND_ch1_0667,normal,knn16,fp32,1.1523353457813388,0,
1400010105_ToyCar_case4_normal_IND_ch1_0105,normal,knn16,fp32,0.985813087327485,0,
1400010141_ToyCar_case4_normal_IND_ch1_0141,normal,knn16,fp32,1.004914963051845,0,
1400010100_ToyCar_case4_normal_IND_ch1_0100,normal,knn16,fp32,0.920883550433677,0,
1400010976_ToyCar_case4_normal_IND_ch1_0976,normal,knn16,fp32,0.9959703512237233,0,
1400010945_ToyCar_case4_normal_IND_ch1_0945,normal,knn16,fp32,1.0196573298714795,0,
1400010676_ToyCar_case4_normal_IND_ch1_0676,normal,knn16,fp32,1.1963774696361387,0,
