"board","case","model","setup","region","used_bytes","region_bytes","percent_used"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","FLASH","189908","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","FLASH","189828","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","FLASH","193796","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","FLASH","190812","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","DTCM","4616","65536","7.04"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","FLASH","189868","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","DTCM","4616","65536","7.04"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","FLASH","189780","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","DTCM","4616","65536","7.04"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","FLASH","193748","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","DTCM","4616","65536","7.04"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","FLASH","190764","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","FLASH","185092","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","FLASH","188980","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","FLASH","179772","134217728","0.13"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","RAM","17884","465920","3.84"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","FLASH","183660","134217728","0.14"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_euclidean_fp32","RAM","17884","465920","3.84"
