"board","case","model","setup","status","build_seconds","text_bytes","data_bytes","bss_bytes","flash_bytes","ram_bytes","map_file","note"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","OK","24.8","189440","5592","18944","195032","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","OK","24.4","189360","5592","18944","194952","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","OK","24.1","193328","5592","18944","198920","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","OK","24.7","190344","5592","18944","195936","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","OK","24.9","189400","3544","18944","192944","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","OK","26.5","189312","3544","18944","192856","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","OK","26.2","193280","3544","18944","196824","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","OK","26.3","190296","3544","18944","193840","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","OK","27.1","184620","11992","18944","196612","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","OK","26.1","188508","11992","18944","200500","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","OK","27.1","179300","11992","18944","191292","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","OK","28.7","183188","11992","18944","195180","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_euclidean_fp32","OK","27.5","178868","11992","18944","190860","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_knn16_fp32","OK","26.9","182756","11992","18944","194748","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_perchannel_euclidean_fp32","OK","26.9","191892","11992","18944","203884","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_perchannel_knn16_fp32","OK","26.6","195780","11992","18944","207772","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_pertensor_euclidean_fp32","OK","26.4","187140","11992","18944","199132","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_pertensor_knn16_fp32","OK","26.9","191028","11992","18944","203020","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_euclidean_fp32","OK","25.7","161792","5208","18944","167000","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_euclidean_int8","OK","25.8","161712","5208","18944","166920","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_knn16_fp32","OK","27","165680","5208","18944","170888","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_knn16_int8","OK","25.6","162696","5208","18944","167904","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_euclidean_fp32","OK","26.2","161744","3160","18944","164904","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_euclidean_int8","OK","27.5","161664","3160","18944","164824","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_fp32","OK","25.9","165632","3160","18944","168792","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_knn16_int8","OK","26.6","162648","3160","18944","165808","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_euclidean_fp32","OK","29.3","155724","10456","18944","166180","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_perchannel_knn16_fp32","OK","27.8","159612","10456","18944","170068","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_euclidean_fp32","OK","26.1","152868","10456","18944","163324","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_actboundaries_knn16_fp32","OK","27.5","156748","10456","18944","167204","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_euclidean_fp32","OK","30","152412","10456","18944","162868","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_all_pertensor_knn16_fp32","OK","27.1","156292","10456","18944","166748","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_perchannel_euclidean_fp32","OK","26.2","162364","10456","18944","172820","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_perchannel_knn16_fp32","OK","26.2","166244","10456","18944","176700","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_pertensor_euclidean_fp32","OK","26.7","159524","10456","18944","169980","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","16662b29beb3","w_proj_pertensor_knn16_fp32","OK","26.1","163412","10456","18944","173868","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_euclidean_fp32","OK","26.5","155352","5208","18944","160560","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_euclidean_int8","OK","26.1","155272","5208","18944","160480","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_knn16_fp32","OK","26","159240","5208","18944","164448","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qab_knn16_int8","OK","26.4","156256","5208","18944","161464","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_euclidean_fp32","OK","26.9","150872","5208","18944","156080","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_euclidean_int8","OK","26.1","150784","5208","18944","155992","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_knn16_fp32","OK","26.1","154752","5208","18944","159960","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h16_qabar_knn16_int8","OK","25.8","151768","5208","18944","156976","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_euclidean_fp32","OK","26.4","155304","3160","18944","158464","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_euclidean_int8","OK","26.1","155224","3160","18944","158384","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_knn16_fp32","OK","25.8","159192","3160","18944","162352","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qab_knn16_int8","OK","26","156208","3160","18944","159368","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_euclidean_fp32","OK","26","150824","3160","18944","153984","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_euclidean_int8","OK","27.7","150736","3160","18944","153896","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_knn16_fp32","OK","29.7","154704","3160","18944","157864","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","true_int8_h8_qabar_knn16_int8","OK","30.3","151720","3160","18944","154880","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qab_euclidean_fp32","OK","29.3","149684","10456","18944","160140","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qab_knn16_fp32","OK","25.7","153564","10456","18944","164020","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","238a49a973a3","w_all_perchannel_qabar_euclidean_fp32","OK","25.3","151452","10456","18944","161908","29400","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
