held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,3.277998208999634,0.9403973509933775,0.5378787878787878,0.7518939393939394,0.6843373493975904
1,mean,euclidean,perentile_same_machie_99.0,4.14173698425293,0.948051948051948,0.2765151515151515,0.6306818181818182,0.4281524926686217
1,mean,euclidean,perentile_same_machie_99.5,6.110219955444336,0.8947368421052632,0.06439393939393939,0.5284090909090909,0.12014134275618374
1,mean,euclidean,evt_p95_equiv,3.294072628505414,0.9466666666666667,0.5378787878787878,0.7537878787878788,0.6859903381642513
1,mean,euclidean,parametric_p95_equiv,3.3929461411802553,0.9424460431654677,0.4962121212121212,0.7329545454545454,0.6501240694789082
1,mean,euclidean,kde_p95_equiv,3.3146060819748686,0.9459459459459459,0.5303030303030303,0.75,0.6796116504854369
1,mean,euclidean,evt_p99_equiv,4.27150011016535,0.9473684210526315,0.2727272727272727,0.6287878787878788,0.4235294117647059
1,mean,euclidean,parametric_p99_equiv,3.6638975223075074,0.9454545454545454,0.3939393939393939,0.6856060606060606,0.5561497326203209
1,mean,euclidean,kde_p99_equiv,5.799166917230409,0.8095238095238095,0.06439393939393939,0.5246212121212122,0.11929824561403508
1,mean,euclidean,evt_p999_equiv,10.141350910302933,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,3.993406693498675,0.95,0.2878787878787879,0.6363636363636364,0.4418604651162791
1,mean,euclidean,kde_p999_equiv,6.243284216021206,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,3.46043062210083,0.9457364341085271,0.4621212121212121,0.7178030303030303,0.6208651399491094
1,mean,euclidean,iqr,3.718953251838684,0.9428571428571428,0.375,0.6761363636363636,0.5365853658536586
1,mean,mahalanobis,perentile_same_machie_95.0,57.02763523184368,0.9378238341968912,0.6856060606060606,0.8200757575757576,0.7921225382932167
1,mean,mahalanobis,perentile_same_machie_99.0,61.601815139663096,0.9879518072289156,0.6212121212121212,0.8068181818181818,0.7627906976744186
1,mean,mahalanobis,perentile_same_machie_99.5,63.61528453018278,0.9937106918238994,0.5984848484848485,0.7973484848484849,0.7470449172576832
1,mean,mahalanobis,evt_p95_equiv,56.96406657408202,0.9378238341968912,0.6856060606060606,0.8200757575757576,0.7921225382932167
1,mean,mahalanobis,parametric_p95_equiv,57.403946270686276,0.9473684210526315,0.6818181818181818,0.821969696969697,0.7929515418502202
1,mean,mahalanobis,kde_p95_equiv,57.31204985115556,0.9476439790575916,0.6856060606060606,0.8238636363636364,0.7956043956043956
1,mean,mahalanobis,evt_p99_equiv,61.08082745503209,0.9764705882352941,0.6287878787878788,0.8068181818181818,0.7649769585253456
1,mean,mahalanobis,parametric_p99_equiv,59.9053052979495,0.9771428571428571,0.6477272727272727,0.8162878787878788,0.7790432801822323
1,mean,mahalanobis,kde_p99_equiv,61.85505140021378,0.9878787878787879,0.6174242424242424,0.8049242424242424,0.7599067599067599
1,mean,mahalanobis,evt_p999_equiv,67.94857562301776,1.0,0.5492424242424242,0.7746212121212122,0.7090464547677262
1,mean,mahalanobis,parametric_p999_equiv,62.36375792797418,0.9878048780487805,0.6136363636363636,0.803030303030303,0.7570093457943925
1,mean,mahalanobis,kde_p999_equiv,66.85910164809147,1.0,0.5568181818181818,0.7784090909090909,0.7153284671532847
1,mean,mahalanobis,mad,68.37603343069588,1.0,0.5492424242424242,0.7746212121212122,0.7090464547677262
1,mean,mahalanobis,iqr,74.65447785576131,1.0,0.5113636363636364,0.7556818181818182,0.6766917293233082
1,mean,knn_full,perentile_same_machie_95.0,2.451509954379002,0.9034090909090909,0.6022727272727273,0.7689393939393939,0.7227272727272728
1,mean,knn_full,perentile_same_machie_99.0,2.7925604366150445,0.971830985915493,0.5227272727272727,0.7537878787878788,0.6798029556650246
1,mean,knn_full,perentile_same_machie_99.5,3.1863887766481453,0.9888888888888889,0.3371212121212121,0.6666666666666666,0.5028248587570622
1,mean,knn_full,evt_p95_equiv,2.4537365839029492,0.9034090909090909,0.6022727272727273,0.7689393939393939,0.7227272727272728
1,mean,knn_full,parametric_p95_equiv,2.4781667976789516,0.9080459770114943,0.5984848484848485,0.7689393939393939,0.7214611872146118
1,mean,knn_full,kde_p95_equiv,2.4617733906573367,0.9034090909090909,0.6022727272727273,0.7689393939393939,0.7227272727272728
1,mean,knn_full,evt_p99_equiv,2.7964260433600256,0.9716312056737588,0.5189393939393939,0.7518939393939394,0.6765432098765433
1,mean,knn_full,parametric_p99_equiv,2.621119689759113,0.9612903225806452,0.5643939393939394,0.7708333333333334,0.711217183770883
1,mean,knn_full,kde_p99_equiv,3.0424581662183767,0.963963963963964,0.4053030303030303,0.6950757575757576,0.5706666666666667
1,mean,knn_full,evt_p999_equiv,3.8926831106785778,1.0,0.18181818181818182,0.5909090909090909,0.3076923076923077
1,mean,knn_full,parametric_p999_equiv,2.791179471766364,0.971830985915493,0.5227272727272727,0.7537878787878788,0.6798029556650246
1,mean,knn_full,kde_p999_equiv,3.247640452003641,1.0,0.2689393939393939,0.634469696969697,0.42388059701492536
1,mean,knn_full,mad,2.6798056622238984,0.9733333333333334,0.553030303030303,0.7689393939393939,0.7053140096618358
1,mean,knn_full,iqr,2.8768653575178718,0.967741935483871,0.45454545454545453,0.7196969696969697,0.6185567010309279
1,mean,knn_clustered_16,perentile_same_machie_95.0,2.6130802187037734,0.896774193548387,0.5265151515151515,0.7329545454545454,0.6634844868735084
1,mean,knn_clustered_16,perentile_same_machie_99.0,2.777832421692964,0.9924812030075187,0.5,0.7481060606060606,0.6649874055415617
1,mean,knn_clustered_16,perentile_same_machie_99.5,2.829521095277363,1.0,0.48484848484848486,0.7424242424242424,0.6530612244897959
1,mean,knn_clustered_16,evt_p95_equiv,2.624566057477285,0.9025974025974026,0.5265151515151515,0.7348484848484849,0.6650717703349283
1,mean,knn_clustered_16,parametric_p95_equiv,2.6531350911311087,0.9084967320261438,0.5265151515151515,0.7367424242424242,0.6666666666666666
1,mean,knn_clustered_16,kde_p95_equiv,2.6440129495069646,0.9084967320261438,0.5265151515151515,0.7367424242424242,0.6666666666666666
1,mean,knn_clustered_16,evt_p99_equiv,2.7653447549558785,0.9850746268656716,0.5,0.7462121212121212,0.6633165829145728
1,mean,knn_clustered_16,parametric_p99_equiv,2.7552171933329017,0.9850746268656716,0.5,0.7462121212121212,0.6633165829145728
1,mean,knn_clustered_16,kde_p99_equiv,2.8025811202897897,1.0,0.48863636363636365,0.7443181818181818,0.6564885496183206
1,mean,knn_clustered_16,evt_p999_equiv,2.9246284268374105,1.0,0.4659090909090909,0.7329545454545454,0.6356589147286822
1,mean,knn_clustered_16,parametric_p999_equiv,2.855072191679932,1.0,0.4810606060606061,0.740530303030303,0.649616368286445
1,mean,knn_clustered_16,kde_p999_equiv,2.9477340981465967,1.0,0.4583333333333333,0.7291666666666666,0.6285714285714286
1,mean,knn_clustered_16,mad,2.8644523309626577,1.0,0.4810606060606061,0.740530303030303,0.649616368286445
1,mean,knn_clustered_16,iqr,3.060762155413535,1.0,0.38636363636363635,0.6931818181818182,0.5573770491803278
1,max,euclidean,perentile_same_machie_95.0,3.910010814666748,0.897196261682243,0.36363636363636365,0.6609848484848485,0.5175202156334232
1,max,euclidean,perentile_same_machie_99.0,4.641655445098877,0.9428571428571428,0.25,0.6174242424242424,0.39520958083832336
1,max,euclidean,perentile_same_machie_99.5,6.753823757171631,0.8125,0.04924242424242424,0.5189393939393939,0.09285714285714286
1,max,euclidean,evt_p95_equiv,3.893324995561091,0.8909090909090909,0.3712121212121212,0.6628787878787878,0.5240641711229946
1,max,euclidean,parametric_p95_equiv,4.044165370072886,0.9130434782608695,0.3181818181818182,0.6439393939393939,0.47191011235955055
1,max,euclidean,kde_p95_equiv,3.9373429211841304,0.9047619047619048,0.35984848484848486,0.6609848484848485,0.5149051490514905
1,max,euclidean,evt_p99_equiv,4.881861098848805,0.9285714285714286,0.19696969696969696,0.5909090909090909,0.325
1,max,euclidean,parametric_p99_equiv,4.447862107319968,0.9333333333333333,0.26515151515151514,0.6231060606060606,0.41297935103244837
1,max,euclidean,kde_p99_equiv,5.945550010914668,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,max,euclidean,evt_p999_equiv,10.55660202412724,0.0,0.0,0.5,0.0
1,max,euclidean,parametric_p999_equiv,4.948453037441489,0.92,0.17424242424242425,0.5795454545454546,0.2929936305732484
1,max,euclidean,kde_p999_equiv,8.783646827712031,0.0,0.0,0.5,0.0
1,max,euclidean,mad,4.4035820960998535,0.9342105263157895,0.2689393939393939,0.625,0.4176470588235294
1,max,euclidean,iqr,4.8519123792648315,0.9285714285714286,0.19696969696969696,0.5909090909090909,0.325
1,max,mahalanobis,perentile_same_machie_95.0,15.740985147457547,0.8993288590604027,0.5075757575757576,0.7253787878787878,0.648910411622276
1,max,mahalanobis,perentile_same_machie_99.0,19.58106709280823,0.9444444444444444,0.25757575757575757,0.6212121212121212,0.40476190476190477
