held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,2.255388021469116,0.9,0.375,0.6666666666666666,0.5294117647058824
1,mean,euclidean,perentile_same_machie_99.0,4.143156051635742,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,perentile_same_machie_99.5,10.795153617858887,0.8571428571428571,0.045454545454545456,0.5189393939393939,0.08633093525179857
1,mean,euclidean,evt_p95_equiv,2.36416873003775,0.9058823529411765,0.2916666666666667,0.6306818181818182,0.44126074498567336
1,mean,euclidean,parametric_p95_equiv,2.1590426636805167,0.852112676056338,0.4583333333333333,0.6893939393939394,0.5960591133004927
1,mean,euclidean,kde_p95_equiv,2.399134429089461,0.8987341772151899,0.2689393939393939,0.6193181818181818,0.4139941690962099
1,mean,euclidean,evt_p99_equiv,4.4041118761679146,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,parametric_p99_equiv,2.6484133004488806,0.7142857142857143,0.07575757575757576,0.5227272727272727,0.136986301369863
1,mean,euclidean,kde_p99_equiv,10.03527780723301,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,evt_p999_equiv,16.63884886824,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,3.329942782025028,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,kde_p999_equiv,11.106358092173481,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,1.532773494720459,0.8754716981132076,0.8787878787878788,0.8768939393939394,0.8771266540642723
1,mean,euclidean,iqr,1.7262330651283264,0.8761061946902655,0.75,0.821969696969697,0.8081632653061225
1,mean,mahalanobis,perentile_same_machie_95.0,49.15894866369235,0.9432989690721649,0.6931818181818182,0.8257575757575758,0.7991266375545851
1,mean,mahalanobis,perentile_same_machie_99.0,54.63401091626481,0.9870967741935484,0.5795454545454546,0.7859848484848485,0.7303102625298329
1,mean,mahalanobis,perentile_same_machie_99.5,55.08613645821077,0.987012987012987,0.5757575757575758,0.7840909090909091,0.7272727272727273
1,mean,mahalanobis,evt_p95_equiv,49.60433166626486,0.9574468085106383,0.6818181818181818,0.8257575757575758,0.7964601769911505
1,mean,mahalanobis,parametric_p95_equiv,48.7002272547441,0.9390862944162437,0.7007575757575758,0.8276515151515151,0.8026030368763557
1,mean,mahalanobis,kde_p95_equiv,49.36392468196272,0.9430051813471503,0.6893939393939394,0.8238636363636364,0.7964989059080962
1,mean,mahalanobis,evt_p99_equiv,53.994579709582446,0.9871794871794872,0.5833333333333334,0.7878787878787878,0.7333333333333333
1,mean,mahalanobis,parametric_p99_equiv,51.745925765572686,0.9825581395348837,0.6401515151515151,0.8143939393939394,0.7752293577981652
1,mean,mahalanobis,kde_p99_equiv,54.603930187766366,0.9870967741935484,0.5795454545454546,0.7859848484848485,0.7303102625298329
1,mean,mahalanobis,evt_p999_equiv,57.30363292508274,1.0,0.5681818181818182,0.7840909090909091,0.7246376811594203
1,mean,mahalanobis,parametric_p999_equiv,55.22193707495175,0.987012987012987,0.5757575757575758,0.7840909090909091,0.7272727272727273
1,mean,mahalanobis,kde_p999_equiv,57.33109420794903,1.0,0.5681818181818182,0.7840909090909091,0.7246376811594203
1,mean,mahalanobis,mad,53.76732744806474,0.9872611464968153,0.5871212121212122,0.7897727272727273,0.7363420427553444
1,mean,mahalanobis,iqr,57.643264734119626,1.0,0.5681818181818182,0.7840909090909091,0.7246376811594203
1,mean,knn_full,perentile_same_machie_95.0,1.3144607302504614,0.9572649572649573,0.8484848484848485,0.9053030303030303,0.8995983935742972
1,mean,knn_full,perentile_same_machie_99.0,1.9422236354637095,0.9655172413793104,0.42424242424242425,0.7045454545454546,0.5894736842105263
1,mean,knn_full,perentile_same_machie_99.5,3.2088646607110514,0.8571428571428571,0.045454545454545456,0.5189393939393939,0.08633093525179857
1,mean,knn_full,evt_p95_equiv,1.3350214264891251,0.9559471365638766,0.821969696969697,0.8920454545454546,0.8839103869653768
1,mean,knn_full,parametric_p95_equiv,1.4065329567824192,0.9611650485436893,0.75,0.8598484848484849,0.8425531914893617
1,mean,knn_full,kde_p95_equiv,1.3431619951856342,0.9553571428571429,0.8106060606060606,0.8863636363636364,0.8770491803278688
1,mean,knn_full,evt_p99_equiv,1.9850424148710524,0.9642857142857143,0.4090909090909091,0.696969696969697,0.574468085106383
1,mean,knn_full,parametric_p99_equiv,1.5509147406317272,0.9578313253012049,0.6022727272727273,0.7878787878787878,0.7395348837209302
1,mean,knn_full,kde_p99_equiv,2.9836185634945207,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,knn_full,evt_p999_equiv,6.980331622983522,0.0,0.0,0.5,0.0
1,mean,knn_full,parametric_p999_equiv,1.7304399644720758,0.9694656488549618,0.4810606060606061,0.7329545454545454,0.6430379746835443
1,mean,knn_full,kde_p999_equiv,3.279455123732389,0.0,0.0,0.5,0.0
1,mean,knn_full,mad,1.3758309478758544,0.9624413145539906,0.7765151515151515,0.8731060606060606,0.859538784067086
1,mean,knn_full,iqr,1.4751178714067414,0.9611111111111111,0.6553030303030303,0.8143939393939394,0.7792792792792793
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.3874347832099478,0.9565217391304348,0.75,0.8579545454545454,0.8407643312101911
1,mean,knn_clustered_16,perentile_same_machie_99.0,1.7200652015445728,0.984375,0.4772727272727273,0.7348484848484849,0.6428571428571429
1,mean,knn_clustered_16,perentile_same_machie_99.5,1.7875516445422541,0.9826086956521739,0.42803030303030304,0.7102272727272727,0.5963060686015831
1,mean,knn_clustered_16,evt_p95_equiv,1.410303896960876,0.9746192893401016,0.7272727272727273,0.8541666666666666,0.8329718004338394
1,mean,knn_clustered_16,parametric_p95_equiv,1.4458858561831063,0.973404255319149,0.6931818181818182,0.8371212121212122,0.8097345132743363
1,mean,knn_clustered_16,kde_p95_equiv,1.3945445054741938,0.9609756097560975,0.7462121212121212,0.8579545454545454,0.8400852878464818
1,mean,knn_clustered_16,evt_p99_equiv,1.6733237708539745,0.9782608695652174,0.5113636363636364,0.75,0.6716417910447762
1,mean,knn_clustered_16,parametric_p99_equiv,1.546845770432676,0.9745222929936306,0.5795454545454546,0.7821969696969697,0.7268408551068883
1,mean,knn_clustered_16,kde_p99_equiv,1.7358755666833128,0.9838709677419355,0.4621212121212121,0.7272727272727273,0.6288659793814433
1,mean,knn_clustered_16,evt_p999_equiv,2.032894925274924,1.0,0.3522727272727273,0.6761363636363636,0.5210084033613446
1,mean,knn_clustered_16,parametric_p999_equiv,1.6484966315749074,0.9788732394366197,0.5265151515151515,0.7575757575757576,0.6847290640394089
1,mean,knn_clustered_16,kde_p999_equiv,1.8756748169325799,1.0,0.3977272727272727,0.6988636363636364,0.5691056910569106
1,mean,knn_clustered_16,mad,1.4458722199020904,0.973404255319149,0.6931818181818182,0.8371212121212122,0.8097345132743363
1,mean,knn_clustered_16,iqr,1.5540607039154866,0.9741935483870968,0.571969696969697,0.7784090909090909,0.720763723150358
1,max,euclidean,perentile_same_machie_95.0,3.044597625732422,0.864406779661017,0.38636363636363635,0.6628787878787878,0.5340314136125655
1,max,euclidean,perentile_same_machie_99.0,4.702184200286865,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,max,euclidean,perentile_same_machie_99.5,10.392558097839355,0.7272727272727273,0.030303030303030304,0.509469696969697,0.05818181818181818
1,max,euclidean,evt_p95_equiv,3.052921265934499,0.864406779661017,0.38636363636363635,0.6628787878787878,0.5340314136125655
1,max,euclidean,parametric_p95_equiv,3.3151958190171267,0.9090909090909091,0.30303030303030304,0.6363636363636364,0.45454545454545453
1,max,euclidean,kde_p95_equiv,3.1375330776401844,0.8857142857142857,0.3522727272727273,0.6534090909090909,0.5040650406504065
