held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,1.7390977144241333,0.9381443298969072,0.6893939393939394,0.821969696969697,0.7947598253275109
1,mean,euclidean,perentile_same_machie_99.0,3.5716209411621094,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,perentile_same_machie_99.5,11.308815956115723,0.8461538461538461,0.041666666666666664,0.5170454545454546,0.07942238267148015
1,mean,euclidean,evt_p95_equiv,1.7641792617343066,0.9417989417989417,0.6742424242424242,0.8162878787878788,0.7858719646799117
1,mean,euclidean,parametric_p95_equiv,1.8160822349478944,0.9513513513513514,0.6666666666666666,0.8162878787878788,0.7839643652561247
1,mean,euclidean,kde_p95_equiv,1.8485218952225566,0.9545454545454546,0.6363636363636364,0.803030303030303,0.7636363636363637
1,mean,euclidean,evt_p99_equiv,3.193634212488492,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,parametric_p99_equiv,2.224996715477937,0.968503937007874,0.4659090909090909,0.7253787878787878,0.629156010230179
1,mean,euclidean,kde_p99_equiv,10.5361264969711,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,evt_p999_equiv,21.22297846718203,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,2.7937372398657128,0.9111111111111111,0.1553030303030303,0.5700757575757576,0.26537216828478966
1,mean,euclidean,kde_p999_equiv,11.637495467453395,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,1.476501703262329,0.8804780876494024,0.8371212121212122,0.8617424242424242,0.858252427184466
1,mean,euclidean,iqr,1.635856419801712,0.908256880733945,0.75,0.8371212121212122,0.8215767634854771
1,mean,mahalanobis,perentile_same_machie_95.0,52.92743616829638,0.9567307692307693,0.7537878787878788,0.8598484848484849,0.8432203389830508
1,mean,mahalanobis,perentile_same_machie_99.0,64.16706738893322,0.993421052631579,0.571969696969697,0.7840909090909091,0.7259615384615384
1,mean,mahalanobis,perentile_same_machie_99.5,65.7067849153725,0.9930555555555556,0.5416666666666666,0.7689393939393939,0.7009803921568627
1,mean,mahalanobis,evt_p95_equiv,53.894279969182605,0.9646464646464646,0.7234848484848485,0.8484848484848485,0.8268398268398268
1,mean,mahalanobis,parametric_p95_equiv,51.94759403614936,0.9357798165137615,0.7727272727272727,0.8598484848484849,0.8464730290456431
1,mean,mahalanobis,kde_p95_equiv,53.199532533812125,0.9567307692307693,0.7537878787878788,0.8598484848484849,0.8432203389830508
1,mean,mahalanobis,evt_p99_equiv,61.98515434264013,0.9814814814814815,0.6022727272727273,0.7954545454545454,0.7464788732394366
