held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,percentile,1.0823670625686646,0.5,1.0,0.5,0.6666666666666666
1,mean,euclidean,calibrated,1.1409252882003784,0.5338809034907598,0.9848484848484849,0.5625,0.6924101198402131
1,mean,mahalanobis,percentile,9.91872179567247,0.5,1.0,0.5,0.6666666666666666
1,mean,mahalanobis,chi_square,9.654887863680159,0.5,1.0,0.5,0.6666666666666666
1,mean,mahalanobis,calibrated,18.131850091107175,0.5,1.0,0.5,0.6666666666666666
1,mean,knn_full,percentile,0.19681552089638335,0.5,1.0,0.5,0.6666666666666666
1,mean,knn_full,calibrated,0.3371774080457877,0.5,1.0,0.5,0.6666666666666666
1,mean,knn_clustered_16,percentile,0.22389182121292972,0.49317738791423,0.9583333333333334,0.48674242424242425,0.6512226512226512
1,mean,knn_clustered_16,calibrated,0.4245485285342072,0.49317738791423,0.9583333333333334,0.48674242424242425,0.6512226512226512
1,max,euclidean,percentile,1.7918989658355713,0.5591397849462365,0.9848484848484849,0.6041666666666666,0.7133058984910837
1,max,euclidean,calibrated,1.6234666109085083,0.5057692307692307,0.9962121212121212,0.5113636363636364,0.6709183673469388
1,max,mahalanobis,percentile,9.8105157776764,0.5,1.0,0.5,0.6666666666666666
1,max,mahalanobis,chi_square,9.654887863680159,0.5,1.0,0.5,0.6666666666666666
1,max,mahalanobis,calibrated,10.769035881381694,0.5028571428571429,1.0,0.5056818181818182,0.6692015209125475
1,max,knn_full,percentile,1.4535049608145132,0.5009487666034156,1.0,0.5018939393939394,0.6675094816687737
1,max,knn_full,calibrated,1.5745486938119155,0.5106382978723404,1.0,0.5208333333333334,0.676056338028169
1,max,knn_clustered_16,percentile,1.366792806675072,0.4941860465116279,0.9659090909090909,0.48863636363636365,0.6538461538461539
1,max,knn_clustered_16,calibrated,1.4842695135273989,0.49514563106796117,0.9659090909090909,0.49053030303030304,0.6546854942233633
1,concat_mean_last,euclidean,percentile,1.5276119709014893,0.7349397590361446,0.9242424242424242,0.7954545454545454,0.8187919463087249
1,concat_mean_last,euclidean,calibrated,1.4476733207702637,0.684931506849315,0.946969696969697,0.7556818181818182,0.794912559618442
1,concat_mean_last,mahalanobis,percentile,15.017602871246998,0.5,1.0,0.5,0.6666666666666666
1,concat_mean_last,mahalanobis,chi_square,12.96661879854054,0.5,1.0,0.5,0.6666666666666666
1,concat_mean_last,mahalanobis,calibrated,32.706277604702045,0.49903660886319845,0.9810606060606061,0.4981060606060606,0.6615581098339719
1,concat_mean_last,knn_full,percentile,0.26865827490901273,0.5,1.0,0.5,0.6666666666666666
1,concat_mean_last,knn_full,calibrated,0.6650558319794451,0.5,1.0,0.5,0.6666666666666666
1,concat_mean_last,knn_clustered_16,percentile,0.3742802602713922,0.49317738791423,0.9583333333333334,0.48674242424242425,0.6512226512226512
1,concat_mean_last,knn_clustered_16,calibrated,0.7389247516643623,0.48919449901768175,0.9431818181818182,0.4791666666666667,0.6442432082794308
