held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,1.9870527982711792,0.9209039548022598,0.6174242424242424,0.7821969696969697,0.7392290249433107
1,mean,euclidean,perentile_same_machie_99.0,3.6463370323181152,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,perentile_same_machie_99.5,9.70863151550293,0.8333333333333334,0.03787878787878788,0.5151515151515151,0.07246376811594203
1,mean,euclidean,evt_p95_equiv,2.0456139961231825,0.9447852760736196,0.5833333333333334,0.7746212121212122,0.7213114754098361
1,mean,euclidean,parametric_p95_equiv,2.048745719904744,0.9440993788819876,0.5757575757575758,0.7708333333333334,0.7152941176470589
1,mean,euclidean,kde_p95_equiv,2.0771360316079486,0.9490445859872612,0.5643939393939394,0.7670454545454546,0.7078384798099763
1,mean,euclidean,evt_p99_equiv,3.747129506296748,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,parametric_p99_equiv,2.4331589361089945,0.8695652173913043,0.15151515151515152,0.5643939393939394,0.25806451612903225
1,mean,euclidean,kde_p99_equiv,9.005919727767907,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,evt_p999_equiv,14.197636192669787,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,2.950405651653808,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,kde_p999_equiv,10.045135356894688,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,1.6687902212142944,0.8937007874015748,0.8598484848484849,0.8787878787878788,0.8764478764478765
1,mean,euclidean,iqr,1.8047265410423279,0.8849557522123894,0.7575757575757576,0.8295454545454546,0.8163265306122449
1,mean,mahalanobis,perentile_same_machie_95.0,53.458159074632206,0.9458128078817734,0.7272727272727273,0.8428030303030303,0.8222698072805139
1,mean,mahalanobis,perentile_same_machie_99.0,61.10730163102688,0.9872611464968153,0.5871212121212122,0.7897727272727273,0.7363420427553444
1,mean,mahalanobis,perentile_same_machie_99.5,62.4151723054871,0.9934640522875817,0.5757575757575758,0.7859848484848485,0.7290167865707434
1,mean,mahalanobis,evt_p95_equiv,53.81621525185795,0.949238578680203,0.7083333333333334,0.8352272727272727,0.8112798264642083
1,mean,mahalanobis,parametric_p95_equiv,54.25512271132957,0.9587628865979382,0.7045454545454546,0.8371212121212122,0.8122270742358079
1,mean,mahalanobis,kde_p95_equiv,53.74020445614141,0.9494949494949495,0.7121212121212122,0.8371212121212122,0.8138528138528138
1,mean,mahalanobis,evt_p99_equiv,59.760030517582514,0.9876543209876543,0.6060606060606061,0.7992424242424242,0.7511737089201878
1,mean,mahalanobis,parametric_p99_equiv,57.74895260257774,0.9766081871345029,0.6325757575757576,0.8087121212121212,0.767816091954023
1,mean,mahalanobis,kde_p99_equiv,61.064879571402415,0.9872611464968153,0.5871212121212122,0.7897727272727273,0.7363420427553444
1,mean,mahalanobis,evt_p999_equiv,67.4703510545974,0.9925925925925926,0.5075757575757576,0.7518939393939394,0.6716791979949874
1,mean,mahalanobis,parametric_p999_equiv,61.73808180294197,0.9871794871794872,0.5833333333333334,0.7878787878787878,0.7333333333333333
1,mean,mahalanobis,kde_p999_equiv,65.0528237649017,0.9931506849315068,0.5492424242424242,0.7727272727272727,0.7073170731707317
1,mean,mahalanobis,mad,62.535420736776544,0.9934640522875817,0.5757575757575758,0.7859848484848485,0.7290167865707434
1,mean,mahalanobis,iqr,68.60002980385383,1.0,0.5,0.75,0.6666666666666666
1,mean,knn_full,perentile_same_machie_95.0,1.4467249251314525,0.9288888888888889,0.7916666666666666,0.865530303030303,0.8548057259713702
1,mean,knn_full,perentile_same_machie_99.0,1.9023620768953171,0.968503937007874,0.4659090909090909,0.7253787878787878,0.629156010230179
1,mean,knn_full,perentile_same_machie_99.5,3.5677498408286077,0.8571428571428571,0.045454545454545456,0.5189393939393939,0.08633093525179857
1,mean,knn_full,evt_p95_equiv,1.4485369516665552,0.9330357142857143,0.7916666666666666,0.8674242424242424,0.8565573770491803
1,mean,knn_full,parametric_p95_equiv,1.5907371816452667,0.9783783783783784,0.6856060606060606,0.8352272727272727,0.8062360801781737
1,mean,knn_full,kde_p95_equiv,1.4798775363416339,0.9528301886792453,0.7651515151515151,0.8636363636363636,0.8487394957983193
1,mean,knn_full,evt_p99_equiv,1.8386902669431664,0.968503937007874,0.4659090909090909,0.7253787878787878,0.629156010230179
1,mean,knn_full,parametric_p99_equiv,1.7309357305290796,0.9712230215827338,0.5113636363636364,0.7481060606060606,0.6699751861042184
