held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,2.647489070892334,0.9459459459459459,0.6628787878787878,0.8125,0.779510022271715
1,mean,euclidean,perentile_same_machie_99.0,3.7697339057922363,0.9428571428571428,0.25,0.6174242424242424,0.39520958083832336
1,mean,euclidean,perentile_same_machie_99.5,8.790292739868164,0.6666666666666666,0.015151515151515152,0.5037878787878788,0.02962962962962963
1,mean,euclidean,evt_p95_equiv,2.652327499574177,0.9456521739130435,0.6590909090909091,0.8106060606060606,0.7767857142857143
1,mean,euclidean,parametric_p95_equiv,2.9606982699638773,0.972972972972973,0.5454545454545454,0.7651515151515151,0.6990291262135923
1,mean,euclidean,kde_p95_equiv,2.7326943636907406,0.9597701149425287,0.6325757575757576,0.803030303030303,0.7625570776255708
1,mean,euclidean,evt_p99_equiv,3.489577475706441,0.9574468085106383,0.3409090909090909,0.6628787878787878,0.5027932960893855
1,mean,euclidean,parametric_p99_equiv,3.30581825830861,0.9649122807017544,0.4166666666666667,0.7007575757575758,0.582010582010582
1,mean,euclidean,kde_p99_equiv,7.965054456570293,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,evt_p999_equiv,13.239078469982006,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,3.7407001731658767,0.9436619718309859,0.2537878787878788,0.6193181818181818,0.4
1,mean,euclidean,kde_p999_equiv,9.003657617824349,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,2.9674744606018066,0.9727891156462585,0.5416666666666666,0.7632575757575758,0.6958637469586375
1,mean,euclidean,iqr,3.247821867465973,0.9672131147540983,0.44696969696969696,0.7159090909090909,0.6113989637305699
1,mean,mahalanobis,perentile_same_machie_95.0,51.71578108997717,0.9468085106382979,0.6742424242424242,0.8181818181818182,0.7876106194690266
1,mean,mahalanobis,perentile_same_machie_99.0,56.22007221409024,0.9931506849315068,0.5492424242424242,0.7727272727272727,0.7073170731707317
1,mean,mahalanobis,perentile_same_machie_99.5,57.44946738478034,0.9928571428571429,0.5265151515151515,0.7613636363636364,0.6881188118811881
1,mean,mahalanobis,evt_p95_equiv,51.911838165037466,0.946524064171123,0.6704545454545454,0.8162878787878788,0.7849223946784922
1,mean,mahalanobis,parametric_p95_equiv,51.92445167811113,0.946524064171123,0.6704545454545454,0.8162878787878788,0.7849223946784922
1,mean,mahalanobis,kde_p95_equiv,51.96115949878142,0.9516129032258065,0.6704545454545454,0.8181818181818182,0.7866666666666666
1,mean,mahalanobis,evt_p99_equiv,56.18424511451942,0.9931972789115646,0.553030303030303,0.7746212121212122,0.7104622871046229
1,mean,mahalanobis,parametric_p99_equiv,55.07564791534699,0.9870967741935484,0.5795454545454546,0.7859848484848485,0.7303102625298329
1,mean,mahalanobis,kde_p99_equiv,56.38096305121085,0.9930555555555556,0.5416666666666666,0.7689393939393939,0.7009803921568627
1,mean,mahalanobis,evt_p999_equiv,60.057353985895105,1.0,0.5037878787878788,0.7518939393939394,0.6700251889168766
1,mean,mahalanobis,parametric_p999_equiv,58.67053655516596,0.9926470588235294,0.5113636363636364,0.7537878787878788,0.675
1,mean,mahalanobis,kde_p999_equiv,60.779555288192775,1.0,0.5037878787878788,0.7518939393939394,0.6700251889168766
1,mean,mahalanobis,mad,59.03638082148666,1.0,0.5113636363636364,0.7556818181818182,0.6766917293233082
1,mean,mahalanobis,iqr,63.57504775340602,1.0,0.45454545454545453,0.7272727272727273,0.625
1,mean,knn_full,perentile_same_machie_95.0,1.9992186181052198,0.9381443298969072,0.6893939393939394,0.821969696969697,0.7947598253275109
1,mean,knn_full,perentile_same_machie_99.0,2.2328691783632046,0.9736842105263158,0.5606060606060606,0.7727272727272727,0.7115384615384616
1,mean,knn_full,perentile_same_machie_99.5,3.4121930751026404,0.9714285714285714,0.12878787878787878,0.5625,0.22742474916387959
1,mean,knn_full,evt_p95_equiv,2.0026697498415413,0.9381443298969072,0.6893939393939394,0.821969696969697,0.7947598253275109
1,mean,knn_full,parametric_p95_equiv,2.0031791801670695,0.9381443298969072,0.6893939393939394,0.821969696969697,0.7947598253275109
1,mean,knn_full,kde_p95_equiv,2.014028345443625,0.9476439790575916,0.6856060606060606,0.8238636363636364,0.7956043956043956
1,mean,knn_full,evt_p99_equiv,2.3580672679790537,0.9710144927536232,0.5075757575757576,0.7462121212121212,0.6666666666666666
1,mean,knn_full,parametric_p99_equiv,2.1776140293294617,0.9741935483870968,0.571969696969697,0.7784090909090909,0.720763723150358
1,mean,knn_full,kde_p99_equiv,2.4477948279869355,0.968,0.4583333333333333,0.7215909090909091,0.622107969151671
1,mean,knn_full,evt_p999_equiv,3.814155666469457,1.0,0.01893939393939394,0.509469696969697,0.03717472118959108
1,mean,knn_full,parametric_p999_equiv,2.391254776049884,0.9703703703703703,0.4962121212121212,0.740530303030303,0.656641604010025
1,mean,knn_full,kde_p999_equiv,3.7608016879540647,1.0,0.022727272727272728,0.5113636363636364,0.044444444444444446
1,mean,knn_full,mad,2.1622713108545906,0.9745222929936306,0.5795454545454546,0.7821969696969697,0.7268408551068883
1,mean,knn_full,iqr,2.3829108833054216,0.9703703703703703,0.4962121212121212,0.740530303030303,0.656641604010025
1,mean,knn_clustered_16,perentile_same_machie_95.0,2.0765797146811744,0.9438202247191011,0.6363636363636364,0.7992424242424242,0.7601809954751131
1,mean,knn_clustered_16,perentile_same_machie_99.0,2.1846753632611446,0.99375,0.6022727272727273,0.7992424242424242,0.75
1,mean,knn_clustered_16,perentile_same_machie_99.5,2.2273204796285397,0.9933774834437086,0.5681818181818182,0.7821969696969697,0.7228915662650602
1,mean,knn_clustered_16,evt_p95_equiv,2.0800713748790542,0.9438202247191011,0.6363636363636364,0.7992424242424242,0.7601809954751131
1,mean,knn_clustered_16,parametric_p95_equiv,2.0476382363053647,0.9230769230769231,0.6363636363636364,0.7916666666666666,0.7533632286995515
1,mean,knn_clustered_16,kde_p95_equiv,2.087482032646413,0.9438202247191011,0.6363636363636364,0.7992424242424242,0.7601809954751131
1,mean,knn_clustered_16,evt_p99_equiv,2.187500014726783,0.99375,0.6022727272727273,0.7992424242424242,0.75
1,mean,knn_clustered_16,parametric_p99_equiv,2.1370611192767894,0.9877300613496932,0.6098484848484849,0.8011363636363636,0.7540983606557377
1,mean,knn_clustered_16,kde_p99_equiv,2.197892585711765,0.9936708860759493,0.5946969696969697,0.7954545454545454,0.7440758293838863
1,mean,knn_clustered_16,evt_p999_equiv,2.271895152099779,0.9928571428571429,0.5265151515151515,0.7613636363636364,0.6881188118811881
1,mean,knn_clustered_16,parametric_p999_equiv,2.224958006318452,0.9933774834437086,0.5681818181818182,0.7821969696969697,0.7228915662650602
1,mean,knn_clustered_16,kde_p999_equiv,2.307709217543511,1.0,0.5113636363636364,0.7556818181818182,0.6766917293233082
1,mean,knn_clustered_16,mad,2.316141917609935,1.0,0.5037878787878788,0.7518939393939394,0.6700251889168766
1,mean,knn_clustered_16,iqr,2.527740937582073,1.0,0.44696969696969696,0.7234848484848485,0.6178010471204188
1,max,euclidean,perentile_same_machie_95.0,3.783418655395508,0.891566265060241,0.5606060606060606,0.7462121212121212,0.6883720930232559
1,max,euclidean,perentile_same_machie_99.0,4.9736738204956055,0.84,0.07954545454545454,0.5321969696969697,0.1453287197231834
1,max,euclidean,perentile_same_machie_99.5,8.312272071838379,0.8181818181818182,0.03409090909090909,0.5132575757575758,0.06545454545454546
