held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
1,mean,euclidean,perentile_same_machie_95.0,3.10465145111084,0.7857142857142857,0.16666666666666666,0.5606060606060606,0.275
1,mean,euclidean,perentile_same_machie_99.0,5.159206390380859,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,perentile_same_machie_99.5,10.551992416381836,0.8,0.030303030303030304,0.5113636363636364,0.058394160583941604
1,mean,euclidean,evt_p95_equiv,3.2381807082056566,0.8048780487804879,0.125,0.5473484848484849,0.21639344262295082
1,mean,euclidean,parametric_p95_equiv,2.6522843403253793,0.8226950354609929,0.4393939393939394,0.6723484848484849,0.5728395061728395
1,mean,euclidean,kde_p95_equiv,3.2229530363231538,0.8095238095238095,0.12878787878787878,0.5492424242424242,0.2222222222222222
1,mean,euclidean,evt_p99_equiv,6.09273825495774,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,parametric_p99_equiv,3.280912632396919,0.7777777777777778,0.10606060606060606,0.5378787878787878,0.18666666666666668
1,mean,euclidean,kde_p99_equiv,9.765054535056171,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,evt_p999_equiv,13.325527595451335,0.0,0.0,0.5,0.0
1,mean,euclidean,parametric_p999_equiv,4.1642519981295205,0.8181818181818182,0.06818181818181818,0.5265151515151515,0.1258741258741259
1,mean,euclidean,kde_p999_equiv,10.903214084109518,0.0,0.0,0.5,0.0
1,mean,euclidean,mad,1.8786243200302124,0.8735177865612648,0.8371212121212122,0.8579545454545454,0.8549323017408124
1,mean,euclidean,iqr,2.075412541627884,0.8831168831168831,0.7727272727272727,0.8352272727272727,0.8242424242424242
1,mean,mahalanobis,perentile_same_machie_95.0,59.437640436264005,0.9532163742690059,0.6174242424242424,0.7935606060606061,0.7494252873563219
1,mean,mahalanobis,perentile_same_machie_99.0,73.42596145681387,0.9834710743801653,0.45075757575757575,0.7215909090909091,0.6181818181818182
1,mean,mahalanobis,perentile_same_machie_99.5,76.24285165195121,0.99,0.375,0.6856060606060606,0.5439560439560439
1,mean,mahalanobis,evt_p95_equiv,60.78955313614729,0.9518072289156626,0.5984848484848485,0.7840909090909091,0.7348837209302326
1,mean,mahalanobis,parametric_p95_equiv,54.94692771938892,0.8883495145631068,0.6931818181818182,0.803030303030303,0.7787234042553192
1,mean,mahalanobis,kde_p95_equiv,59.545937912585806,0.9532163742690059,0.6174242424242424,0.7935606060606061,0.7494252873563219
1,mean,mahalanobis,evt_p99_equiv,73.07292380328738,0.9836065573770492,0.45454545454545453,0.7234848484848485,0.6217616580310881
1,mean,mahalanobis,parametric_p99_equiv,60.92262380293126,0.9515151515151515,0.5946969696969697,0.7821969696969697,0.7319347319347319
1,mean,mahalanobis,kde_p99_equiv,73.91309663869967,0.9834710743801653,0.45075757575757575,0.7215909090909091,0.6181818181818182
1,mean,mahalanobis,evt_p999_equiv,79.70126857081604,1.0,0.2727272727272727,0.6363636363636364,0.42857142857142855
1,mean,mahalanobis,parametric_p999_equiv,68.39654988614492,0.9769230769230769,0.4810606060606061,0.7348484848484849,0.6446700507614214
1,mean,mahalanobis,kde_p999_equiv,80.54139287985872,1.0,0.23484848484848486,0.6174242424242424,0.3803680981595092
1,mean,mahalanobis,mad,53.935190213308694,0.8909952606635071,0.7121212121212122,0.8125,0.791578947368421
1,mean,mahalanobis,iqr,58.966953366557014,0.9425287356321839,0.6212121212121212,0.7916666666666666,0.7488584474885844
1,mean,knn_full,perentile_same_machie_95.0,1.5178481589725663,0.9541666666666667,0.8674242424242424,0.9128787878787878,0.9087301587301587
1,mean,knn_full,perentile_same_machie_99.0,2.260894557457228,0.9545454545454546,0.3181818181818182,0.6515151515151515,0.4772727272727273
1,mean,knn_full,perentile_same_machie_99.5,3.4757122669064304,0.8571428571428571,0.045454545454545456,0.5189393939393939,0.08633093525179857
1,mean,knn_full,evt_p95_equiv,1.5445648701641435,0.9535864978902954,0.8560606060606061,0.9071969696969697,0.9021956087824351
1,mean,knn_full,parametric_p95_equiv,1.6564996092789055,0.9641255605381166,0.8143939393939394,0.8920454545454546,0.8829568788501027
1,mean,knn_full,kde_p95_equiv,1.5632426255595375,0.9615384615384616,0.8522727272727273,0.9090909090909091,0.9036144578313253
1,mean,knn_full,evt_p99_equiv,2.308244414207747,0.9506172839506173,0.2916666666666667,0.6382575757575758,0.4463768115942029
1,mean,knn_full,parametric_p99_equiv,1.8063889482585862,0.9615384615384616,0.6628787878787878,0.8181818181818182,0.7847533632286996
1,mean,knn_full,kde_p99_equiv,3.2490466861709604,0.8095238095238095,0.06439393939393939,0.5246212121212122,0.11929824561403508
1,mean,knn_full,evt_p999_equiv,11.345425245718205,0.0,0.0,0.5,0.0
1,mean,knn_full,parametric_p999_equiv,1.990578506596361,0.9662162162162162,0.5416666666666666,0.7613636363636364,0.6941747572815534
1,mean,knn_full,kde_p999_equiv,3.5786841174269868,0.8888888888888888,0.030303030303030304,0.5132575757575758,0.05860805860805861
1,mean,knn_full,mad,1.6314800460341132,0.9601769911504425,0.821969696969697,0.8939393939393939,0.8857142857142857
1,mean,knn_full,iqr,1.7481407001881986,0.9646464646464646,0.7234848484848485,0.8484848484848485,0.8268398268398268
1,mean,knn_clustered_16,perentile_same_machie_95.0,1.582331675081743,0.9547511312217195,0.7992424242424242,0.8806818181818182,0.8701030927835052
1,mean,knn_clustered_16,perentile_same_machie_99.0,2.059251264047205,0.9841269841269841,0.4696969696969697,0.7310606060606061,0.6358974358974359
1,mean,knn_clustered_16,perentile_same_machie_99.5,2.143440091674543,0.9818181818181818,0.4090909090909091,0.7007575757575758,0.5775401069518716
1,mean,knn_clustered_16,evt_p95_equiv,1.590827424703409,0.9590909090909091,0.7992424242424242,0.8825757575757576,0.871900826446281
1,mean,knn_clustered_16,parametric_p95_equiv,1.7366120168606083,0.9800995024875622,0.7462121212121212,0.865530303030303,0.8473118279569892
1,mean,knn_clustered_16,kde_p95_equiv,1.6079713576607468,0.963302752293578,0.7954545454545454,0.8825757575757576,0.8713692946058091
1,mean,knn_clustered_16,evt_p99_equiv,2.0164286721463127,0.9772727272727273,0.48863636363636365,0.7386363636363636,0.6515151515151515
1,mean,knn_clustered_16,parametric_p99_equiv,1.8471139770685765,0.976878612716763,0.6401515151515151,0.8125,0.7734553775743707
1,mean,knn_clustered_16,kde_p99_equiv,2.07970041586812,0.9836065573770492,0.45454545454545453,0.7234848484848485,0.6217616580310881
1,mean,knn_clustered_16,evt_p999_equiv,6.690449456676226,0.0,0.0,0.5,0.0
1,mean,knn_clustered_16,parametric_p999_equiv,1.9577466465209301,0.9782608695652174,0.5113636363636364,0.75,0.6716417910447762
1,mean,knn_clustered_16,kde_p999_equiv,2.27800030439826,1.0,0.2765151515151515,0.6382575757575758,0.4332344213649852
1,mean,knn_clustered_16,mad,1.7447167443264253,0.9798994974874372,0.7386363636363636,0.8617424242424242,0.8423326133909287
1,mean,knn_clustered_16,iqr,1.8647638199938192,0.9759036144578314,0.6136363636363636,0.7992424242424242,0.7534883720930232
1,max,euclidean,perentile_same_machie_95.0,3.3314974308013916,0.875,0.26515151515151514,0.6136363636363636,0.4069767441860465
1,max,euclidean,perentile_same_machie_99.0,4.7108588218688965,0.8333333333333334,0.07575757575757576,0.5303030303030303,0.1388888888888889
1,max,euclidean,perentile_same_machie_99.5,7.677408218383789,0.75,0.03409090909090909,0.5113636363636364,0.06521739130434782
1,max,euclidean,evt_p95_equiv,3.2860548069880378,0.8409090909090909,0.2803030303030303,0.6136363636363636,0.42045454545454547
1,max,euclidean,parametric_p95_equiv,3.102107556507819,0.8207547169811321,0.32954545454545453,0.6287878787878788,0.4702702702702703
1,max,euclidean,kde_p95_equiv,3.332001636299532,0.875,0.26515151515151514,0.6136363636363636,0.4069767441860465
1,max,euclidean,evt_p99_equiv,5.162789162556951,0.8095238095238095,0.06439393939393939,0.5246212121212122,0.11929824561403508
1,max,euclidean,parametric_p99_equiv,3.5667429929209145,0.9032258064516129,0.21212121212121213,0.5946969696969697,0.34355828220858897
1,max,euclidean,kde_p99_equiv,5.228433462251508,0.8095238095238095,0.06439393939393939,0.5246212121212122,0.11929824561403508
1,max,euclidean,evt_p999_equiv,10.461896429169778,0.0,0.0,0.4981060606060606,0.0
1,max,euclidean,parametric_p999_equiv,4.17075723120104,0.8947368421052632,0.12878787878787878,0.5568181818181818,0.2251655629139073
1,max,euclidean,kde_p999_equiv,10.03951979900622,0.0,0.0,0.4981060606060606,0.0
1,max,euclidean,mad,2.84305477142334,0.8208955223880597,0.4166666666666667,0.6628787878787878,0.5527638190954773
1,max,euclidean,iqr,3.141092211008072,0.8155339805825242,0.3181818181818182,0.6231060606060606,0.45776566757493187
1,max,mahalanobis,perentile_same_machie_95.0,18.63944946582652,0.9,0.3068181818181818,0.6363636363636364,0.4576271186440678
1,max,mahalanobis,perentile_same_machie_99.0,26.042650990606266,0.8125,0.04924242424242424,0.5189393939393939,0.09285714285714286
1,max,mahalanobis,perentile_same_machie_99.5,28.25358800115077,0.7142857142857143,0.01893939393939394,0.5056818181818182,0.03690036900369004
1,max,mahalanobis,evt_p95_equiv,18.814720996918062,0.8941176470588236,0.2878787878787879,0.6268939393939394,0.4355300859598854
1,max,mahalanobis,parametric_p95_equiv,16.99671381664506,0.888,0.42045454545454547,0.6837121212121212,0.570694087403599
1,max,mahalanobis,kde_p95_equiv,18.70898117372782,0.898876404494382,0.30303030303030304,0.634469696969697,0.45325779036827196
1,max,mahalanobis,evt_p99_equiv,25.267450782688762,0.88,0.08333333333333333,0.5359848484848485,0.1522491349480969
1,max,mahalanobis,parametric_p99_equiv,19.111736711505973,0.8860759493670886,0.26515151515151514,0.615530303030303,0.40816326530612246
1,max,mahalanobis,kde_p99_equiv,26.090691395074266,0.8125,0.04924242424242424,0.5189393939393939,0.09285714285714286
1,max,mahalanobis,evt_p999_equiv,30.810340094643934,0.5,0.003787878787878788,0.5,0.007518796992481203
1,max,mahalanobis,parametric_p999_equiv,21.7968244161721,0.896551724137931,0.19696969696969696,0.5871212121212122,0.32298136645962733
1,max,mahalanobis,kde_p999_equiv,30.34783600179139,0.5,0.003787878787878788,0.5,0.007518796992481203
1,max,mahalanobis,mad,16.725632974984805,0.8837209302325582,0.4318181818181818,0.6875,0.5801526717557252
1,max,mahalanobis,iqr,18.395396213774177,0.8947368421052632,0.32196969696969696,0.6420454545454546,0.4735376044568245
1,max,knn_full,perentile_same_machie_95.0,2.890675550789117,0.9,0.3068181818181818,0.6363636363636364,0.4576271186440678
1,max,knn_full,perentile_same_machie_99.0,4.317058328462093,0.8333333333333334,0.07575757575757576,0.5303030303030303,0.1388888888888889
1,max,knn_full,perentile_same_machie_99.5,6.929570657085341,0.7692307692307693,0.03787878787878788,0.5132575757575758,0.07220216606498195
1,max,knn_full,evt_p95_equiv,2.8671116119202913,0.8924731182795699,0.3143939393939394,0.6382575757575758,0.4649859943977591
1,max,knn_full,parametric_p95_equiv,2.8099876582796544,0.8762886597938144,0.32196969696969696,0.6382575757575758,0.4709141274238227
1,max,knn_full,kde_p95_equiv,2.9161323505814805,0.8977272727272727,0.29924242424242425,0.6325757575757576,0.44886363636363635
1,max,knn_full,evt_p99_equiv,4.603096532594126,0.8095238095238095,0.06439393939393939,0.5246212121212122,0.11929824561403508
1,max,knn_full,parametric_p99_equiv,3.19259838660526,0.9104477611940298,0.23106060606060605,0.6041666666666666,0.3685800604229607
